date,value
2015-01-02,7.55
2015-01-09,7.65
2015-01-16,7.8
2015-01-23,8.19
2015-01-30,8.3
2015-02-06,8.55
2015-02-13,8.91
2015-02-20,8.92
2015-02-27,8.89
2015-03-06,9.18
2015-03-13,9.21
2015-03-20,9.94
2015-03-27,9.34
2015-04-03,9.32
2015-04-10,9.44
2015-04-17,9.19
2015-04-24,9.44
2015-05-01,7.94
2015-05-08,7.8
2015-05-15,8.12
2015-05-22,8.18
2015-05-29,8.5
2015-06-05,8.42
2015-06-12,8.23
2015-06-19,7.99
2015-06-26,8.49
2015-07-03,8.04
2015-07-10,8.02
2015-07-17,8.01
2015-07-24,7.77
2015-07-31,7.77
2015-08-07,7.72
2015-08-14,7.32
2015-08-21,6.99
2015-08-28,7.32
2015-09-04,7.16
2015-09-11,7.06
2015-09-18,6.9
2015-09-25,6.57
2015-10-02,6.84
2015-10-09,7.35
2015-10-16,7.46
2015-10-23,7.86
2015-10-30,6.89
2015-11-06,7.18
2015-11-13,6.91
2015-11-20,7.12
2015-11-27,7.21
2015-12-04,7.37
2015-12-11,6.59
2015-12-18,6.57
2015-12-25,6.82
2016-01-01,6.66
2016-01-08,6.01
2016-01-15,5.7
2016-01-22,6.31
2016-01-29,6.52
2016-02-05,5.72
2016-02-12,5.36
2016-02-19,5.77
2016-02-26,5.72
2016-03-04,5.87
2016-03-11,5.99
2016-03-18,5.67
2016-03-25,5.49
2016-04-01,5.53
2016-04-08,5.53
2016-04-15,5.74
2016-04-22,5.82
2016-04-29,6.14
2016-05-06,5.54
2016-05-13,5.26
2016-05-20,5.75
2016-05-27,6.03
2016-06-03,6.01
2016-06-10,5.73
2016-06-17,5.66
2016-06-24,5.62
2016-07-01,5.85
2016-07-08,5.72
2016-07-15,5.97
2016-07-22,6.3
2016-07-29,7.32
2016-08-05,7.37
2016-08-12,7.46
2016-08-19,7.64
2016-08-26,7.6
2016-09-02,7.29
2016-09-09,7.48
2016-09-16,7.66
2016-09-23,8.01
2016-09-30,8.15
2016-10-07,8.31
2016-10-14,8.0
2016-10-21,8.06
2016-10-28,9.21
2016-11-04,8.95
2016-11-11,9.06
2016-11-18,9.42
2016-11-25,9.83
2016-12-02,9.93
2016-12-09,10.59
2016-12-16,10.79
2016-12-23,11.28
2016-12-30,11.35
2017-01-06,10.79
2017-01-13,11.63
2017-01-20,11.61
2017-01-27,13.59
2017-02-03,14.37
2017-02-10,13.64
2017-02-17,14.26
2017-02-24,15.0
2017-03-03,15.68
2017-03-10,15.26
2017-03-17,15.62
2017-03-24,15.88
2017-03-31,15.46
2017-04-07,15.55
2017-04-14,14.61
2017-04-21,14.64
2017-04-28,15.99
2017-05-05,16.7
2017-05-12,16.63
2017-05-19,16.37
2017-05-26,16.5
2017-06-02,16.76
2017-06-09,16.54
2017-06-16,15.22
2017-06-23,14.96
2017-06-30,14.38
2017-07-07,15.13
2017-07-14,16.08
2017-07-21,16.44
2017-07-28,16.75
2017-08-04,17.07
2017-08-11,16.62
2017-08-18,16.59
2017-08-25,17.1
2017-09-01,17.47
2017-09-08,18.68
2017-09-15,19.19
2017-09-22,19.63
2017-09-29,19.42
2017-10-06,19.73
2017-10-13,19.98
2017-10-20,19.92
2017-10-27,23.29
2017-11-03,24.58
2017-11-10,24.0
2017-11-17,24.01
2017-11-24,24.6
2017-12-01,22.2
2017-12-08,21.4
2017-12-15,21.62
2017-12-22,22.25
2017-12-29,21.84
2018-01-05,23.34
2018-01-12,24.23
2018-01-19,25.06
2018-01-26,23.8
2018-02-02,22.83
2018-02-09,21.21
2018-02-16,22.33
2018-02-23,23.16
2018-03-02,22.2
2018-03-09,24.47
2018-03-16,24.51
2018-03-23,22.66
2018-03-30,22.29
2018-04-06,20.98
2018-04-13,22.51
2018-04-20,21.5
2018-04-27,21.95
2018-05-04,23.09
2018-05-11,24.06
2018-05-18,23.43
2018-05-25,24.06
2018-06-01,23.76
2018-06-08,24.81
2018-06-15,26.12
2018-06-22,23.37
2018-06-29,22.12
2018-07-06,22.35
