date,value
2015-01-02,66.02
2015-01-09,66.445
2015-01-16,63.41
2015-01-23,63.98
2015-01-30,56.44
2015-02-06,59.94
2015-02-13,61.835
2015-02-20,62.18
2015-02-27,61.12
2015-03-06,56.9
2015-03-13,53.76
2015-03-20,56.51
2015-03-27,52.76
2015-04-03,52.45
2015-04-10,55.58
2015-04-17,57.43
2015-04-24,58.34
2015-05-01,59.63
2015-05-08,57.235
2015-05-15,56.89
2015-05-22,55.79
2015-05-29,55.64
2015-06-05,54.43
2015-06-12,53.55
2015-06-19,53.35
2015-06-26,50.06
2015-07-03,48.15
2015-07-10,45.95
2015-07-17,48.15
2015-07-24,47.32
2015-07-31,50.6
2015-08-07,49.49
2015-08-14,52.02
2015-08-21,48.72
2015-08-28,50.68
2015-09-04,48.21
2015-09-11,48.94
2015-09-18,45.65
2015-09-25,42.89
2015-10-02,43.18
2015-10-09,49.03
2015-10-16,39.56
2015-10-23,41.15
2015-10-30,38.06
2015-11-06,38.81
2015-11-13,33.07
2015-11-20,34.41
2015-11-27,34.62
2015-12-04,34.45
2015-12-11,35.98
2015-12-18,34.1
2015-12-25,36.65
2016-01-01,36.66
2016-01-08,32.54
2016-01-15,30.89
2016-01-22,27.93
2016-01-29,29.05
2016-02-05,31.59
2016-02-12,29.88
2016-02-19,31.34
2016-02-26,31.69
2016-03-04,34.53
2016-03-11,36.17
2016-03-18,36.57
2016-03-25,33.23
2016-04-01,33.69
2016-04-08,33.23
2016-04-15,25.59
2016-04-22,25.32
2016-04-29,21.77
2016-05-06,19.07
2016-05-13,19.09
2016-05-20,20.41
2016-05-27,21.66
2016-06-03,23.64
2016-06-10,23.14
2016-06-17,23.22
2016-06-24,23.16
2016-07-01,24.03
2016-07-08,24.01
2016-07-15,28.9
2016-07-22,31.58
2016-07-29,32.03
2016-08-05,32.13
2016-08-12,31.55
2016-08-19,32.33
2016-08-26,33.33
2016-09-02,33.92
2016-09-09,36.09
2016-09-16,36.4
2016-09-23,36.46
2016-09-30,38.55
2016-10-07,37.89
2016-10-14,35.16
2016-10-21,34.5
2016-10-28,34.15
2016-11-04,33.0
2016-11-11,37.25
2016-11-18,39.29
2016-11-25,39.07
2016-12-02,38.87
2016-12-09,39.38
2016-12-16,39.1
2016-12-23,39.11
