date,value
2015-01-02,106.01
2015-01-09,105.88
2015-01-16,106.14
2015-01-23,106.25
2015-01-30,106.48
2015-02-06,106.08
2015-02-13,105.96
2015-02-20,106.06
2015-02-27,106.03
2015-03-06,105.8
2015-03-13,105.92
2015-03-20,105.86
2015-03-27,105.84
2015-04-03,105.72
2015-04-10,105.58
2015-04-17,105.65
2015-04-24,105.64
2015-05-01,105.43
2015-05-08,105.55
2015-05-15,105.42
2015-05-22,105.36
2015-05-29,105.59
2015-06-05,105.23
2015-06-12,105.37
2015-06-19,105.62
2015-06-26,105.65
2015-07-03,105.69
2015-07-10,105.8
2015-07-17,105.9
2015-07-24,106.05
2015-07-31,105.95
2015-08-07,105.87
2015-08-14,105.82
2015-08-21,105.71
2015-08-28,105.57
2015-09-04,105.55
2015-09-11,105.48
2015-09-18,105.63
2015-09-25,105.79
2015-10-02,105.98
2015-10-09,105.93
2015-10-16,106.09
2015-10-23,106.16
2015-10-30,106.17
2015-11-06,105.98
2015-11-13,105.89
2015-11-20,105.79
2015-11-27,105.85
2015-12-04,105.86
2015-12-11,105.83
2015-12-18,105.72
2015-12-25,105.82
2016-01-01,105.95
2016-01-08,106.18
2016-01-15,106.03
2016-01-22,106.24
2016-01-29,106.29
2016-02-05,106.34
2016-02-12,106.4
2016-02-19,106.41
2016-02-26,106.38
2016-03-04,106.17
2016-03-11,106.05
2016-03-18,106.07
2016-03-25,106.08
2016-04-01,105.96
2016-04-08,106.02
2016-04-15,106.07
2016-04-22,106.09
2016-04-29,106.2
2016-05-06,106.28
2016-05-13,106.33
2016-05-20,106.19
2016-05-27,106.05
2016-06-03,106.08
2016-06-10,106.19
2016-06-17,106.32
2016-06-24,106.51
2016-07-01,106.35
2016-07-08,106.4
2016-07-15,106.34
2016-07-22,106.44
2016-07-29,106.56
2016-08-05,106.45
2016-08-12,106.5
2016-08-19,106.53
2016-08-26,106.52
2016-09-02,106.27
2016-09-09,106.16
2016-09-16,106.01
2016-09-23,106.03
2016-09-30,105.99
2016-10-07,105.88
2016-10-14,105.78
2016-10-21,105.88
2016-10-28,105.89
2016-11-04,105.88
2016-11-11,105.44
2016-11-18,104.98
2016-11-25,104.98
2016-12-02,104.59
2016-12-09,104.98
2016-12-16,104.9
2016-12-23,104.86
2016-12-30,105.07
2017-01-06,105.11
2017-01-13,105.41
2017-01-20,105.25
2017-01-27,105.3
2017-02-03,105.23
2017-02-10,105.43
2017-02-17,105.5
2017-02-24,105.71
2017-03-03,105.54
2017-03-10,105.47
2017-03-17,105.45
2017-03-24,105.56
2017-03-31,105.59
2017-04-07,105.61
2017-04-14,105.75
2017-04-21,105.83
2017-04-28,105.7
2017-05-05,105.74
2017-05-12,105.89
2017-05-19,105.96
2017-05-26,106.03
2017-06-02,106.04
2017-06-09,106.02
2017-06-16,105.93
2017-06-23,105.95
2017-06-30,105.78
2017-07-07,105.74
2017-07-14,105.88
2017-07-21,106.01
2017-07-28,106.07
2017-08-04,106.1
2017-08-11,106.34
2017-08-18,106.34
2017-08-25,106.32
2017-09-01,106.24
2017-09-08,106.31
2017-09-15,106.17
2017-09-22,106.14
2017-09-29,105.97
2017-10-06,105.88
2017-10-13,105.94
2017-10-20,105.88
2017-10-27,105.77
2017-11-03,105.63
2017-11-10,105.53
2017-11-17,105.4
2017-11-24,105.2
2017-12-01,105.01
2017-12-08,105.07
2017-12-15,105.15
2017-12-22,104.75
2017-12-29,104.87
2018-01-05,104.87
2018-01-12,104.96
2018-01-19,105.02
2018-01-26,105.07
2018-02-02,104.9
2018-02-09,104.79
2018-02-16,104.83
2018-02-23,104.8
2018-03-02,104.79
2018-03-09,104.84
2018-03-16,104.7
2018-03-23,104.74
2018-03-30,104.88
2018-04-06,104.63
2018-04-13,104.61
2018-04-20,104.43
2018-04-27,104.41
2018-05-04,104.4
2018-05-11,104.57
2018-05-18,104.55
2018-05-25,104.74
2018-06-01,104.68
2018-06-08,104.9
2018-06-15,105.06
2018-06-22,104.96
2018-06-29,105.02
2018-07-06,105.0
2018-07-13,105.18
2018-07-20,105.3
2018-07-27,105.28
2018-08-03,105.16
2018-08-10,105.11
2018-08-17,105.18
2018-08-24,105.22
2018-08-31,105.17
2018-09-07,104.87
2018-09-14,104.85
2018-09-21,104.61
2018-09-28,104.73
2018-10-05,104.48
2018-10-12,104.46
2018-10-19,104.43
2018-10-26,104.53
2018-11-02,104.3
2018-11-09,104.39
2018-11-16,104.55
2018-11-23,104.73
2018-11-30,104.9
2018-12-07,105.1
2018-12-14,105.14
2018-12-21,105.25
2018-12-28,105.27
2019-01-04,105.36
2019-01-11,105.59
2019-01-18,105.36
2019-01-25,105.5
2019-02-01,105.48
2019-02-08,105.6
2019-02-15,105.61
2019-02-22,105.69
2019-03-01,105.55
2019-03-08,105.69
2019-03-15,105.73
2019-03-22,105.82
2019-03-29,106.0
2019-04-05,105.85
2019-04-12,105.77
2019-04-19,105.8
2019-04-26,105.91
2019-05-03,105.8
2019-05-10,105.88
2019-05-17,106.03
2019-05-24,106.22
2019-05-31,106.4
2019-06-07,106.26
2019-06-14,106.37
2019-06-21,106.49
2019-06-28,106.55
2019-07-05,106.49
2019-07-12,106.7
2019-07-19,106.72
2019-07-26,106.86
2019-08-02,106.94
2019-08-09,107.13
2019-08-16,107.16
2019-08-23,107.1
2019-08-30,107.02
2019-09-06,106.77
2019-09-13,106.4
2019-09-20,106.45
2019-09-27,106.49
2019-10-04,106.58
2019-10-11,106.63
2019-10-18,106.63
2019-10-25,106.59
2019-11-01,106.65
2019-11-08,106.53
2019-11-15,106.6
2019-11-22,106.69
2019-11-29,106.76
2019-12-06,106.7
2019-12-13,106.79
2019-12-20,106.61
2019-12-27,106.69
2020-01-03,106.83
