date,value
2017-08-25,102.63
2017-09-01,102.63
2017-09-08,102.63
2017-09-15,105.38
2017-09-22,104.45
2017-09-29,104.5
2017-10-06,105.81
2017-10-13,106.558
2017-10-20,107.32
2017-10-27,107.8
2017-11-03,108.09
2017-11-10,107.42
2017-11-17,107.96
2017-11-24,108.4535
2017-12-01,110.01
2017-12-08,110.1763
2017-12-15,111.4
2017-12-22,111.27
2017-12-29,111.07
2018-01-05,113.54
2018-01-12,115.55
2018-01-19,116.88
2018-01-26,119.173
2018-02-02,114.53
2018-02-09,109.04
2018-02-16,113.75
2018-02-23,114.35
2018-03-02,112.25
2018-03-09,116.31
2018-03-16,115.12
2018-03-23,108.0
2018-03-30,110.856
2018-04-06,108.8899
2018-04-13,111.344
2018-04-20,111.7448
2018-04-27,111.845
2018-05-04,111.37
2018-05-11,113.45
2018-05-18,112.49
2018-05-25,112.88
2018-06-01,113.46
2018-06-08,115.2499
2018-06-15,115.5947
2018-06-22,114.04
2018-06-29,112.805
2018-07-06,114.2574
2018-07-13,115.695
2018-07-20,115.47
2018-07-27,116.11
2018-08-03,117.5884
2018-08-10,116.7945
2018-08-17,117.5148
2018-08-24,118.42
2018-08-31,119.02
2018-09-07,117.87
2018-09-14,119.78
2018-09-21,120.97
2018-09-28,119.36
2018-10-05,118.45
2018-10-12,112.75
2018-10-19,112.31
2018-10-26,108.87
2018-11-02,111.43
2018-11-09,114.085
2018-11-16,113.17
2018-11-23,109.7499
2018-11-30,114.1111
2018-12-07,109.125
2018-12-14,107.8726
2018-12-21,99.9
2018-12-28,102.2577
2019-01-04,103.62
2019-01-11,106.71
2019-01-18,109.85
2019-01-25,109.77
2019-02-01,111.5
2019-02-08,111.9388
2019-02-15,114.9454
2019-02-22,116.0111
2019-03-01,116.88
2019-03-08,114.3224
2019-03-15,118.12
2019-03-22,116.8
2019-03-29,118.2499
2019-04-05,120.8317
2019-04-12,121.84
2019-04-19,121.4
2019-04-26,121.98
2019-05-03,122.33
2019-05-10,119.62
2019-05-17,118.23
2019-05-24,116.78
2019-05-31,113.6383
2019-06-07,119.2
2019-06-14,119.87
2019-06-21,122.01
2019-06-28,121.87
2019-07-05,123.9
2019-07-12,124.4
2019-07-19,123.08
2019-07-26,125.51
2019-08-02,121.58
2019-08-09,120.68
2019-08-16,119.48
2019-08-23,117.57
2019-08-30,121.17
2019-09-06,123.37
2019-09-13,124.97
2019-09-20,123.98
2019-09-27,122.91
2019-10-04,121.9
2019-10-11,122.8642
2019-10-18,123.4
2019-10-25,125.14
2019-11-01,127.18
2019-11-08,128.5073
2019-11-15,129.75
2019-11-22,128.97
2019-11-29,130.5164
2019-12-06,130.97
2019-12-13,132.075
2019-12-20,133.81
2019-12-27,134.49
2020-01-03,134.13
