date,value
2015-01-02,24.93
2015-01-09,27.33
2015-01-16,26.96
2015-01-23,23.75
2015-01-30,23.3
2015-02-06,22.71
2015-02-13,24.19
2015-02-20,25.61
2015-02-27,29.93
2015-03-06,30.28
2015-03-13,31.78
2015-03-20,32.92
2015-03-27,31.94
2015-04-03,32.04
2015-04-10,31.64
2015-04-17,30.68
2015-04-24,30.12
2015-05-01,33.77
2015-05-08,30.3
2015-05-15,33.32
2015-05-22,33.91
2015-05-29,34.59
2015-06-05,37.38
2015-06-12,37.65
2015-06-19,39.65
2015-06-26,38.96
2015-07-03,39.93
2015-07-10,41.74
2015-07-17,43.14
2015-07-24,41.75
2015-07-31,50.03
2015-08-07,48.99
2015-08-14,44.47
2015-08-21,42.36
2015-08-28,42.01
2015-09-04,41.67
2015-09-11,44.37
2015-09-18,47.57
2015-09-25,41.78
2015-10-02,42.22
2015-10-09,40.52
2015-10-16,42.25
2015-10-23,39.92
2015-10-30,41.71
2015-11-06,44.02
2015-11-13,44.73
2015-11-20,48.07
2015-11-27,49.16
2015-12-04,45.49
2015-12-11,44.35
2015-12-18,47.5
2015-12-25,49.2
2016-01-01,48.51
2016-01-08,45.03
2016-01-15,43.31
2016-01-22,45.24
2016-01-29,42.13
2016-02-05,36.87
2016-02-12,38.29
2016-02-19,39.08
2016-02-26,39.95
2016-03-04,38.98
2016-03-11,42.26
2016-03-18,40.91
2016-03-25,40.46
2016-04-01,42.56
2016-04-08,44.12
2016-04-15,49.31
2016-04-22,49.06
2016-04-29,48.13
2016-05-06,44.35
2016-05-13,44.18
2016-05-20,44.23
2016-05-27,45.21
2016-06-03,44.23
2016-06-10,41.23
2016-06-17,37.41
2016-06-24,38.58
2016-07-01,37.86
2016-07-08,39.57
2016-07-15,41.21
2016-07-22,42.65
2016-07-29,44.51
2016-08-05,45.64
2016-08-12,45.1
2016-08-19,44.5
2016-08-26,43.8
2016-09-02,44.01
2016-09-09,42.94
2016-09-16,42.88
2016-09-23,44.935
2016-09-30,44.58
2016-10-07,46.45
2016-10-14,44.95
2016-10-21,47.4
2016-10-28,41.45
2016-11-04,45.4
2016-11-11,50.5
2016-11-18,50.2
2016-11-25,51.4
2016-12-02,48.75
2016-12-09,50.15
2016-12-16,50.95
2016-12-23,51.3
2016-12-30,52.6
2017-01-06,52.65
2017-01-13,51.45
2017-01-20,50.1
2017-01-27,52.05
2017-02-03,54.15
2017-02-10,53.2
2017-02-17,54.5
2017-02-24,55.05
2017-03-03,45.6
2017-03-10,45.55
2017-03-17,45.35
2017-03-24,44.15
2017-03-31,45.85
2017-04-07,43.8
2017-04-14,42.95
2017-04-21,43.95
2017-04-28,45.0
2017-05-05,42.4
2017-05-12,55.1
2017-05-19,56.0
2017-05-26,56.75
2017-06-02,57.95
2017-06-09,58.85
2017-06-16,59.75
2017-06-23,59.45
2017-06-30,58.5
2017-07-07,57.3
2017-07-14,56.95
2017-07-21,56.45
2017-07-28,55.45
2017-08-04,55.35
2017-08-11,54.8
2017-08-18,56.0
2017-08-25,56.2
2017-09-01,59.05
2017-09-08,55.55
2017-09-15,54.85
2017-09-22,52.0
2017-09-29,52.3
2017-10-06,54.45
2017-10-13,54.75
2017-10-20,55.85
2017-10-27,58.25
2017-11-03,58.4
2017-11-10,39.1
2017-11-17,37.75
2017-11-24,37.05
2017-12-01,37.85
2017-12-08,39.55
2017-12-15,41.05
2017-12-22,42.9
2017-12-29,43.6
2018-01-05,40.5
2018-01-12,40.95
2018-01-19,40.9
2018-01-26,40.05
2018-02-02,37.55
2018-02-09,36.75
2018-02-16,38.4
2018-02-23,34.7
2018-03-02,40.65
2018-03-09,43.3
2018-03-16,40.4
2018-03-23,36.55
2018-03-30,35.5
2018-04-06,36.1
2018-04-13,37.75
2018-04-20,37.75
2018-04-27,38.45
2018-05-04,39.85
2018-05-11,41.25
2018-05-18,40.4
2018-05-25,43.1
2018-06-01,43.5
2018-06-08,42.8
2018-06-15,47.75
2018-06-22,48.2
2018-06-29,46.9
2018-07-06,48.3
2018-07-13,49.4
2018-07-20,50.2
2018-07-27,49.35
2018-08-03,52.6
2018-08-10,49.35
2018-08-17,47.25
2018-08-24,49.05
2018-08-31,49.85
2018-09-07,46.55
2018-09-14,48.65
2018-09-21,49.1
2018-09-28,51.55
2018-10-05,48.08
2018-10-12,44.82
2018-10-19,46.13
2018-10-26,44.92
2018-11-02,46.5
2018-11-09,51.0
2018-11-16,50.0
2018-11-23,48.69
2018-11-30,51.72
2018-12-07,47.98
2018-12-14,43.73
2018-12-21,37.85
2018-12-28,38.24
2019-01-04,40.03
2019-01-11,47.45
2019-01-18,49.34
2019-01-25,49.99
2019-02-01,51.11
2019-02-08,50.69
2019-02-15,54.74
2019-02-22,55.7
2019-03-01,43.41
2019-03-08,41.43
2019-03-15,46.92
2019-03-22,50.35
2019-03-29,51.76
2019-04-05,52.16
2019-04-12,50.06
2019-04-19,45.71
2019-04-26,47.06
2019-05-03,47.27
2019-05-10,44.06
2019-05-17,41.43
2019-05-24,42.45
2019-05-31,41.23
2019-06-07,45.94
2019-06-14,47.24
2019-06-21,49.54
2019-06-28,51.09
2019-07-05,50.66
2019-07-12,48.73
2019-07-19,48.21
2019-07-26,49.19
2019-08-02,48.39
2019-08-09,51.13
2019-08-16,50.84
2019-08-23,49.84
2019-08-30,52.53
2019-09-06,53.09
2019-09-13,54.67
2019-09-20,54.92
2019-09-27,52.99
2019-10-04,52.86
2019-10-11,53.94
2019-10-18,55.03
2019-10-25,53.23
2019-11-01,50.5
2019-11-08,48.0
2019-11-15,51.34
2019-11-22,52.87
2019-11-29,54.91
2019-12-06,55.53
2019-12-13,56.05
2019-12-20,58.59
2019-12-27,59.03
2020-01-03,59.04
