date,value
2015-01-02,45.22
2015-01-09,46.805
2015-01-16,46.07
2015-01-23,50.1
2015-01-30,47.555
2015-02-06,48.235
2015-02-13,46.75
2015-02-20,46.95
2015-02-27,45.37
2015-03-06,47.4
2015-03-13,43.85
2015-03-20,57.58
2015-03-27,59.21
2015-04-03,59.25
2015-04-10,63.05
2015-04-17,63.2
2015-04-24,65.57
2015-05-01,63.8
2015-05-08,63.79
2015-05-15,71.97
2015-05-22,84.63
2015-05-29,79.87
2015-06-05,76.07
2015-06-12,77.39
2015-06-19,71.64
2015-06-26,73.27
2015-07-03,71.29
2015-07-10,73.27
2015-07-17,71.88
2015-07-24,72.84
2015-07-31,71.58
2015-08-07,75.48
2015-08-14,71.58
2015-08-21,63.27
2015-08-28,69.5
2015-09-04,63.92
2015-09-11,68.86
2015-09-18,68.34
2015-09-25,65.34
2015-10-02,66.77
2015-10-09,67.27
2015-10-16,71.05
2015-10-23,74.34
2015-10-30,92.97
2015-11-06,103.39
2015-11-13,97.25
2015-11-20,111.67
2015-11-27,102.7
2015-12-04,54.1
2015-12-11,48.69
2015-12-18,48.59
2015-12-25,48.74
2016-01-01,46.33
2016-01-08,45.03
2016-01-15,41.45
2016-01-22,42.93
2016-01-29,42.68
2016-02-05,39.13
2016-02-12,37.13
2016-02-19,41.69
2016-02-26,41.79
2016-03-04,40.02
2016-03-11,40.45
2016-03-18,43.52
2016-03-25,44.16
2016-04-01,44.84
2016-04-08,44.43
2016-04-15,48.06
2016-04-22,47.12
2016-04-29,43.61
2016-05-06,44.5
2016-05-13,43.01
2016-05-20,43.39
2016-05-27,45.9
2016-06-03,43.84
2016-06-10,39.93
2016-06-17,38.06
2016-06-24,39.6
2016-07-01,41.13
2016-07-08,40.61
2016-07-15,43.08
2016-07-22,43.83
2016-07-29,43.67
2016-08-05,43.05
2016-08-12,46.39
2016-08-19,46.16
2016-08-26,47.44
2016-09-02,47.9
2016-09-09,44.14
2016-09-16,43.67
2016-09-23,46.02
2016-09-30,46.57
2016-10-07,47.08
2016-10-14,46.57
2016-10-21,47.61
2016-10-28,44.73
2016-11-04,42.44
2016-11-11,41.1
2016-11-18,42.02
2016-11-25,45.01
2016-12-02,44.01
2016-12-09,43.43
2016-12-16,41.0
2016-12-23,39.98
2016-12-30,40.0
2017-01-06,42.5
2017-01-13,43.53
2017-01-20,43.36
2017-01-27,43.4
2017-02-03,42.9
2017-02-10,44.49
2017-02-17,45.63
2017-02-24,48.54
2017-03-03,47.82
2017-03-10,48.27
2017-03-17,49.06
2017-03-24,49.18
2017-03-31,49.15
2017-04-07,50.09
2017-04-14,48.29
2017-04-21,47.16
2017-04-28,50.51
2017-05-05,52.68
2017-05-12,55.33
2017-05-19,56.15
2017-05-26,55.32
2017-06-02,56.15
2017-06-09,55.83
2017-06-16,52.94
2017-06-23,55.63
2017-06-30,53.86
2017-07-07,53.07
2017-07-14,57.49
2017-07-21,58.07
2017-07-28,59.71
2017-08-04,57.7
2017-08-11,53.85
2017-08-18,50.44
2017-08-25,52.48
2017-09-01,50.63
2017-09-08,51.54
2017-09-15,52.4
2017-09-22,52.91
2017-09-29,52.74
2017-10-06,55.71
2017-10-13,55.19
2017-10-20,48.35
2017-10-27,47.13
2017-11-03,46.4
2017-11-10,45.67
2017-11-17,47.74
2017-11-24,47.64
2017-12-01,46.32
2017-12-08,42.98
2017-12-15,44.01
2017-12-22,45.15
2017-12-29,44.1
2018-01-05,47.37
2018-01-12,47.66
2018-01-19,46.85
2018-01-26,46.84
2018-02-02,46.87
2018-02-09,43.84
2018-02-16,46.64
2018-02-23,47.45
2018-03-02,45.63
2018-03-09,48.36
2018-03-16,49.27
2018-03-23,46.76
2018-03-30,46.62
2018-04-06,44.8
2018-04-13,43.91
2018-04-20,42.65
2018-04-27,40.63
2018-05-04,41.18
2018-05-11,43.1
2018-05-18,43.09
2018-05-25,46.5
2018-06-01,45.09
2018-06-08,48.89
2018-06-15,51.72
2018-06-22,48.78
2018-06-29,47.63
2018-07-06,45.65
2018-07-13,45.0
2018-07-20,42.25
2018-07-27,42.12
2018-08-03,40.41
2018-08-10,40.0
2018-08-17,38.45
2018-08-24,39.34
2018-08-31,39.15
2018-09-07,37.56
2018-09-14,38.04
2018-09-21,39.41
2018-09-28,37.17
2018-10-05,35.37
2018-10-12,38.65
2018-10-19,32.63
2018-10-26,31.11
2018-11-02,34.97
2018-11-09,26.13
2018-11-16,26.4
2018-11-23,26.22
2018-11-30,28.85
2018-12-07,28.57
2018-12-14,28.18
2018-12-21,26.49
2018-12-28,27.75
2019-01-04,28.55
2019-01-11,29.82
2019-01-18,32.4
2019-01-25,32.31
2019-02-01,33.53
2019-02-08,32.38
2019-02-15,33.32
2019-02-22,32.79
2019-03-01,34.36
2019-03-08,40.81
2019-03-15,41.67
2019-03-22,40.26
2019-03-29,43.69
2019-04-05,45.75
2019-04-12,44.98
2019-04-19,44.43
2019-04-26,43.28
2019-05-03,44.18
2019-05-10,40.0
2019-05-17,36.7
2019-05-24,35.18
2019-05-31,34.56
2019-06-07,33.95
2019-06-14,33.47
