date,value
2015-01-02,102.16
2015-01-09,99.99
2015-01-16,96.74
2015-01-23,99.17
2015-01-30,95.04
2015-02-06,99.21
2015-02-13,100.91
2015-02-20,101.83
2015-02-27,100.83
2015-03-06,99.74
2015-03-13,99.04
2015-03-20,104.23
2015-03-27,105.7
2015-04-03,106.88
2015-04-10,108.52
2015-04-17,107.27
2015-04-24,108.39
2015-05-01,102.39
2015-05-08,102.9
2015-05-15,104.8
2015-05-22,103.14
2015-05-29,101.33
2015-06-05,103.03
2015-06-12,106.04
2015-06-19,107.27
2015-06-26,107.18
2015-07-03,107.0
2015-07-10,108.05
2015-07-17,109.67
2015-07-24,104.21
2015-07-31,103.67
2015-08-07,103.3
2015-08-14,104.25
2015-08-21,99.35
2015-08-28,98.61
2015-09-04,95.75
2015-09-11,98.02
2015-09-18,93.72
2015-09-25,91.88
2015-10-02,90.25
2015-10-09,87.23
2015-10-16,83.6
2015-10-23,86.91
2015-10-30,89.23
2015-11-06,91.86
2015-11-13,86.66
2015-11-20,91.84
2015-11-27,92.58
2015-12-04,92.11
2015-12-11,86.84
2015-12-18,87.04
2015-12-25,87.95
2016-01-01,88.7
2016-01-08,82.74
2016-01-15,77.63
2016-01-22,78.61
2016-01-29,81.25
2016-02-05,78.72
2016-02-12,78.93
2016-02-19,82.65
2016-02-26,84.46
2016-03-04,87.47
2016-03-11,87.17
2016-03-18,88.37
2016-03-25,86.86
2016-04-01,88.95
2016-04-08,87.1
2016-04-15,89.81
2016-04-22,92.0
2016-04-29,92.95
2016-05-06,93.92
2016-05-13,92.87
2016-05-20,94.4
2016-05-27,98.58
2016-06-03,98.53
2016-06-10,98.98
2016-06-17,98.81
2016-06-24,95.26
2016-07-01,98.9
2016-07-08,101.51
2016-07-15,104.06
2016-07-22,104.22
2016-07-29,105.0
2016-08-05,106.42
2016-08-12,105.48
2016-08-19,108.02
2016-08-26,107.72
2016-09-02,109.27
2016-09-09,104.61
2016-09-16,103.77
2016-09-23,108.91
2016-09-30,107.93
2016-10-07,105.28
2016-10-14,103.26
2016-10-21,105.14
2016-10-28,106.33
2016-11-04,102.84
2016-11-11,119.0
2016-11-18,120.53
2016-11-25,124.97
2016-12-02,124.46
2016-12-09,127.4
2016-12-16,123.0
2016-12-23,124.0
2016-12-30,123.0
2017-01-06,122.61
2017-01-13,124.26
2017-01-20,123.06
2017-01-27,122.67
2017-02-03,130.22
2017-02-10,130.66
2017-02-17,133.98
2017-02-24,131.8
2017-03-03,132.57
2017-03-10,129.55
2017-03-17,131.46
2017-03-24,124.91
2017-03-31,126.46
2017-04-07,126.67
2017-04-14,121.96
2017-04-21,127.43
2017-04-28,134.83
2017-05-05,135.76
2017-05-12,130.87
2017-05-19,127.86
2017-05-26,131.35
2017-06-02,133.84
2017-06-09,133.02
2017-06-16,130.97
2017-06-23,125.36
2017-06-30,127.65
2017-07-07,133.25
2017-07-14,134.38
2017-07-21,135.97
2017-07-28,137.02
2017-08-04,148.3
2017-08-11,144.77
2017-08-18,143.94
2017-08-25,145.31
2017-09-01,150.55
2017-09-08,151.03
2017-09-15,155.18
2017-09-22,161.03
2017-09-29,159.18
2017-10-06,163.02
2017-10-13,162.97
2017-10-20,165.42
2017-10-27,168.22
2017-11-03,182.4
2017-11-10,180.63
2017-11-17,179.5
2017-11-24,185.14
2017-12-01,183.49
2017-12-08,180.58
2017-12-15,184.36
2017-12-22,181.24
2017-12-29,181.15
2018-01-05,186.31
2018-01-12,193.28
2018-01-19,191.93
2018-01-26,198.89
2018-02-02,190.02
2018-02-09,179.02
2018-02-16,193.5
2018-02-23,190.14
2018-03-02,184.88
2018-03-09,194.28
2018-03-16,190.55
2018-03-23,183.89
2018-03-30,187.17
2018-04-06,185.57
2018-04-13,193.46
2018-04-20,198.34
2018-04-27,190.42
2018-05-04,193.14
2018-05-11,198.27
2018-05-18,197.85
2018-05-25,198.94
2018-06-01,205.6
2018-06-08,213.77
2018-06-15,204.88
2018-06-22,202.03
2018-06-29,199.06
2018-07-06,200.53
2018-07-13,207.76
2018-07-20,212.56
2018-07-27,217.57
2018-08-03,228.0
2018-08-10,231.45
2018-08-17,234.0
2018-08-24,232.88
2018-08-31,237.26
2018-09-07,241.73
2018-09-14,247.55
2018-09-21,247.4
2018-09-28,246.68
2018-10-05,238.67
2018-10-12,221.55
2018-10-19,223.53
2018-10-26,216.06
2018-11-02,227.06
2018-11-09,225.92
2018-11-16,227.92
2018-11-23,216.01
2018-11-30,224.58
2018-12-07,204.02
2018-12-14,205.31
2018-12-21,196.33
2018-12-28,202.77
2019-01-04,205.81
2019-01-11,217.11
2019-01-18,225.14
2019-01-25,221.26
2019-02-01,223.14
2019-02-08,228.69
2019-02-15,236.38
2019-02-22,235.55
2019-03-01,235.8
2019-03-08,229.37
2019-03-15,228.25
2019-03-22,227.61
2019-03-29,237.01
2019-04-05,244.63
2019-04-12,251.79
2019-04-19,252.43
2019-04-26,248.55
2019-05-03,249.13
2019-05-10,248.09
2019-05-17,240.67
2019-05-24,239.74
2019-05-31,235.8
2019-06-07,251.56
2019-06-14,254.72
2019-06-21,264.76
2019-06-28,273.87
2019-07-05,277.21
2019-07-12,278.05
2019-07-19,278.09
2019-07-26,296.18
2019-08-02,289.12
2019-08-09,296.58
2019-08-16,300.85
2019-08-23,302.68
2019-08-30,308.59
2019-09-06,318.02
2019-09-13,314.76
2019-09-20,318.8
2019-09-27,320.89
2019-10-04,318.4
2019-10-11,322.0
2019-10-18,319.92
2019-10-25,327.04
2019-11-01,336.15
2019-11-08,340.81
2019-11-15,344.47
2019-11-22,349.76
2019-11-29,341.99
2019-12-06,347.29
2019-12-13,347.71
2019-12-20,342.28
2019-12-27,347.82
2020-01-03,360.05
