date,value
2015-01-02,14.28
2015-01-09,13.45
2015-01-16,13.82
2015-01-23,14.73
2015-01-30,14.91
2015-02-06,14.79
2015-02-13,15.01
2015-02-20,15.35
2015-02-27,15.49
2015-03-06,14.74
2015-03-13,13.93
2015-03-20,14.43
2015-03-27,14.59
2015-04-03,14.62
2015-04-10,14.11
2015-04-17,14.5
2015-04-24,14.76
2015-05-01,15.32
2015-05-08,14.98
2015-05-15,14.88
2015-05-22,14.52
2015-05-29,14.16
2015-06-05,14.08
2015-06-12,14.57
2015-06-19,14.55
2015-06-26,15.01
2015-07-03,14.27
2015-07-10,14.62
2015-07-17,15.0
2015-07-24,14.99
2015-07-31,15.28
2015-08-07,15.26
2015-08-14,15.07
2015-08-21,14.3
2015-08-28,14.21
2015-09-04,13.1
2015-09-11,13.08
2015-09-18,12.73
2015-09-25,12.16
2015-10-02,12.01
2015-10-09,13.11
2015-10-16,12.94
2015-10-23,13.24
2015-10-30,13.17
2015-11-06,13.01
2015-11-13,12.72
2015-11-20,12.45
2015-11-27,12.27
2015-12-04,12.11
2015-12-11,11.5
2015-12-18,11.15
2015-12-25,11.46
2016-01-01,11.06
2016-01-08,10.35
2016-01-15,9.83
2016-01-22,10.28
2016-01-29,10.49
2016-02-05,10.46
2016-02-12,9.77
2016-02-19,10.34
2016-02-26,9.93
2016-03-04,10.76
2016-03-11,11.35
2016-03-18,11.23
2016-03-25,10.87
2016-04-01,10.76
2016-04-08,10.54
2016-04-15,10.82
2016-04-22,11.06
2016-04-29,10.91
2016-05-06,10.53
2016-05-13,10.7
2016-05-20,10.21
2016-05-27,10.54
2016-06-03,10.25
2016-06-10,9.72
2016-06-17,9.68
2016-06-24,8.66
2016-07-01,9.61
2016-07-08,9.37
2016-07-15,9.72
2016-07-22,9.78
2016-07-29,9.76
2016-08-05,9.75
2016-08-12,10.05
2016-08-19,9.9
2016-08-26,9.87
2016-09-02,10.2
2016-09-09,10.75
2016-09-16,10.13
2016-09-23,10.62
2016-09-30,10.08
2016-10-07,9.64
2016-10-14,9.66
2016-10-21,9.86
2016-10-28,10.03
2016-11-04,9.74
2016-11-11,9.02
2016-11-18,8.43
2016-11-25,8.35
2016-12-02,8.18
2016-12-09,8.74
2016-12-16,9.09
2016-12-23,9.17
2016-12-30,9.2
2017-01-06,9.65
2017-01-13,9.74
2017-01-20,9.67
2017-01-27,9.66
2017-02-03,9.66
2017-02-10,9.58
2017-02-17,9.87
2017-02-24,10.15
2017-03-03,10.55
2017-03-10,11.0
2017-03-17,11.36
2017-03-24,11.27
2017-03-31,11.19
2017-04-07,11.04
2017-04-14,10.84
2017-04-21,10.9
2017-04-28,11.1
2017-05-05,11.63
2017-05-12,11.05
2017-05-19,11.15
2017-05-26,11.26
2017-06-02,11.34
2017-06-09,11.19
2017-06-16,10.8
2017-06-23,10.64
2017-06-30,10.39
2017-07-07,10.34
2017-07-14,10.67
2017-07-21,10.88
2017-07-28,11.37
2017-08-04,11.46
2017-08-11,10.89
