date,value
2015-01-02,19.7
2015-01-09,19.42
2015-01-16,18.58
2015-01-23,19.01
2015-01-30,18.1
2015-02-06,18.94
2015-02-13,19.43
2015-02-20,19.83
2015-02-27,19.32
2015-03-06,19.15
2015-03-13,19.46
2015-03-20,20.1
2015-03-27,18.75
2015-04-03,18.86
2015-04-10,19.37
2015-04-17,18.24
2015-04-24,18.39
2015-05-01,20.3
2015-05-08,20.51
2015-05-15,20.63
2015-05-22,20.71
2015-05-29,21.15
2015-06-05,21.16
2015-06-12,21.02
2015-06-19,20.76
2015-06-26,19.71
2015-07-03,19.43
2015-07-10,19.34
2015-07-17,19.21
2015-07-24,18.36
2015-07-31,19.26
2015-08-07,18.93
2015-08-14,18.65
2015-08-21,17.26
2015-08-28,18.02
2015-09-04,17.62
2015-09-11,17.89
2015-09-18,18.43
2015-09-25,17.32
2015-10-02,18.22
2015-10-09,18.68
2015-10-16,18.21
2015-10-23,19.05
2015-10-30,19.52
2015-11-06,19.99
2015-11-13,19.92
2015-11-20,20.58
2015-11-27,20.62
2015-12-04,20.78
2015-12-11,20.22
2015-12-18,20.64
2015-12-25,21.46
2016-01-01,20.67
2016-01-08,19.11
2016-01-15,18.98
2016-01-22,19.78
2016-01-29,19.43
2016-02-05,18.35
2016-02-12,17.72
2016-02-19,18.83
2016-02-26,19.12
2016-03-04,19.67
2016-03-11,20.16
2016-03-18,21.25
2016-03-25,21.09
2016-04-01,21.75
2016-04-08,20.86
2016-04-15,20.71
2016-04-22,20.69
2016-04-29,18.91
2016-05-06,18.72
2016-05-13,18.46
2016-05-20,18.85
2016-05-27,19.74
2016-06-03,19.71
2016-06-10,19.9
2016-06-17,19.08
2016-06-24,19.0
2016-07-01,19.45
2016-07-08,19.9
2016-07-15,20.78
2016-07-22,20.88
2016-07-29,19.75
2016-08-05,20.13
2016-08-12,20.08
2016-08-19,20.84
2016-08-26,21.06
2016-09-02,21.28
2016-09-09,20.28
2016-09-16,20.86
2016-09-23,21.29
2016-09-30,21.58
2016-10-07,21.82
2016-10-14,21.2
2016-10-21,21.41
2016-10-28,23.08
2016-11-04,22.83
2016-11-11,23.82
2016-11-18,24.73
2016-11-25,25.16
2016-12-02,23.94
2016-12-09,25.84
2016-12-16,25.54
2016-12-23,25.72
2016-12-30,25.4
2017-01-06,25.65
2017-01-13,26.54
2017-01-20,26.29
2017-01-27,28.56
2017-02-03,28.79
2017-02-10,28.9
2017-02-17,29.17
2017-02-24,28.94
2017-03-03,28.89
2017-03-10,29.74
2017-03-17,30.83
2017-03-24,30.67
2017-03-31,31.1
2017-04-07,32.02
2017-04-14,30.99
2017-04-21,32.44
2017-04-28,35.27
2017-05-05,35.6
2017-05-12,35.23
2017-05-19,34.85
2017-05-26,35.59
2017-06-02,35.27
2017-06-09,34.04
2017-06-16,32.54
2017-06-23,32.44
2017-06-30,30.03
2017-07-07,31.4
2017-07-14,33.99
2017-07-21,35.13
2017-07-28,34.48
2017-08-04,33.46
2017-08-11,33.48
2017-08-18,33.87
2017-08-25,34.53
2017-09-01,35.79
2017-09-08,35.08
2017-09-15,36.87
2017-09-22,36.45
2017-09-29,37.29
2017-10-06,37.9
2017-10-13,38.61
2017-10-20,39.11
2017-10-27,42.74
2017-11-03,42.88
2017-11-10,43.7
2017-11-17,43.57
2017-11-24,43.64
2017-12-01,40.11
2017-12-08,40.51
2017-12-15,41.88
2017-12-22,42.79
2017-12-29,41.87
2018-01-05,45.61
2018-01-12,44.6
2018-01-19,47.42
2018-01-26,47.7
2018-02-02,44.42
2018-02-09,41.27
2018-02-16,43.31
2018-02-23,44.42
2018-03-02,45.65
2018-03-09,49.4
2018-03-16,49.23
2018-03-23,45.65
2018-03-30,45.71
2018-04-06,42.68
2018-04-13,43.47
2018-04-20,40.9
2018-04-27,33.2
2018-05-04,35.7
2018-05-11,36.33
2018-05-18,37.39
2018-05-25,38.73
2018-06-01,39.31
2018-06-08,38.69
2018-06-15,39.34
2018-06-22,38.8
2018-06-29,38.07
2018-07-06,39.52
2018-07-13,39.58
2018-07-20,40.22
2018-07-27,44.25
2018-08-03,43.75
2018-08-10,41.71
2018-08-17,39.26
2018-08-24,40.73
2018-08-31,41.19
2018-09-07,39.7
2018-09-14,37.54
2018-09-21,38.21
2018-09-28,36.98
2018-10-05,34.94
2018-10-12,33.25
2018-10-19,32.77
2018-10-26,32.35
2018-11-02,36.11
2018-11-09,35.59
2018-11-16,36.41
2018-11-23,35.86
2018-11-30,35.69
2018-12-07,32.61
2018-12-14,32.51
2018-12-21,29.56
2018-12-28,31.19
2019-01-04,31.1
2019-01-11,32.33
2019-01-18,32.9
2019-01-25,36.75
2019-02-01,36.76
2019-02-08,37.54
2019-02-15,39.77
2019-02-22,41.24
2019-03-01,41.0
2019-03-08,38.75
2019-03-15,40.46
2019-03-22,39.61
2019-03-29,39.84
2019-04-05,44.15
2019-04-12,44.14
2019-04-19,44.81
2019-04-26,48.76
2019-05-03,49.43
2019-05-10,48.25
2019-05-17,45.9
2019-05-24,41.89
2019-05-31,42.14
2019-06-07,45.21
2019-06-14,44.03
2019-06-21,46.05
2019-06-28,47.91
2019-07-05,46.91
2019-07-12,46.26
2019-07-19,45.96
2019-07-26,56.35
2019-08-02,53.47
2019-08-09,52.17
2019-08-16,52.95
2019-08-23,51.99
2019-08-30,52.97
2019-09-06,56.08
2019-09-13,57.84
2019-09-20,58.21
2019-09-27,57.4
2019-10-04,59.955
2019-10-11,61.18
2019-10-18,58.93
2019-10-25,63.62
2019-11-01,62.39
2019-11-08,63.51
2019-11-15,66.77
2019-11-22,61.96
2019-11-29,62.59
2019-12-06,63.94
2019-12-13,66.69
2019-12-20,69.35
2019-12-27,69.14
2020-01-03,68.23
