date,value
2015-01-02,76.56
2015-01-09,78.54
2015-01-16,79.11
2015-01-23,81.57
2015-01-30,79.9
2015-02-06,82.19
2015-02-13,83.58
2015-02-20,82.91
2015-02-27,81.67
2015-03-06,80.34
2015-03-13,78.29
2015-03-20,80.3
2015-03-27,78.62
2015-04-03,81.52
2015-04-10,82.26
2015-04-17,84.14
2015-04-24,82.59
2015-05-01,78.98
2015-05-08,78.43
2015-05-15,78.13
2015-05-22,78.11
2015-05-29,76.13
2015-06-05,76.01
2015-06-12,76.91
2015-06-19,75.75
2015-06-26,76.09
2015-07-03,74.09
2015-07-10,73.51
2015-07-17,72.49
2015-07-24,68.23
2015-07-31,69.71
2015-08-07,67.97
2015-08-14,67.04
2015-08-21,62.34
2015-08-28,64.35
2015-09-04,63.28
2015-09-11,65.3
2015-09-18,65.13
2015-09-25,63.83
2015-10-02,63.03
2015-10-09,68.3
2015-10-16,68.84
2015-10-23,68.61
2015-10-30,65.17
2015-11-06,66.76
2015-11-13,64.15
2015-11-20,66.01
2015-11-27,63.63
2015-12-04,63.31
2015-12-11,58.85
2015-12-18,59.17
2015-12-25,59.23
2016-01-01,58.64
2016-01-08,55.37
2016-01-15,55.88
2016-01-22,58.63
2016-01-29,61.3
2016-02-05,60.33
2016-02-12,59.68
2016-02-19,61.89
2016-02-26,62.93
2016-03-04,66.68
2016-03-11,67.91
2016-03-18,67.28
2016-03-25,67.31
2016-04-01,67.46
2016-04-08,65.33
2016-04-15,67.25
2016-04-22,67.9
2016-04-29,67.95
2016-05-06,66.04
2016-05-13,66.27
2016-05-20,66.29
2016-05-27,67.22
2016-06-03,69.4
2016-06-10,68.26
2016-06-17,68.2
2016-06-24,65.88
2016-07-01,69.56
2016-07-08,70.03
2016-07-15,71.83
2016-07-22,72.79
2016-07-29,74.38
2016-08-05,72.9
2016-08-12,75.74
2016-08-19,75.34
2016-08-26,75.69
2016-09-02,75.19
2016-09-09,69.47
2016-09-16,71.39
2016-09-23,73.43
2016-09-30,73.51
2016-10-07,73.65
2016-10-14,70.62
2016-10-21,72.6
2016-10-28,71.9
2016-11-04,71.15
2016-11-11,70.16
2016-11-18,69.76
2016-11-25,71.07
2016-12-02,71.55
2016-12-09,72.71
2016-12-16,71.8
2016-12-23,70.4
2016-12-30,72.09
2017-01-06,74.0
2017-01-13,74.76
2017-01-20,73.7
2017-01-27,75.75
2017-02-03,76.4
2017-02-10,76.43
2017-02-17,76.03
2017-02-24,75.33
2017-03-03,75.66
2017-03-10,73.49
2017-03-17,76.02
2017-03-24,77.47
2017-03-31,77.99
2017-04-07,78.13
2017-04-14,78.65
2017-04-21,78.11
2017-04-28,77.52
2017-05-05,77.7
2017-05-12,76.73
2017-05-19,77.72
2017-05-26,78.82
2017-06-02,78.88
2017-06-09,78.33
2017-06-16,79.49
2017-06-23,78.36
2017-06-30,77.96
2017-07-07,77.21
2017-07-14,79.14
2017-07-21,78.77
2017-07-28,79.08
2017-08-04,79.33
2017-08-11,79.21
2017-08-18,79.52
2017-08-25,80.27
2017-09-01,83.24
2017-09-08,83.88
2017-09-15,85.96
2017-09-22,85.6
2017-09-29,86.45
2017-10-06,86.59
2017-10-13,88.92
2017-10-20,87.2
2017-10-27,88.4
2017-11-03,87.65
2017-11-10,86.54
2017-11-17,89.43
2017-11-24,89.42
2017-12-01,89.69
2017-12-08,90.61
2017-12-15,91.74
2017-12-22,91.81
2017-12-29,92.5
2018-01-05,96.26
2018-01-12,97.92
2018-01-19,98.2
2018-01-26,100.46
2018-02-02,98.26
2018-02-09,95.73
2018-02-16,98.96
2018-02-23,99.59
2018-03-02,99.94
2018-03-09,99.86
2018-03-16,100.69
2018-03-23,98.68
2018-03-30,99.7
2018-04-06,96.02
2018-04-13,98.94
2018-04-20,100.0
2018-04-27,98.83
2018-05-04,98.31
2018-05-11,96.99
2018-05-18,94.32
2018-05-25,95.07
2018-06-01,93.66
2018-06-08,93.7
2018-06-15,90.59
2018-06-22,84.31
2018-06-29,82.27
2018-07-06,83.4
2018-07-13,84.18
2018-07-20,86.36
2018-07-27,88.44
2018-08-03,89.07
2018-08-10,87.7
2018-08-17,87.87
2018-08-24,90.62
2018-08-31,90.31
2018-09-07,88.05
2018-09-14,90.97
2018-09-21,94.28
2018-09-28,94.3
2018-10-05,90.14
2018-10-12,89.38
2018-10-19,87.55
2018-10-26,84.72
2018-11-02,88.26
2018-11-09,86.82
2018-11-16,86.92
2018-11-23,84.34
2018-11-30,86.23
2018-12-07,86.4
2018-12-14,84.94
2018-12-21,83.8
2018-12-28,82.62
2019-01-04,85.58
2019-01-11,86.12
2019-01-18,86.53
2019-01-25,89.17
2019-02-01,90.88
2019-02-08,89.91
2019-02-15,90.1
2019-02-22,90.96
2019-03-01,88.22
2019-03-08,87.6
2019-03-15,88.38
2019-03-22,88.37
2019-03-29,88.33
2019-04-05,88.95
2019-04-12,89.98
2019-04-19,90.94
2019-04-26,90.15
2019-05-03,91.26
2019-05-10,89.45
2019-05-17,86.32
2019-05-24,86.88
2019-05-31,89.58
2019-06-07,91.68
2019-06-14,91.72
2019-06-21,94.32
2019-06-28,95.59
2019-07-05,94.45
2019-07-12,94.12
2019-07-19,93.99
2019-07-26,92.77
2019-08-02,90.99
2019-08-09,89.12
2019-08-16,87.73
2019-08-23,88.6
2019-08-30,90.0
2019-09-06,91.12
2019-09-13,91.87
2019-09-20,89.47
2019-09-27,88.91
2019-10-04,88.15
2019-10-11,89.08
2019-10-18,89.33
2019-10-25,87.71
2019-11-01,87.88
2019-11-08,90.2
2019-11-15,88.39
2019-11-22,87.45
2019-11-29,87.44
2019-12-06,85.17
2019-12-13,86.87
2019-12-20,86.98
2019-12-27,87.0
2020-01-03,87.43
