date,value
2015-01-02,112.73
2015-01-09,113.08
2015-01-16,113.8
2015-01-23,114.32
2015-01-30,115.63
2015-02-06,113.86
2015-02-13,112.66
2015-02-20,112.48
2015-02-27,114.14
2015-03-06,111.97
2015-03-13,111.51
2015-03-20,113.76
2015-03-27,113.67
2015-04-03,114.05
2015-04-10,113.95
2015-04-17,115.49
2015-04-24,115.02
2015-05-01,113.89
2015-05-08,113.25
2015-05-15,113.15
2015-05-22,112.93
2015-05-29,113.21
2015-06-05,111.36
2015-06-12,111.47
2015-06-19,112.61
2015-06-26,111.44
2015-07-03,112.13
2015-07-10,111.82
2015-07-17,112.02
2015-07-24,112.1
2015-07-31,112.65
2015-08-07,112.08
2015-08-14,111.7
2015-08-21,112.15
2015-08-28,111.68
2015-09-04,110.91
2015-09-11,111.0
2015-09-18,111.22
2015-09-25,110.13
2015-10-02,111.67
2015-10-09,111.28
2015-10-16,111.29
2015-10-23,111.26
2015-10-30,110.96
2015-11-06,109.76
2015-11-13,109.82
2015-11-20,110.6
2015-11-27,110.85
2015-12-04,110.42
2015-12-11,110.32
2015-12-18,109.83
2015-12-25,109.77
2016-01-01,109.68
2016-01-08,110.39
2016-01-15,110.24
2016-01-22,109.95
2016-01-29,111.4
2016-02-05,111.39
2016-02-12,111.6
2016-02-19,111.35
2016-02-26,112.38
2016-03-04,112.57
2016-03-11,112.05
2016-03-18,113.52
2016-03-25,113.12
2016-04-01,114.73
2016-04-08,114.86
2016-04-15,114.33
2016-04-22,113.82
2016-04-29,114.88
2016-05-06,114.65
2016-05-13,115.25
2016-05-20,114.09
2016-05-27,114.31
2016-06-03,115.06
2016-06-10,115.81
2016-06-17,115.39
2016-06-24,115.78
2016-07-01,117.06
2016-07-08,117.55
2016-07-15,116.41
2016-07-22,116.08
2016-07-29,116.9
2016-08-05,115.71
2016-08-12,116.09
2016-08-19,115.99
2016-08-26,115.7
2016-09-02,115.59
2016-09-09,115.08
2016-09-16,114.95
2016-09-23,116.22
2016-09-30,116.49
2016-10-07,115.65
2016-10-14,115.43
2016-10-21,116.13
2016-10-28,115.64
2016-11-04,115.89
2016-11-11,114.25
2016-11-18,113.32
2016-11-25,113.12
2016-12-02,112.95
2016-12-09,112.8
2016-12-16,111.09
2016-12-23,112.42
2016-12-30,113.17
2017-01-06,113.45
2017-01-13,113.98
2017-01-20,113.71
2017-01-27,113.97
2017-02-03,113.83
2017-02-10,114.2
2017-02-17,114.16
2017-02-24,114.96
2017-03-03,113.86
2017-03-10,112.96
2017-03-17,113.81
2017-03-24,114.45
2017-03-31,114.65
2017-04-07,114.35
2017-04-14,115.23
2017-04-21,114.72
2017-04-28,115.01
2017-05-05,113.75
2017-05-12,113.77
2017-05-19,114.59
2017-05-26,114.4
2017-06-02,114.83
2017-06-09,114.17
2017-06-16,113.68
2017-06-23,114.31
2017-06-30,113.43
2017-07-07,112.46
2017-07-14,113.05
2017-07-21,113.58
2017-07-28,113.66
2017-08-04,113.63
2017-08-11,114.27
2017-08-18,113.98
2017-08-25,114.09
2017-09-01,114.12
2017-09-08,115.22
2017-09-15,114.5
2017-09-22,114.03
2017-09-29,113.58
2017-10-06,113.38
2017-10-13,114.13
2017-10-20,113.41
