date,value
2015-01-02,44.91
2015-01-09,45.17
2015-01-16,45.81
2015-01-23,46.83
2015-01-30,44.1
2015-02-06,44.17
2015-02-13,46.11
2015-02-20,44.96
2015-02-27,45.1
2015-03-06,45.35
2015-03-13,44.29
2015-03-20,44.53
2015-03-27,43.12
2015-04-03,43.52
2015-04-10,44.18
2015-04-17,43.38
2015-04-24,44.84
2015-05-01,41.29
2015-05-08,43.72
2015-05-15,43.17
2015-05-22,43.68
2015-05-29,43.26
2015-06-05,42.13
2015-06-12,42.41
2015-06-19,43.33
2015-06-26,43.64
2015-07-03,43.71
2015-07-10,43.5
2015-07-17,42.84
2015-07-24,41.8
2015-07-31,43.01
2015-08-07,43.35
2015-08-14,41.24
2015-08-21,38.79
2015-08-28,40.54
2015-09-04,38.73
2015-09-11,38.44
2015-09-18,36.94
2015-09-25,35.96
2015-10-02,35.79
2015-10-09,39.44
2015-10-16,39.57
2015-10-23,40.43
2015-10-30,39.76
2015-11-06,39.96
2015-11-13,39.73
2015-11-20,42.36
2015-11-27,42.62
2015-12-04,43.27
2015-12-11,41.04
2015-12-18,43.34
2015-12-25,44.94
2016-01-01,44.4
2016-01-08,44.32
2016-01-15,43.1
2016-01-22,46.8
2016-01-29,49.0
2016-02-05,50.27
2016-02-12,49.65
2016-02-19,47.72
2016-02-26,49.37
2016-03-04,52.41
2016-03-11,52.64
2016-03-18,53.18
2016-03-25,51.16
2016-04-01,51.04
2016-04-08,52.1
2016-04-15,53.44
2016-04-22,56.22
2016-04-29,53.37
2016-05-06,52.4
2016-05-13,55.91
2016-05-20,54.54
2016-05-27,55.85
2016-06-03,56.89
2016-06-10,56.58
2016-06-17,58.43
2016-06-24,57.08
2016-07-01,62.5
2016-07-08,62.4
2016-07-15,64.08
2016-07-22,63.27
2016-07-29,66.0
2016-08-05,66.11
2016-08-12,64.8
2016-08-19,62.88
2016-08-26,62.73
2016-09-02,63.4
2016-09-09,60.57
2016-09-16,62.38
2016-09-23,64.05
2016-09-30,66.08
2016-10-07,64.23
2016-10-14,64.75
2016-10-21,64.45
2016-10-28,32.04
2016-11-04,31.41
2016-11-11,28.59
2016-11-18,29.37
2016-11-25,28.28
2016-12-02,28.59
2016-12-09,29.26
2016-12-16,28.47
2016-12-23,27.81
2016-12-30,29.16
2017-01-06,29.6
2017-01-13,29.46
2017-01-20,28.18
2017-01-27,29.31
2017-02-03,29.49
2017-02-10,29.4
2017-02-17,28.94
2017-02-24,29.1
2017-03-03,28.94
2017-03-10,29.31
2017-03-17,30.97
2017-03-24,30.83
2017-03-31,31.17
2017-04-07,31.04
2017-04-14,30.83
2017-04-21,32.55
2017-04-28,32.75
2017-05-05,32.52
2017-05-12,33.16
2017-05-19,34.25
2017-05-26,33.63
2017-06-02,33.09
2017-06-09,32.49
2017-06-16,33.19
2017-06-23,33.73
2017-06-30,33.67
2017-07-07,34.34
2017-07-14,34.73
2017-07-21,34.2
2017-07-28,35.06
2017-08-04,35.06
2017-08-11,35.32
2017-08-18,35.45
2017-08-25,35.71
2017-09-01,35.42
2017-09-08,35.48
2017-09-15,35.5
2017-09-22,34.77
2017-09-29,34.3
2017-10-06,34.25
2017-10-13,32.54
2017-10-20,31.61
2017-10-27,30.07
2017-11-03,30.09
2017-11-10,30.33
2017-11-17,30.81
2017-11-24,31.8
2017-12-01,30.64
2017-12-08,30.74
2017-12-15,31.12
2017-12-22,31.35
2017-12-29,32.22
2018-01-05,31.67
2018-01-12,31.34
2018-01-19,31.26
2018-01-26,31.36
2018-02-02,29.55
2018-02-09,28.83
2018-02-16,30.23
2018-02-23,29.69
2018-03-02,29.45
2018-03-09,30.16
2018-03-16,28.14
2018-03-23,26.1
2018-03-30,26.42
2018-04-06,26.53
2018-04-13,26.68
2018-04-20,26.79
2018-04-27,27.18
2018-05-04,26.45
2018-05-11,25.72
2018-05-18,24.25
2018-05-25,24.88
2018-06-01,25.01
2018-06-08,26.2
2018-06-15,26.33
2018-06-22,25.55
2018-06-29,26.01
2018-07-06,26.97
2018-07-13,27.68
2018-07-20,27.39
2018-07-27,27.42
2018-08-03,23.72
2018-08-10,23.75
2018-08-17,23.16
2018-08-24,22.61
2018-08-31,23.67
2018-09-07,22.62
2018-09-14,23.88
2018-09-21,24.29
2018-09-28,24.48
2018-10-05,23.28
2018-10-12,24.03
2018-10-19,24.58
2018-10-26,24.02
2018-11-02,25.8
2018-11-09,26.22
2018-11-16,27.93
2018-11-23,27.29
2018-11-30,25.9
2018-12-07,25.17
2018-12-14,25.78
2018-12-21,25.32
2018-12-28,26.24
2019-01-04,26.63
2019-01-11,27.55
2019-01-18,28.39
2019-01-25,27.57
2019-02-01,27.47
2019-02-08,27.4
2019-02-15,27.17
2019-02-22,27.44
2019-03-01,27.58
2019-03-08,26.41
2019-03-15,26.15
2019-03-22,26.36
2019-03-29,27.46
2019-04-05,28.43
2019-04-12,27.27
2019-04-19,27.59
2019-04-26,27.53
2019-05-03,26.98
2019-05-10,26.52
2019-05-17,24.32
2019-05-24,25.49
2019-05-31,26.97
2019-06-07,27.7
2019-06-14,27.56
2019-06-21,27.95
2019-06-28,29.24
2019-07-05,30.06
2019-07-12,29.81
2019-07-19,30.19
2019-07-26,29.68
2019-08-02,30.05
2019-08-09,30.28
2019-08-16,30.48
2019-08-23,30.32
2019-08-30,31.42
2019-09-06,29.94
2019-09-13,29.78
2019-09-20,30.38
2019-09-27,30.08
2019-10-04,30.01
2019-10-11,29.64
2019-10-18,29.54
2019-10-25,30.19
2019-11-01,29.17
2019-11-08,29.13
2019-11-15,29.13
2019-11-22,28.57
2019-11-29,27.67
2019-12-06,28.9
2019-12-13,28.23
2019-12-20,28.51
2019-12-27,28.41
2020-01-03,28.41
