date,value
2015-01-02,127.32
2015-01-09,131.07
2015-01-16,133.19
2015-01-23,134.77
2015-01-30,138.28
2015-02-06,130.96
2015-02-13,128.19
2015-02-20,126.54
2015-02-27,129.53
2015-03-06,123.5
2015-03-13,126.72
2015-03-20,131.51
2015-03-27,131.06
2015-04-03,130.73
2015-04-10,129.62
2015-04-17,131.45
2015-04-24,129.07
2015-05-01,124.0
2015-05-08,122.51
2015-05-15,121.59
2015-05-22,120.4
2015-05-29,122.71
2015-06-05,117.6
2015-06-12,117.97
2015-06-19,119.08
2015-06-26,115.23
2015-07-03,116.07
2015-07-10,116.05
2015-07-17,118.72
2015-07-24,121.39
2015-07-31,122.53
2015-08-07,124.34
2015-08-14,123.96
2015-08-21,126.39
2015-08-28,122.36
2015-09-04,122.68
2015-09-11,121.39
2015-09-18,122.1
2015-09-25,121.54
2015-10-02,124.56
2015-10-09,122.28
2015-10-16,123.93
2015-10-23,123.2
2015-10-30,122.78
2015-11-06,119.0
2015-11-13,119.68
2015-11-20,120.45
2015-11-27,120.97
2015-12-04,120.58
2015-12-11,123.76
2015-12-18,123.23
2015-12-25,121.83
2016-01-01,120.58
2016-01-08,123.36
2016-01-15,125.75
2016-01-22,125.34
2016-01-29,127.3
2016-02-05,128.72
2016-02-12,131.5
2016-02-19,131.01
2016-02-26,130.41
2016-03-04,128.6
2016-03-11,127.36
2016-03-18,129.06
2016-03-25,129.54
2016-04-01,130.68
2016-04-08,132.01
2016-04-15,131.88
2016-04-22,128.36
2016-04-29,129.38
2016-05-06,130.45
2016-05-13,132.28
2016-05-20,130.15
2016-05-27,129.85
2016-06-03,133.23
2016-06-10,134.78
2016-06-17,135.61
2016-06-24,135.78
2016-07-01,140.57
2016-07-08,143.6
2016-07-15,138.39
2016-07-22,138.8
2016-07-29,141.56
2016-08-05,138.0
2016-08-12,140.08
2016-08-19,138.71
2016-08-26,138.36
2016-09-02,138.63
2016-09-09,135.52
2016-09-16,134.75
2016-09-23,136.82
2016-09-30,137.51
2016-10-07,133.92
2016-10-14,131.59
2016-10-21,133.31
2016-10-28,130.45
2016-11-04,131.74
2016-11-11,122.04
2016-11-18,120.85
2016-11-25,120.82
2016-12-02,119.6
2016-12-09,117.5
2016-12-16,117.14
2016-12-23,118.05
2016-12-30,119.13
2017-01-06,120.86
2017-01-13,121.31
2017-01-20,119.94
2017-01-27,119.63
2017-02-03,119.0
2017-02-10,120.76
2017-02-17,120.32
2017-02-24,122.01
2017-03-03,119.35
2017-03-10,117.25
2017-03-17,118.64
2017-03-24,120.88
2017-03-31,120.71
2017-04-07,120.71
2017-04-14,123.47
2017-04-21,123.54
2017-04-28,122.35
2017-05-05,121.29
2017-05-12,121.39
2017-05-19,123.71
2017-05-26,123.48
2017-06-02,125.62
2017-06-09,124.4
2017-06-16,126.35
2017-06-23,127.78
2017-06-30,125.12
2017-07-07,122.72
2017-07-14,123.33
2017-07-21,125.69
2017-07-28,123.89
2017-08-04,124.93
2017-08-11,126.43
2017-08-18,126.62
2017-08-25,127.32
2017-09-01,126.75
2017-09-08,129.0
2017-09-15,126.86
2017-09-22,126.2
2017-09-29,124.76
2017-10-06,123.59
2017-10-13,125.85
2017-10-20,123.98
2017-10-27,123.24
2017-11-03,125.64
2017-11-10,124.1
2017-11-17,126.39
2017-11-24,126.8
2017-12-01,126.55
2017-12-08,126.69
2017-12-15,128.35
2017-12-22,124.77
2017-12-29,126.86
2018-01-05,125.71
2018-01-12,124.52
2018-01-19,123.06
2018-01-26,123.59
2018-02-02,119.58
2018-02-09,117.94
2018-02-16,118.71
2018-02-23,118.13
2018-03-02,118.35
2018-03-09,117.91
2018-03-16,119.81
2018-03-23,120.17
