date,value
2015-01-02,54.0396
2015-01-09,54.02
2015-01-16,53.32
2015-01-23,53.92
2015-01-30,53.06
2015-02-06,54.36
2015-02-13,55.54
2015-02-20,56.07
2015-02-27,56.09
2015-03-06,55.65
2015-03-13,54.55
2015-03-20,56.12
2015-03-27,55.11
2015-04-03,55.326
2015-04-10,56.27
2015-04-17,56.03
2015-04-24,56.98
2015-05-01,56.4551
2015-05-08,56.98
2015-05-15,57.27
2015-05-22,57.31
2015-05-29,56.76
2015-06-05,55.85
2015-06-12,56.22
2015-06-19,56.68
2015-06-26,55.72
2015-07-03,54.72
2015-07-10,54.99
2015-07-17,55.97
2015-07-24,54.5595
2015-07-31,56.0
2015-08-07,54.54
2015-08-14,54.9
2015-08-21,52.25
2015-08-28,52.215
2015-09-04,50.57
2015-09-11,51.23
2015-09-18,51.5
2015-09-25,50.05
2015-10-02,50.48
2015-10-09,52.738
2015-10-16,53.08
2015-10-23,53.79
2015-10-30,53.83
2015-11-06,53.49
2015-11-13,51.912
2015-11-20,53.5501
2015-11-27,53.5882
2015-12-04,53.75
2015-12-11,51.23
2015-12-18,51.25
2015-12-25,51.88
2016-01-01,51.76
2016-01-08,48.9915
2016-01-15,47.56
2016-01-22,48.31
2016-01-29,48.95
2016-02-05,47.57
2016-02-12,46.81
2016-02-19,48.46
2016-02-26,48.88
2016-03-04,50.71
2016-03-11,51.4
2016-03-18,52.08
2016-03-25,51.135
2016-04-01,51.47
2016-04-08,51.575
2016-04-15,52.635
2016-04-22,53.11
2016-04-29,52.75
2016-05-06,52.09
2016-05-13,52.31
2016-05-20,52.2101
2016-05-27,53.3424
2016-06-03,52.7751
2016-06-10,52.64
2016-06-17,52.2839
2016-06-24,50.5
2016-07-01,51.991
2016-07-08,52.02
2016-07-15,53.37
2016-07-22,53.5494
2016-07-29,53.7105
2016-08-05,53.836
2016-08-12,54.33
2016-08-19,54.44
2016-08-26,54.07
2016-09-02,54.54
2016-09-09,53.61
2016-09-16,53.24
2016-09-23,54.4073
2016-09-30,54.29
2016-10-07,53.6732
2016-10-14,53.3
2016-10-21,53.67
2016-10-28,53.01
2016-11-04,52.14
2016-11-11,53.7
2016-11-18,53.4
2016-11-25,53.58
2016-12-02,53.73
2016-12-09,55.28
2016-12-16,55.19
2016-12-23,54.67
2016-12-30,54.38
2017-01-06,55.7
2017-01-13,55.68
2017-01-20,55.7
2017-01-27,56.25
2017-02-03,56.39
2017-02-10,56.58
2017-02-17,57.17
2017-02-24,57.29
2017-03-03,57.81
2017-03-10,57.58
2017-03-17,58.28
2017-03-24,57.71
2017-03-31,58.23
2017-04-07,57.89
2017-04-14,57.5
2017-04-21,57.842
2017-04-28,59.2
2017-05-05,59.93
2017-05-12,59.55
2017-05-19,59.88
2017-05-26,60.33
2017-06-02,61.0
2017-06-09,60.55
2017-06-16,60.6
2017-06-23,59.88
2017-06-30,59.74
2017-07-07,59.65
2017-07-14,60.72
2017-07-21,61.0
2017-07-28,61.08
2017-08-04,61.43
2017-08-11,60.5644
2017-08-18,60.3339
2017-08-25,60.82
2017-09-01,61.24
2017-09-08,61.3
2017-09-15,62.03
2017-09-22,62.1171
2017-09-29,62.3857
2017-10-06,62.8
2017-10-13,63.16
2017-10-20,63.37
2017-10-27,63.43
2017-11-03,63.74
2017-11-10,63.41
2017-11-17,63.391
2017-11-24,64.67
2017-12-01,64.8
2017-12-08,65.175
2017-12-15,65.32
2017-12-22,65.25
2017-12-29,64.64
2018-01-05,66.5067
2018-01-12,67.56
2018-01-19,68.2532
2018-01-26,69.65
2018-02-02,67.39
2018-02-09,63.79
2018-02-16,66.79
2018-02-23,66.67
2018-03-02,65.0
2018-03-09,66.645
2018-03-16,66.55
2018-03-23,63.08
2018-03-30,64.62
2018-04-06,63.72
2018-04-13,65.32
2018-04-20,65.1516
2018-04-27,65.37
2018-05-04,65.0
2018-05-11,66.5597
2018-05-18,66.09
2018-05-25,65.8
2018-06-01,65.71
2018-06-08,66.8
2018-06-15,66.69
2018-06-22,65.01
2018-06-29,64.42
2018-07-06,65.21
2018-07-13,66.05
2018-07-20,66.28
2018-07-27,66.6
2018-08-03,66.5747
2018-08-10,66.15
2018-08-17,66.538
2018-08-24,66.7937
2018-08-31,67.58
2018-09-07,66.53
2018-09-14,67.44
2018-09-21,68.4305
2018-09-28,67.7
2018-10-05,67.16
2018-10-12,64.46
2018-10-19,64.19
2018-10-26,62.14
2018-11-02,63.84
2018-11-09,64.28
2018-11-16,63.42
2018-11-23,61.49
2018-11-30,63.43
2018-12-07,61.24
2018-12-14,60.635
2018-12-21,56.4746
2018-12-28,57.94
2019-01-04,59.1576
2019-01-11,60.677
2019-01-18,62.0778
2019-01-25,62.05
2019-02-01,62.9791
2019-02-08,62.9
2019-02-15,64.32
2019-02-22,64.84
2019-03-01,65.315
2019-03-08,64.15
2019-03-15,65.7503
2019-03-22,65.47
2019-03-29,65.8993
2019-04-05,67.2403
2019-04-12,67.574
2019-04-19,67.6451
2019-04-26,67.99
2019-05-03,68.39
2019-05-10,66.99
2019-05-17,66.6039
2019-05-24,66.07
2019-05-31,64.514
2019-06-07,66.92
2019-06-14,67.2031
2019-06-21,67.9106
2019-06-28,67.7555
2019-07-05,68.9592
2019-07-12,69.05
2019-07-19,68.5052
2019-07-26,69.2612
2019-08-02,67.1162
2019-08-09,67.17
2019-08-16,66.26
2019-08-23,65.5
2019-08-30,67.41
2019-09-06,68.48
2019-09-13,69.1684
2019-09-20,68.9418
2019-09-27,68.55
2019-10-04,68.09
2019-10-11,68.82
2019-10-18,69.1327
2019-10-25,69.88
2019-11-01,71.54
2019-11-08,71.444
2019-11-15,71.64
2019-11-22,71.81
2019-11-29,72.48
2019-12-06,72.5052
2019-12-13,73.165
2019-12-20,73.49
2019-12-27,74.0064
2020-01-03,73.91
