<<<<<<< HEAD
date,value
2015-01-02,39.96
2015-01-09,38.82
2015-01-16,39.87
2015-01-23,39.74
2015-01-30,38.4
2015-02-06,39.81
2015-02-13,39.22
2015-02-20,39.3
2015-02-27,39.27
2015-03-06,39.02
2015-03-13,39.76
2015-03-20,40.8
2015-03-27,40.12
2015-04-03,41.25
2015-04-10,41.89
2015-04-17,41.22
2015-04-24,41.39
2015-05-01,41.25
2015-05-08,40.92
2015-05-15,40.97
2015-05-22,40.47
2015-05-29,39.96
2015-06-05,39.46
2015-06-12,38.9
2015-06-19,39.07
2015-06-26,39.16
2015-07-03,38.36
2015-07-10,38.27
2015-07-17,38.49
2015-07-24,37.56
2015-07-31,40.45
2015-08-07,40.66
2015-08-14,41.12
2015-08-21,38.77
2015-08-28,39.11
2015-09-04,38.84
2015-09-11,39.88
2015-09-18,39.93
2015-09-25,39.87
2015-10-02,40.63
2015-10-09,41.46
2015-10-16,41.57
2015-10-23,41.44
2015-10-30,41.02
2015-11-06,40.14
2015-11-13,38.98
2015-11-20,39.73
2015-11-27,40.12
2015-12-04,40.5
2015-12-11,38.15
2015-12-18,37.62
2015-12-25,38.12
2016-01-01,37.85
2016-01-08,35.54
2016-01-15,35.18
2016-01-22,36.51
2016-01-29,37.4
2016-02-05,36.55
2016-02-12,35.71
2016-02-19,35.96
2016-02-26,36.55
2016-03-04,36.69
2016-03-11,37.94
2016-03-18,39.24
2016-03-25,39.42
2016-04-01,40.54
2016-04-08,39.97
2016-04-15,40.67
2016-04-22,40.81
2016-04-29,41.13
2016-05-06,40.52
2016-05-13,41.12
2016-05-20,41.26
2016-05-27,42.28
2016-06-03,42.31
2016-06-10,41.94
2016-06-17,41.06
2016-06-24,39.98
2016-07-01,40.79
2016-07-08,40.89
2016-07-15,42.87
2016-07-22,43.41
2016-07-29,42.11
2016-08-05,41.29
2016-08-12,41.9
2016-08-19,41.61
2016-08-26,41.46
2016-09-02,42.42
2016-09-09,40.67
2016-09-16,40.46
2016-09-23,41.37
2016-09-30,41.38
2016-10-07,40.5
2016-10-14,39.8
2016-10-21,39.73
2016-10-28,39.49
2016-11-04,40.89
2016-11-11,41.47
2016-11-18,42.18
2016-11-25,42.98
2016-12-02,43.31
2016-12-09,44.79
2016-12-16,44.33
2016-12-23,43.93
2016-12-30,43.78
2017-01-06,44.82
2017-01-13,45.08
2017-01-20,45.02
2017-01-27,44.98
2017-02-03,45.02
2017-02-10,44.26
2017-02-17,44.94
2017-02-24,42.7
2017-03-03,42.88
2017-03-10,43.19
2017-03-17,43.46
2017-03-24,43.75
2017-03-31,43.23
2017-04-07,43.04
2017-04-14,42.61
2017-04-21,42.63
2017-04-28,45.43
2017-05-05,44.83
2017-05-12,44.0
2017-05-19,43.26
2017-05-26,43.79
2017-06-02,44.18
2017-06-09,43.95
2017-06-16,45.78
2017-06-23,46.53
2017-06-30,46.29
2017-07-07,45.82
2017-07-14,46.08
2017-07-21,45.91
2017-07-28,46.06
2017-08-04,47.3
2017-08-11,46.48
2017-08-18,45.85
2017-08-25,45.75
2017-09-01,45.47
2017-09-08,45.53
2017-09-15,45.54
2017-09-22,45.92
2017-09-29,45.88
2017-10-06,45.98
2017-10-13,46.81
2017-10-20,47.67
2017-10-27,47.02
2017-11-03,44.58
2017-11-10,44.5
2017-11-17,43.93
2017-11-24,44.25
2017-12-01,44.54
2017-12-08,44.26
2017-12-15,44.2
2017-12-22,43.42
2017-12-29,43.59
2018-01-05,44.24
2018-01-12,43.59
2018-01-19,43.7
2018-01-26,44.01
2018-02-02,42.34
2018-02-09,39.39
2018-02-16,40.13
2018-02-23,39.88
2018-03-02,39.34
2018-03-09,40.4
2018-03-16,39.3
2018-03-23,39.02
2018-03-30,38.65
2018-04-06,39.67
2018-04-13,39.27
2018-04-20,39.65
2018-04-27,40.25
2018-05-04,39.37
2018-05-11,37.64
2018-05-18,38.78
2018-05-25,38.66
2018-06-01,39.1
2018-06-08,40.82
2018-06-15,40.94
2018-06-22,40.72
2018-06-29,40.32
2018-07-06,41.1
2018-07-13,42.48
2018-07-20,42.33
2018-07-27,41.52
2018-08-03,41.37
2018-08-10,42.06
2018-08-17,42.94
2018-08-24,42.92
2018-08-31,44.53
2018-09-07,44.76
2018-09-14,45.52
2018-09-21,45.37
2018-09-28,45.68
2018-10-05,46.69
2018-10-12,45.64
2018-10-19,46.61
2018-10-26,45.94
2018-11-02,45.95
2018-11-09,48.08
2018-11-16,49.0
2018-11-23,48.32
2018-11-30,50.32
2018-12-07,50.49
2018-12-14,51.19
2018-12-21,47.31
2018-12-28,47.94
2019-01-04,47.61
2019-01-11,49.12
2019-01-18,50.89
2019-01-25,51.04
2019-02-01,52.45
2019-02-08,53.2
2019-02-15,52.96
2019-02-22,53.27
2019-03-01,54.28
2019-03-08,53.94
2019-03-15,56.33
2019-03-22,57.82
2019-03-29,59.2
2019-04-05,58.61
2019-04-12,59.69
2019-04-19,59.92
2019-04-26,60.95
2019-05-03,61.55
2019-05-10,64.1
2019-05-17,64.97
2019-05-24,64.91
2019-05-31,63.69
2019-06-07,66.87
2019-06-14,65.09
2019-06-21,65.99
2019-06-28,64.46
2019-07-05,66.12
2019-07-12,67.38
2019-07-19,67.67
2019-07-26,70.41
2019-08-02,66.8
2019-08-09,67.78
2019-08-16,67.43
2019-08-23,65.72
2019-08-30,68.68
2019-09-06,70.78
2019-09-13,66.93
2019-09-20,66.75
2019-09-27,66.3
2019-10-04,67.29
2019-10-11,66.86
2019-10-18,66.7
2019-10-25,66.15
2019-11-01,67.61
2019-11-08,67.27
2019-11-15,70.42
2019-11-22,71.26
2019-11-29,70.55
2019-12-06,70.96
2019-12-13,72.16
2019-12-20,71.95
2019-12-27,71.9
2020-01-03,72.6
=======
date,value
2015-01-02,39.96
2015-01-09,38.82
2015-01-16,39.87
2015-01-23,39.74
2015-01-30,38.4
2015-02-06,39.81
2015-02-13,39.22
2015-02-20,39.3
2015-02-27,39.27
2015-03-06,39.02
2015-03-13,39.76
2015-03-20,40.8
2015-03-27,40.12
2015-04-03,41.25
2015-04-10,41.89
2015-04-17,41.22
2015-04-24,41.39
2015-05-01,41.25
2015-05-08,40.92
2015-05-15,40.97
2015-05-22,40.47
2015-05-29,39.96
2015-06-05,39.46
2015-06-12,38.9
2015-06-19,39.07
2015-06-26,39.16
2015-07-03,38.36
2015-07-10,38.27
2015-07-17,38.49
2015-07-24,37.56
2015-07-31,40.45
2015-08-07,40.66
2015-08-14,41.12
2015-08-21,38.77
2015-08-28,39.11
2015-09-04,38.84
2015-09-11,39.88
2015-09-18,39.93
2015-09-25,39.87
2015-10-02,40.63
2015-10-09,41.46
2015-10-16,41.57
2015-10-23,41.44
2015-10-30,41.02
2015-11-06,40.14
2015-11-13,38.98
2015-11-20,39.73
2015-11-27,40.12
2015-12-04,40.5
2015-12-11,38.15
2015-12-18,37.62
2015-12-25,38.12
2016-01-01,37.85
2016-01-08,35.54
2016-01-15,35.18
2016-01-22,36.51
2016-01-29,37.4
2016-02-05,36.55
2016-02-12,35.71
2016-02-19,35.96
2016-02-26,36.55
2016-03-04,36.69
2016-03-11,37.94
2016-03-18,39.24
2016-03-25,39.42
2016-04-01,40.54
2016-04-08,39.97
2016-04-15,40.67
2016-04-22,40.81
2016-04-29,41.13
2016-05-06,40.52
2016-05-13,41.12
2016-05-20,41.26
2016-05-27,42.28
2016-06-03,42.31
2016-06-10,41.94
2016-06-17,41.06
2016-06-24,39.98
2016-07-01,40.79
2016-07-08,40.89
2016-07-15,42.87
2016-07-22,43.41
2016-07-29,42.11
2016-08-05,41.29
2016-08-12,41.9
2016-08-19,41.61
2016-08-26,41.46
2016-09-02,42.42
2016-09-09,40.67
2016-09-16,40.46
2016-09-23,41.37
2016-09-30,41.38
2016-10-07,40.5
2016-10-14,39.8
2016-10-21,39.73
2016-10-28,39.49
2016-11-04,40.89
2016-11-11,41.47
2016-11-18,42.18
2016-11-25,42.98
2016-12-02,43.31
2016-12-09,44.79
2016-12-16,44.33
2016-12-23,43.93
2016-12-30,43.78
2017-01-06,44.82
2017-01-13,45.08
2017-01-20,45.02
2017-01-27,44.98
2017-02-03,45.02
2017-02-10,44.26
2017-02-17,44.94
2017-02-24,42.7
2017-03-03,42.88
2017-03-10,43.19
2017-03-17,43.46
2017-03-24,43.75
2017-03-31,43.23
2017-04-07,43.04
2017-04-14,42.61
2017-04-21,42.63
2017-04-28,45.43
2017-05-05,44.83
2017-05-12,44.0
2017-05-19,43.26
2017-05-26,43.79
2017-06-02,44.18
2017-06-09,43.95
2017-06-16,45.78
2017-06-23,46.53
2017-06-30,46.29
2017-07-07,45.82
2017-07-14,46.08
2017-07-21,45.91
2017-07-28,46.06
2017-08-04,47.3
2017-08-11,46.48
2017-08-18,45.85
2017-08-25,45.75
2017-09-01,45.47
2017-09-08,45.53
2017-09-15,45.54
2017-09-22,45.92
2017-09-29,45.88
2017-10-06,45.98
2017-10-13,46.81
2017-10-20,47.67
2017-10-27,47.02
2017-11-03,44.58
2017-11-10,44.5
2017-11-17,43.93
2017-11-24,44.25
2017-12-01,44.54
2017-12-08,44.26
2017-12-15,44.2
2017-12-22,43.42
2017-12-29,43.59
2018-01-05,44.24
2018-01-12,43.59
2018-01-19,43.7
2018-01-26,44.01
2018-02-02,42.34
2018-02-09,39.39
2018-02-16,40.13
2018-02-23,39.88
2018-03-02,39.34
2018-03-09,40.4
2018-03-16,39.3
2018-03-23,39.02
2018-03-30,38.65
2018-04-06,39.67
2018-04-13,39.27
2018-04-20,39.65
2018-04-27,40.25
2018-05-04,39.37
2018-05-11,37.64
2018-05-18,38.78
2018-05-25,38.66
2018-06-01,39.1
2018-06-08,40.82
