date,value
2015-01-02,105.44
2015-01-09,105.83
2015-01-16,106.54
2015-01-23,107.0
2015-01-30,102.82
2015-02-06,107.2
2015-02-13,108.0
2015-02-20,107.82
2015-02-27,107.44
2015-03-06,105.8
2015-03-13,106.72
2015-03-20,109.73
2015-03-27,107.13
2015-04-03,107.74
2015-04-10,107.65
2015-04-17,105.4
2015-04-24,103.95
2015-05-01,102.12
2015-05-08,103.73
2015-05-15,102.68
2015-05-22,102.73
2015-05-29,101.12
2015-06-05,99.31
2015-06-12,99.47
2015-06-19,99.45
2015-06-26,97.92
2015-07-03,99.23
2015-07-10,101.0
2015-07-17,102.94
2015-07-24,105.27
2015-07-31,106.12
2015-08-07,105.48
2015-08-14,107.71
2015-08-21,102.93
2015-08-28,100.43
2015-09-04,97.76
2015-09-11,99.49
2015-09-18,99.66
2015-09-25,99.91
2015-10-02,100.03
2015-10-09,102.94
2015-10-16,105.9
2015-10-23,112.28
2015-10-30,112.89
2015-11-06,113.1
2015-11-13,112.0
2015-11-20,115.83
2015-11-27,114.85
2015-12-04,114.06
2015-12-11,109.76
2015-12-18,110.13
2015-12-25,113.27
2016-01-01,112.86
2016-01-08,105.99
2016-01-15,105.1
2016-01-22,103.14
2016-01-29,107.04
2016-02-05,106.29
2016-02-12,107.49
2016-02-19,108.09
2016-02-26,108.46
2016-03-04,110.4
2016-03-11,113.64
2016-03-18,115.76
2016-03-25,115.39
2016-04-01,117.4
2016-04-08,115.23
2016-04-15,116.23
2016-04-22,110.84
2016-04-29,109.9
2016-05-06,110.45
2016-05-13,112.67
2016-05-20,111.89
2016-05-27,114.18
2016-06-03,114.62
2016-06-10,113.81
2016-06-17,111.86
2016-06-24,111.02
2016-07-01,118.85
2016-07-08,118.08
2016-07-15,118.64
2016-07-22,117.15
2016-07-29,116.22
2016-08-05,118.58
2016-08-12,118.51
2016-08-19,117.47
2016-08-26,117.14
2016-09-02,118.84
2016-09-09,114.44
2016-09-16,114.67
2016-09-23,115.31
2016-09-30,114.55
2016-10-07,114.53
2016-10-14,115.08
2016-10-21,108.35
2016-10-28,108.43
2016-11-04,104.67
2016-11-11,110.28
2016-11-18,111.82
2016-11-25,113.45
2016-12-02,115.65
2016-12-09,119.19
2016-12-16,121.6
2016-12-23,122.12
2016-12-30,122.42
2017-01-06,118.27
2017-01-13,117.05
2017-01-20,118.02
2017-01-27,118.1
2017-02-03,117.78
2017-02-10,119.73
2017-02-17,121.95
2017-02-24,122.27
2017-03-03,124.13
2017-03-10,122.83
2017-03-17,123.14
2017-03-24,120.77
2017-03-31,120.54
2017-04-07,120.15
2017-04-14,120.53
2017-04-21,119.1
2017-04-28,121.66
2017-05-05,121.3
2017-05-12,120.59
2017-05-19,120.79
2017-05-26,123.66
2017-06-02,125.15
2017-06-09,125.23
2017-06-16,129.44
2017-06-23,127.66
2017-06-30,126.53
2017-07-07,127.17
2017-07-14,125.72
2017-07-21,125.15
2017-07-28,127.21
2017-08-04,129.69
2017-08-11,128.18
2017-08-18,127.89
2017-08-25,126.47
2017-09-01,119.9
2017-09-08,119.76
2017-09-15,120.7
2017-09-22,122.04
2017-09-29,122.52
2017-10-06,125.07
2017-10-13,126.67
2017-10-20,133.32
2017-10-27,131.06
2017-11-03,133.32
2017-11-10,135.54
2017-11-17,129.92
2017-11-24,129.83
2017-12-01,136.21
2017-12-08,133.75
2017-12-15,134.89
2017-12-22,134.39
2017-12-29,135.64
2018-01-05,132.16
2018-01-12,134.73
2018-01-19,137.85
2018-01-26,149.42
2018-02-02,147.95
2018-02-09,137.08
2018-02-16,141.16
2018-02-23,139.74
2018-03-02,137.88
2018-03-09,142.3
2018-03-16,141.32
2018-03-23,134.9
2018-03-30,138.86
2018-04-06,137.25
2018-04-13,136.29
2018-04-20,136.84
2018-04-27,133.19
2018-05-04,129.71
2018-05-11,131.25
2018-05-18,129.85
2018-05-25,131.03
2018-06-01,129.29
2018-06-08,131.32
2018-06-15,129.37
2018-06-22,124.41
2018-06-29,122.34
2018-07-06,123.18
2018-07-13,126.63
2018-07-20,125.2
2018-07-27,130.73
2018-08-03,129.7
2018-08-10,128.87
2018-08-17,130.42
2018-08-24,130.51
2018-08-31,131.6
2018-09-07,130.09
2018-09-14,130.01
2018-09-21,134.44
2018-09-28,129.71
2018-10-05,130.13
2018-10-12,123.65
2018-10-19,126.07
2018-10-26,121.29
2018-11-02,124.9
2018-11-09,131.03
2018-11-16,128.77
2018-11-23,126.6
2018-11-30,130.37
2018-12-07,123.56
2018-12-14,120.55
2018-12-21,116.06
2018-12-28,118.24
2019-01-04,118.68
2019-01-11,120.47
2019-01-18,124.01
2019-01-25,124.98
2019-02-01,126.49
2019-02-08,125.79
