date,value
2015-01-02,39.95
2015-01-09,40.35
2015-01-16,40.36
2015-01-23,41.27
2015-01-30,39.04
2015-02-06,39.76
2015-02-13,40.7
2015-02-20,41.67
2015-02-27,41.31
2015-03-06,40.66
2015-03-13,37.42
2015-03-20,40.22
2015-03-27,38.16
2015-04-03,38.63
2015-04-10,39.38
2015-04-17,39.03
2015-04-24,38.65
2015-05-01,40.49
2015-05-08,41.26
2015-05-15,42.11
2015-05-22,42.95
2015-05-29,42.45
2015-06-05,40.94
2015-06-12,41.59
2015-06-19,43.02
2015-06-26,43.6
2015-07-03,42.93
2015-07-10,42.98
2015-07-17,42.94
2015-07-24,42.89
2015-07-31,44.35
2015-08-07,41.85
2015-08-14,42.5
2015-08-21,41.67
2015-08-28,42.62
2015-09-04,42.13
2015-09-11,43.37
2015-09-18,42.89
2015-09-25,43.34
2015-10-02,44.39
2015-10-09,46.33
2015-10-16,45.3
2015-10-23,47.44
2015-10-30,44.36
2015-11-06,45.5
2015-11-13,43.1
2015-11-20,43.65
2015-11-27,50.55
2015-12-04,52.04
2015-12-11,52.52
2015-12-18,52.55
2015-12-25,53.94
2016-01-01,53.33
2016-01-08,52.3
2016-01-15,51.49
2016-01-22,51.22
2016-01-29,53.36
2016-02-05,57.1
2016-02-12,60.17
2016-02-19,62.97
2016-02-26,65.17
2016-03-04,64.96
2016-03-11,67.69
2016-03-18,67.18
2016-03-25,66.89
2016-04-01,68.09
2016-04-08,68.11
2016-04-15,65.33
2016-04-22,63.07
2016-04-29,65.82
2016-05-06,67.25
2016-05-13,68.75
2016-05-20,64.71
2016-05-27,65.07
2016-06-03,63.21
2016-06-10,60.57
2016-06-17,61.22
2016-06-24,63.57
2016-07-01,66.02
2016-07-08,68.92
2016-07-15,69.57
2016-07-22,72.39
2016-07-29,73.6
2016-08-05,73.64
2016-08-12,75.37
2016-08-19,74.88
2016-08-26,75.09
2016-09-02,76.44
2016-09-09,72.26
2016-09-16,73.25
2016-09-23,76.26
2016-09-30,74.67
2016-10-07,67.75
2016-10-14,71.58
2016-10-21,69.54
2016-10-28,69.74
2016-11-04,67.18
2016-11-11,66.54
2016-11-18,67.36
2016-11-25,59.65
2016-12-02,57.05
2016-12-09,61.92
2016-12-16,62.44
2016-12-23,62.55
2016-12-30,61.68
2017-01-06,63.32
2017-01-13,61.99
2017-01-20,62.57
2017-01-27,62.77
2017-02-03,65.39
2017-02-10,65.06
2017-02-17,65.26
2017-02-24,62.68
2017-03-03,63.6
2017-03-10,63.55
2017-03-17,61.84
2017-03-24,62.57
2017-03-31,61.71
2017-04-07,62.16
2017-04-14,63.47
2017-04-21,65.14
2017-04-28,64.26
2017-05-05,63.33
2017-05-12,58.24
2017-05-19,58.56
2017-05-26,58.34
2017-06-02,57.89
2017-06-09,60.75
2017-06-16,61.61
2017-06-23,62.79
