date,value
2019-04-05,36.58
2019-04-12,41.87
2019-04-19,39.36
2019-04-26,40.23
2019-05-03,39.17
2019-05-10,43.0
2019-05-17,43.29
2019-05-24,44.25
2019-05-31,45.09
2019-06-07,42.9
2019-06-14,41.44
2019-06-21,43.21
2019-06-28,43.81
2019-07-05,46.32
2019-07-12,48.25
2019-07-19,49.5
2019-07-26,48.17
2019-08-02,46.5
2019-08-09,45.23
2019-08-16,44.88
2019-08-23,44.21
2019-08-30,42.59
2019-09-06,41.99
2019-09-13,39.13
2019-09-20,40.25
2019-09-27,36.52
2019-10-04,39.65
2019-10-11,40.27
2019-10-18,41.5
2019-10-25,40.85
2019-11-01,41.65
2019-11-08,42.69
2019-11-15,43.15
2019-11-22,44.59
2019-11-29,44.73
2019-12-06,45.41
2019-12-13,44.82
2019-12-20,46.76
2019-12-27,46.75
2020-01-03,46.67
