date,value
2015-01-02,53.48
2015-01-09,53.6
2015-01-16,53.285
2015-01-23,55.06
2015-01-30,53.45
2015-02-06,54.36
2015-02-13,57.965
2015-02-20,58.52
2015-02-27,58.8
2015-03-06,57.64
2015-03-13,57.115
2015-03-20,59.28
2015-03-27,56.76
2015-04-03,56.72
2015-04-10,57.7
2015-04-17,57.33
2015-04-24,54.73
2015-05-01,55.31
2015-05-08,54.7
2015-05-15,55.61
2015-05-22,55.365
2015-05-29,55.92
2015-06-05,53.785
2015-06-12,53.01
2015-06-19,54.51
2015-06-26,52.9
2015-07-03,51.97
2015-07-10,49.01
2015-07-17,49.36
2015-07-24,49.03
2015-07-31,49.98
2015-08-07,50.32
2015-08-14,50.64
2015-08-21,45.96
2015-08-28,47.99
2015-09-04,46.53
2015-09-11,47.57
2015-09-18,47.8
2015-09-25,47.17
2015-10-02,48.77
2015-10-09,50.87
2015-10-16,52.57
2015-10-23,58.98
2015-10-30,56.72
2015-11-06,57.63
2015-11-13,56.13
2015-11-20,58.12
2015-11-27,57.55
2015-12-04,58.88
2015-12-11,56.21
2015-12-18,54.94
2015-12-25,56.75
2016-01-01,54.81
2016-01-08,50.36
2016-01-15,48.03
2016-01-22,50.3
2016-01-29,52.93
2016-02-05,49.88
2016-02-12,51.14
2016-02-19,52.76
2016-02-26,53.3
2016-03-04,54.89
2016-03-11,56.06
2016-03-18,57.09
2016-03-25,56.7
2016-04-01,57.94
2016-04-08,57.89
2016-04-15,58.93
2016-04-22,58.68
2016-04-29,57.04
2016-05-06,57.2
2016-05-13,57.12
2016-05-20,58.53
2016-05-27,61.02
2016-06-03,60.53
2016-06-10,61.91
2016-06-17,61.62
2016-06-24,60.54
2016-07-01,62.11
2016-07-08,63.27
2016-07-15,64.85
2016-07-22,65.49
2016-07-29,69.75
2016-08-05,70.15
2016-08-12,69.84
2016-08-19,70.27
2016-08-26,69.75
2016-09-02,69.68
2016-09-09,66.67
2016-09-16,69.36
2016-09-23,68.98
2016-09-30,70.18
2016-10-07,70.87
2016-10-14,68.49
2016-10-21,69.97
2016-10-28,70.8
2016-11-04,67.6
2016-11-11,69.85
2016-11-18,72.6
2016-11-25,74.43
2016-12-02,70.72
2016-12-09,71.99
2016-12-16,72.89
2016-12-23,74.38
