date,value
2015-01-02,18.82
2015-01-09,18.77
2015-01-16,19.48
2015-01-23,19.3499
2015-01-30,18.34
2015-02-06,19.3
2015-02-13,19.76
2015-02-20,19.99
2015-02-27,19.45
2015-03-06,18.991
2015-03-13,18.58
2015-03-20,18.23
2015-03-27,17.94
2015-04-03,18.62
2015-04-10,19.5
2015-04-17,20.81
2015-04-24,21.03
2015-05-01,21.4999
2015-05-08,20.4864
2015-05-15,20.66
2015-05-22,20.53
2015-05-29,19.95
2015-06-05,19.56
2015-06-12,19.91
2015-06-19,20.15
2015-06-26,20.2736
2015-07-03,20.12
2015-07-10,19.86
2015-07-17,20.32
2015-07-24,20.18
2015-07-31,20.45
2015-08-07,20.61
2015-08-14,19.68
2015-08-21,17.53
2015-08-28,18.7
2015-09-04,17.43
2015-09-11,17.65
2015-09-18,17.82
2015-09-25,17.68
2015-10-02,17.8
2015-10-09,18.2172
2015-10-16,18.35
2015-10-23,17.999
2015-10-30,16.9836
2015-11-06,16.47
2015-11-13,15.62
2015-11-20,16.1
2015-11-27,16.0
2015-12-04,15.83
2015-12-11,14.55
2015-12-18,15.0399
2015-12-25,15.6101
2016-01-01,15.81
2016-01-08,14.96
2016-01-15,14.3499
2016-01-22,13.96
2016-01-29,14.37
2016-02-05,15.04
2016-02-12,14.76
2016-02-19,15.19
2016-02-26,15.51
2016-03-04,16.39
2016-03-11,17.15
2016-03-18,17.02
2016-03-25,16.4
2016-04-01,16.8426
2016-04-08,16.96
2016-04-15,17.69
2016-04-22,17.68
2016-04-29,17.4146
2016-05-06,16.7
2016-05-13,16.39
2016-05-20,16.28
2016-05-27,16.49
2016-06-03,16.255
2016-06-10,16.86
2016-06-17,16.63
2016-06-24,16.12
2016-07-01,16.64
2016-07-08,16.5899
2016-07-15,17.33
2016-07-22,17.49
2016-07-29,17.0511
2016-08-05,17.23
2016-08-12,17.39
2016-08-19,17.34
2016-08-26,16.94
2016-09-02,16.9
2016-09-09,17.1081
2016-09-16,16.8
2016-09-23,17.1108
2016-09-30,17.0225
2016-10-07,16.46
2016-10-14,16.2
2016-10-21,16.41
2016-10-28,16.12
2016-11-04,15.95
2016-11-11,15.405
2016-11-18,15.8
2016-11-25,15.7
2016-12-02,16.066
2016-12-09,17.08
2016-12-16,17.08
2016-12-23,16.9
2016-12-30,16.54
2017-01-06,17.011
2017-01-13,17.45
2017-01-20,17.1701
2017-01-27,17.3
2017-02-03,16.88
2017-02-10,17.61
2017-02-17,17.48
2017-02-24,17.33
2017-03-03,16.9701
2017-03-10,16.7301
2017-03-17,16.81
2017-03-24,16.9
2017-03-31,16.785
2017-04-07,17.131
2017-04-14,16.95
2017-04-21,16.9999
2017-04-28,16.97
2017-05-05,17.16
2017-05-12,17.3092
2017-05-19,17.39
2017-05-26,17.18
2017-06-02,17.2746
2017-06-09,17.49
2017-06-16,17.49
2017-06-23,16.96
2017-06-30,16.73
2017-07-07,16.905
2017-07-14,17.62
2017-07-21,17.57
2017-07-28,17.63
2017-08-04,17.97
2017-08-11,17.6052
2017-08-18,17.5
2017-08-25,17.77
2017-09-01,17.77
2017-09-08,17.834
2017-09-15,17.9
2017-09-22,17.54
2017-09-29,17.365
2017-10-06,17.54
2017-10-13,17.941
2017-10-20,17.88
2017-10-27,17.85
2017-11-03,17.755
2017-11-10,16.78
2017-11-17,16.89
2017-11-24,16.82
2017-12-01,16.55
2017-12-08,16.7
2017-12-15,16.56
2017-12-22,16.62
2017-12-29,16.8
2018-01-05,17.48
2018-01-12,17.8199
2018-01-19,18.08
2018-01-26,18.02
2018-02-02,17.36
2018-02-09,17.1
2018-02-16,16.97
2018-02-23,17.03
2018-03-02,16.63
2018-03-09,16.88
2018-03-16,16.7
2018-03-23,16.4
2018-03-30,16.74
2018-04-06,16.2
2018-04-13,16.59
2018-04-20,16.5112
2018-04-27,16.5317
2018-05-04,16.4
2018-05-11,16.03
2018-05-18,15.9598
2018-05-25,16.24
2018-06-01,16.34
2018-06-08,16.64
2018-06-15,16.77
2018-06-22,15.58
2018-06-29,15.22
2018-07-06,15.27
2018-07-13,15.48
2018-07-20,15.7599
2018-07-27,15.6224
2018-08-03,15.92
2018-08-10,15.74
2018-08-17,15.53
2018-08-24,15.7929
2018-08-31,15.55
2018-09-07,15.431
2018-09-14,15.6
2018-09-21,15.3
2018-09-28,15.27
2018-10-05,15.07
2018-10-12,15.04
2018-10-19,14.93
2018-10-26,14.83
2018-11-02,15.25
2018-11-09,15.1
2018-11-16,15.19
2018-11-23,14.97
2018-11-30,14.47
2018-12-07,14.11
2018-12-14,14.01
2018-12-21,13.72
2018-12-28,13.8
2019-01-04,14.1
2019-01-11,14.15
2019-01-18,14.1
2019-01-25,14.15
2019-02-01,14.19
2019-02-08,14.13
2019-02-15,13.94
2019-02-22,14.44
2019-03-01,14.68
2019-03-08,14.12
2019-03-15,14.32
2019-03-22,14.435
2019-03-29,14.7268
2019-04-05,14.9
2019-04-12,14.94
2019-04-19,15.4899
2019-04-26,15.612
2019-05-03,15.35
2019-05-10,14.56
2019-05-17,13.75
2019-05-24,13.65
2019-05-31,14.11
2019-06-07,14.2739
2019-06-14,13.57
2019-06-21,13.45
2019-06-28,13.53
2019-07-05,13.37
2019-07-12,13.38
2019-07-19,14.16
2019-07-26,14.6279
2019-08-02,14.065
2019-08-09,13.95
2019-08-16,13.72
2019-08-23,13.6405
2019-08-30,13.9244
2019-09-06,14.07
2019-09-13,14.2
2019-09-20,13.95
2019-09-27,13.66
2019-10-04,13.52
2019-10-11,14.12
2019-10-18,14.39
2019-10-25,14.33
2019-11-01,14.03
2019-11-08,13.87
2019-11-15,13.92
2019-11-22,13.65
2019-11-29,13.43
2019-12-06,13.7319
2019-12-13,13.71
2019-12-20,13.29
2019-12-27,13.4935
2020-01-03,13.37
