date,value
2015-01-02,110.97
2015-01-09,112.85
2015-01-16,108.22
2015-01-23,106.51
2015-01-30,102.53
2015-02-06,104.99
2015-02-13,104.93
2015-02-20,107.87
2015-02-27,113.35
2015-03-06,114.05
2015-03-13,114.08
2015-03-20,118.76
2015-03-27,118.1
2015-04-03,116.69
2015-04-10,118.44
2015-04-17,119.78
2015-04-24,122.69
2015-05-01,116.81
2015-05-08,120.63
2015-05-15,122.25
2015-05-22,126.8
2015-05-29,129.58
2015-06-05,127.43
2015-06-12,130.24
2015-06-19,134.72
2015-06-26,142.69
2015-07-03,142.71
2015-07-10,141.76
2015-07-17,141.23
2015-07-24,140.99
2015-07-31,145.23
2015-08-07,142.74
2015-08-14,143.09
2015-08-21,140.69
2015-08-28,140.37
2015-09-04,135.02
2015-09-11,133.21
2015-09-18,137.23
2015-09-25,130.02
2015-10-02,127.18
2015-10-09,128.5
2015-10-16,128.47
2015-10-23,115.95
2015-10-30,122.09
2015-11-06,125.86
2015-11-13,119.76
2015-11-20,122.5
2015-11-27,124.59
2015-12-04,119.45
2015-12-11,119.49
2015-12-18,114.96
2015-12-25,120.64
2016-01-01,119.49
2016-01-08,112.38
2016-01-15,109.17
2016-01-22,107.52
2016-01-29,112.64
2016-02-05,109.04
2016-02-12,104.26
2016-02-19,106.99
2016-02-26,113.34
2016-03-04,115.54
2016-03-11,115.69
2016-03-18,116.65
2016-03-25,117.91
2016-04-01,125.39
2016-04-08,123.22
2016-04-15,125.38
2016-04-22,129.18
2016-04-29,133.68
2016-05-06,133.87
2016-05-13,133.61
2016-05-20,134.11
2016-05-27,134.69
2016-06-03,135.38
2016-06-10,135.17
2016-06-17,131.25
2016-06-24,136.3
2016-07-01,133.54
2016-07-08,137.16
2016-07-15,135.23
2016-07-22,138.23
2016-07-29,129.53
2016-08-05,127.25
2016-08-12,126.37
2016-08-19,121.29
2016-08-26,119.45
2016-09-02,120.7
2016-09-09,120.11
2016-09-16,123.51
2016-09-23,122.93
2016-09-30,123.22
2016-10-07,120.16
2016-10-14,123.36
2016-10-21,123.56
2016-10-28,120.53
2016-11-04,120.35
2016-11-11,118.74
2016-11-18,122.66
2016-11-25,123.17
2016-12-02,124.65
2016-12-09,112.07
2016-12-16,107.08
2016-12-23,107.93
2016-12-30,106.38
2017-01-06,108.51
2017-01-13,112.67
2017-01-20,112.75
2017-01-27,112.93
2017-02-03,113.85
2017-02-10,116.45
2017-02-17,122.95
2017-02-24,125.98
2017-03-03,125.58
2017-03-10,121.82
2017-03-17,120.08
2017-03-24,121.89
2017-03-31,124.45
2017-04-07,123.26
2017-04-14,121.81
2017-04-21,118.84
2017-04-28,120.76
2017-05-05,121.99
2017-05-12,122.29
2017-05-19,118.68
2017-05-26,116.07
2017-06-02,114.15
2017-06-09,113.43
2017-06-16,115.07
2017-06-23,115.43
2017-06-30,122.08
2017-07-07,122.04
2017-07-14,124.16
2017-07-21,124.42
2017-07-28,111.5
2017-08-04,108.09
2017-08-11,107.59
2017-08-18,107.99
2017-08-25,108.94
2017-09-01,109.1
2017-09-08,110.5
2017-09-15,110.67
2017-09-22,109.29
2017-09-29,110.94
2017-10-06,110.14
2017-10-13,105.55
2017-10-20,112.85
2017-10-27,103.49
2017-11-03,101.61
2017-11-10,97.71
2017-11-17,97.22
2017-11-24,100.48
2017-12-01,108.06
2017-12-08,111.56
2017-12-15,113.44
2017-12-22,115.06
2017-12-29,113.35
2018-01-05,111.97
2018-01-12,116.65
2018-01-19,118.09
2018-01-26,121.23
2018-02-02,119.3
2018-02-09,115.28
2018-02-16,117.9
2018-02-23,116.41
2018-03-02,123.84
2018-03-09,126.66
2018-03-16,123.51
2018-03-23,121.17
2018-03-30,118.41
2018-04-06,118.5
2018-04-13,119.64
2018-04-20,120.52
2018-04-27,114.34
2018-05-04,117.77
2018-05-11,118.36
2018-05-18,117.86
2018-05-25,116.69
2018-06-01,114.15
2018-06-08,115.3
2018-06-15,115.48
2018-06-22,115.01
2018-06-29,111.44
2018-07-06,112.08
2018-07-13,114.74
2018-07-20,112.67
2018-07-27,124.98
2018-08-03,124.19
2018-08-10,124.41
2018-08-17,127.8
2018-08-24,128.1
2018-08-31,130.16
2018-09-07,126.92
2018-09-14,125.86
2018-09-21,126.74
2018-09-28,127.84
2018-10-05,125.3
2018-10-12,122.54
2018-10-19,125.79
2018-10-26,115.61
2018-11-02,123.46
2018-11-09,131.49
2018-11-16,133.0
2018-11-23,131.84
2018-11-30,137.99
2018-12-07,126.22
2018-12-14,121.15
2018-12-21,114.52
2018-12-28,116.2
2019-01-04,118.56
2019-01-11,125.73
2019-01-18,131.97
2019-01-25,131.14
2019-02-01,135.53
2019-02-08,131.49
2019-02-15,135.53
2019-02-22,136.04
2019-03-01,140.8
