date,value
2015-01-02,110.38
2015-01-09,109.6
2015-01-16,110.3
2015-01-23,102.93
2015-01-30,98.84
2015-02-06,100.67
2015-02-13,101.79
2015-02-20,101.96
2015-02-27,101.73
2015-03-06,100.62
2015-03-13,98.53
2015-03-20,100.25
2015-03-27,96.59
2015-04-03,96.47
2015-04-10,96.79
2015-04-17,95.38
2015-04-24,98.1
2015-05-01,101.38
2015-05-08,100.36
2015-05-15,102.13
2015-05-22,101.43
2015-05-29,99.22
2015-06-05,100.51
2015-06-12,100.06
2015-06-19,100.84
2015-06-26,99.35
2015-07-03,97.2
2015-07-10,96.96
2015-07-17,97.6
2015-07-24,94.75
2015-07-31,102.36
2015-08-07,102.14
2015-08-14,102.73
2015-08-21,99.14
2015-08-28,98.64
2015-09-04,95.3
2015-09-11,97.18
2015-09-18,98.32
2015-09-25,98.76
2015-10-02,99.38
2015-10-09,103.68
2015-10-16,103.95
2015-10-23,106.8
2015-10-30,103.02
2015-11-06,104.99
2015-11-13,101.78
2015-11-20,104.1
2015-11-27,104.18
2015-12-04,103.26
2015-12-11,97.46
2015-12-18,98.0
2015-12-25,97.34
2016-01-01,96.23
2016-01-08,91.39
2016-01-15,90.04
2016-01-22,89.9
2016-01-29,93.2
2016-02-05,95.37
2016-02-12,97.25
2016-02-19,97.37
2016-02-26,97.44
2016-03-04,100.4
2016-03-11,100.82
2016-03-18,104.99
2016-03-25,105.43
2016-04-01,104.95
2016-04-08,104.31
2016-04-15,105.54
2016-04-22,105.52
2016-04-29,105.07
2016-05-06,102.11
2016-05-13,100.66
2016-05-20,101.51
2016-05-27,102.98
2016-06-03,103.12
2016-06-10,104.52
2016-06-17,105.02
2016-06-24,104.41
2016-07-01,108.36
2016-07-08,109.52
2016-07-15,111.03
2016-07-22,110.36
2016-07-29,108.1
2016-08-05,108.79
2016-08-12,109.91
2016-08-19,110.57
2016-08-26,108.95
2016-09-02,109.59
2016-09-09,107.63
2016-09-16,106.86
2016-09-23,109.21
2016-09-30,109.36
2016-10-07,108.8
2016-10-14,108.42
2016-10-21,107.16
2016-10-28,107.7
2016-11-04,106.94
2016-11-11,114.23
2016-11-18,114.09
2016-11-25,116.26
2016-12-02,116.35
2016-12-09,119.6
2016-12-16,115.81
2016-12-23,115.97
2016-12-30,114.64
2017-01-06,115.4
2017-01-13,114.24
2017-01-20,114.96
2017-01-27,118.09
2017-02-03,106.95
2017-02-10,107.34
2017-02-17,106.9
2017-02-24,106.18
2017-03-03,105.93
2017-03-10,106.73
2017-03-17,108.15
2017-03-24,105.05
2017-03-31,107.3
2017-04-07,104.99
2017-04-14,103.74
2017-04-21,105.77
2017-04-28,107.46
2017-05-05,107.43
2017-05-12,104.13
2017-05-19,103.42
2017-05-26,105.87
2017-06-02,107.67
