date,value
2015-01-02,71.65
2015-01-09,70.608
2015-01-16,70.39
2015-01-23,71.04
2015-01-30,69.87
2015-02-06,71.82
2015-02-13,73.0
2015-02-20,74.21
2015-02-27,74.54
2015-03-06,73.02
2015-03-13,72.39
2015-03-20,74.8129
2015-03-27,73.39
2015-04-03,73.66
2015-04-10,74.92
2015-04-17,74.19
2015-04-24,75.62
2015-05-01,75.05
2015-05-08,75.81
2015-05-15,76.48
2015-05-22,76.6712
2015-05-29,75.1
2015-06-05,74.73
2015-06-12,75.0
2015-06-19,75.3758
2015-06-26,74.23
2015-07-03,72.94
2015-07-10,73.01
2015-07-17,74.28
2015-07-24,72.89
2015-07-31,74.1
2015-08-07,73.41
2015-08-14,72.96
2015-08-21,68.56
2015-08-28,69.88
2015-09-04,66.89
2015-09-11,68.0933
2015-09-18,68.16
2015-09-25,67.56
2015-10-02,67.37
2015-10-09,70.02
2015-10-16,70.69
2015-10-23,71.55
2015-10-30,71.42
2015-11-06,71.78
2015-11-13,69.725
2015-11-20,71.83
2015-11-27,71.47
2015-12-04,72.07
2015-12-11,69.1316
2015-12-18,69.09
2015-12-25,70.0
2016-01-01,69.6
2016-01-08,64.81
2016-01-15,62.94
2016-01-22,64.19
2016-01-29,65.35
2016-02-05,63.34
2016-02-12,62.13
2016-02-19,64.31
2016-02-26,65.08
2016-03-04,67.8
2016-03-11,68.62
2016-03-18,69.12
2016-03-25,68.47
2016-04-01,69.2
2016-04-08,68.95
2016-04-15,70.29
2016-04-22,71.39
2016-04-29,70.11
2016-05-06,69.26
2016-05-13,69.04
2016-05-20,69.46
2016-05-27,70.83
2016-06-03,71.16
2016-06-10,70.19
2016-06-17,69.64
2016-06-24,67.47
2016-07-01,69.52
2016-07-08,69.76
2016-07-15,71.25
2016-07-22,71.63
2016-07-29,72.21
2016-08-05,72.09
2016-08-12,72.93
2016-08-19,72.93
2016-08-26,72.36
2016-09-02,73.07
2016-09-09,71.6
2016-09-16,71.3
2016-09-23,72.48
2016-09-30,72.66
2016-10-07,71.99
2016-10-14,71.13
2016-10-21,71.65
2016-10-28,71.33
2016-11-04,69.75
2016-11-11,71.43
2016-11-18,71.54
2016-11-25,72.3169
2016-12-02,72.2
2016-12-09,74.2
2016-12-16,73.93
2016-12-23,73.59
2016-12-30,73.08
2017-01-06,74.79
2017-01-13,74.94
2017-01-20,74.64
2017-01-27,75.56
2017-02-03,75.59
2017-02-10,75.99
2017-02-17,76.89
2017-02-24,77.2
2017-03-03,77.66
2017-03-10,77.45
2017-03-17,78.12
2017-03-24,77.4992
2017-03-31,77.87
2017-04-07,77.66
2017-04-14,76.98
2017-04-21,77.583
2017-04-28,79.18
2017-05-05,80.08
2017-05-12,79.83
2017-05-19,80.09
2017-05-26,80.88
2017-06-02,81.86
2017-06-09,81.37
2017-06-16,81.48
2017-06-23,80.57
2017-06-30,80.33
2017-07-07,80.26
2017-07-14,81.67
2017-07-21,81.93
2017-07-28,82.23
2017-08-04,82.62
2017-08-11,81.07
2017-08-18,80.98
2017-08-25,81.59
2017-09-01,82.42
2017-09-08,82.48
2017-09-15,83.54
2017-09-22,83.84
2017-09-29,84.09
2017-10-06,84.73
2017-10-13,85.46
2017-10-20,85.76
2017-10-27,85.67
2017-11-03,86.05
2017-11-10,85.96
2017-11-17,85.78
2017-11-24,86.88
2017-12-01,87.41
2017-12-08,87.58
2017-12-15,87.95
2017-12-22,88.1
2017-12-29,88.11
2018-01-05,90.42
2018-01-12,91.65
2018-01-19,92.29
2018-01-26,94.07
2018-02-02,90.72
2018-02-09,86.15
2018-02-16,89.69
2018-02-23,89.94
2018-03-02,87.75
2018-03-09,90.28
2018-03-16,89.52
2018-03-23,85.24
2018-03-30,87.13
2018-04-06,86.16
2018-04-13,87.8
2018-04-20,88.27
2018-04-27,88.2
2018-05-04,88.08
2018-05-11,89.86
2018-05-18,89.47
2018-05-25,89.13
2018-06-01,89.32
2018-06-08,90.49
2018-06-15,90.37
2018-06-22,88.5
2018-06-29,87.46
2018-07-06,88.55
2018-07-13,89.39
2018-07-20,89.56
2018-07-27,90.07
2018-08-03,90.28
2018-08-10,89.44
2018-08-17,89.6
2018-08-24,90.71
2018-08-31,91.12
2018-09-07,89.6834
2018-09-14,91.11
2018-09-21,92.5
2018-09-28,91.8
2018-10-05,90.51
2018-10-12,86.84
2018-10-19,86.72
2018-10-26,83.45
2018-11-02,85.78
2018-11-09,87.08
2018-11-16,85.86
2018-11-23,83.28
2018-11-30,86.21
2018-12-07,82.91
2018-12-14,81.94
2018-12-21,76.52
2018-12-28,78.33
2019-01-04,79.92
2019-01-11,81.77
2019-01-18,83.79
2019-01-25,83.84
2019-02-01,84.93
2019-02-08,84.72
2019-02-15,86.94
2019-02-22,87.63
2019-03-01,88.07
2019-03-08,86.24
2019-03-15,88.75
2019-03-22,87.83
2019-03-29,88.79
2019-04-05,90.62
2019-04-12,91.07
2019-04-19,91.21
2019-04-26,91.73
2019-05-03,92.13
2019-05-10,89.9495
2019-05-17,89.5037
2019-05-24,88.77
2019-05-31,86.76
2019-06-07,90.22
2019-06-14,90.25
2019-06-21,91.0
2019-06-28,91.0173
2019-07-05,92.35
2019-07-12,92.73
2019-07-19,91.87
2019-07-26,93.05
2019-08-02,90.12
2019-08-09,89.83
2019-08-16,88.5
2019-08-23,87.52
2019-08-30,89.84
2019-09-06,91.52
2019-09-13,92.55
2019-09-20,92.38
2019-09-27,91.58
2019-10-04,90.79
2019-10-11,91.95
2019-10-18,92.65
2019-10-25,93.7181
2019-11-01,95.11
2019-11-08,95.76
2019-11-15,96.48
2019-11-22,95.97
2019-11-29,96.76
2019-12-06,97.1
2019-12-13,98.19
2019-12-20,98.51
2019-12-27,99.07
2020-01-03,98.69
