date,value
2017-08-25,24.9999
2017-09-01,25.25
2017-09-08,25.0
2017-09-15,25.52
2017-09-22,25.6
2017-09-29,25.88
2017-10-06,26.255
2017-10-13,26.235
2017-10-20,26.505
2017-10-27,26.41
2017-11-03,26.405
2017-11-10,26.27
2017-11-17,26.49
2017-11-24,26.89
2017-12-01,27.325
2017-12-08,27.52
2017-12-15,27.6
2017-12-22,27.52
2017-12-29,27.6
2018-01-05,27.955
2018-01-12,28.395
2018-01-19,28.52
2018-01-26,28.7588
2018-02-02,27.925
2018-02-09,26.45
2018-02-16,27.71
2018-02-23,27.469
2018-03-02,27.18
2018-03-09,27.93
2018-03-16,27.8
2018-03-23,26.94
2018-03-30,27.07
2018-04-06,26.625
2018-04-13,27.01
2018-04-20,27.22
2018-04-27,27.16
2018-05-04,27.0
2018-05-11,27.45
2018-05-18,27.4968
2018-05-25,27.61
2018-06-01,27.66
2018-06-08,28.24
2018-06-15,28.245
2018-06-22,27.989
2018-06-29,27.55
2018-07-06,27.96
2018-07-13,28.07
2018-07-20,28.14
2018-07-27,28.13
2018-08-03,28.36
2018-08-10,28.32
2018-08-17,28.605
2018-08-24,28.72
2018-08-31,28.85
2018-09-07,28.685
2018-09-14,28.94
2018-09-21,29.02
2018-09-28,28.64
2018-10-05,28.188
2018-10-12,26.62
2018-10-19,26.878
2018-10-26,25.66
2018-11-02,26.87
2018-11-09,27.4
2018-11-16,26.88
2018-11-23,26.58
2018-11-30,27.025
2018-12-07,25.9339
2018-12-14,25.356
2018-12-21,23.7023
2018-12-28,23.8334
2019-01-04,24.3697
2019-01-11,25.27
2019-01-18,26.0009
2019-01-25,26.0416
2019-02-01,26.4917
2019-02-08,26.5649
2019-02-15,27.347
2019-02-22,27.5302
2019-03-01,27.5521
2019-03-08,26.8385
2019-03-15,27.3739
2019-03-22,26.9314
2019-03-29,27.4287
2019-04-05,28.0933
2019-04-12,28.3153
2019-04-19,28.14
2019-04-26,28.3525
2019-05-03,28.4826
2019-05-10,27.8931
2019-05-17,27.5461
2019-05-24,27.2191
2019-05-31,26.5216
2019-06-07,27.68
2019-06-14,27.8253
2019-06-21,28.2689
2019-06-28,28.235
2019-07-05,28.6213
2019-07-12,28.7187
2019-07-19,28.4375
2019-07-26,28.9115
2019-08-02,27.9292
2019-08-09,27.8097
2019-08-16,27.4193
2019-08-23,26.97
2019-08-30,27.7155
2019-09-06,28.247
2019-09-13,28.804
2019-09-20,28.639
2019-09-27,28.3419
2019-10-04,28.0411
2019-10-11,28.222
2019-10-18,28.4786
2019-10-25,28.7889
2019-11-01,29.103
2019-11-08,29.372
2019-11-15,29.579
2019-11-22,29.429
2019-11-29,29.7644
2019-12-06,29.847
2019-12-13,29.975
2019-12-20,30.508
2019-12-27,30.2802
2020-01-03,30.2359
