date,value
2015-01-02,47.6
2015-01-09,49.1816
2015-01-16,50.0
2015-01-23,50.63
2015-01-30,49.98
2015-02-06,49.0
2015-02-13,49.14
2015-02-20,48.8764
2015-02-27,48.295
2015-03-06,46.8
2015-03-13,47.62
2015-03-20,50.09
2015-03-27,48.4215
2015-04-03,48.889
2015-04-10,47.6
2015-04-17,47.32
2015-04-24,47.73
2015-05-01,46.31
2015-05-08,46.71
2015-05-15,47.04
2015-05-22,46.5699
2015-05-29,46.0
2015-06-05,44.88
2015-06-12,45.0028
2015-06-19,45.8414
2015-06-26,44.0201
2015-07-03,44.2399
2015-07-10,45.1224
2015-07-17,45.34
2015-07-24,45.3
2015-07-31,45.97
2015-08-07,46.0101
2015-08-14,46.8
2015-08-21,45.94
2015-08-28,44.34
2015-09-04,42.33
2015-09-11,42.97
2015-09-18,44.43
2015-09-25,43.97
2015-10-02,44.65
2015-10-09,46.0599
2015-10-16,46.6822
2015-10-23,47.045
2015-10-30,46.77
2015-11-06,45.73
2015-11-13,44.84
2015-11-20,46.595
2015-11-27,46.96
2015-12-04,46.51
2015-12-11,45.619
2015-12-18,46.6
2015-12-25,46.9363
2016-01-01,47.33
2016-01-08,45.959
2016-01-15,44.43
2016-01-22,44.9612
2016-01-29,45.27
2016-02-05,44.45
2016-02-12,42.36
2016-02-19,44.1217
2016-02-26,45.0
2016-03-04,46.6594
2016-03-11,47.5
2016-03-18,48.73
2016-03-25,47.475
2016-04-01,49.08
2016-04-08,48.91
2016-04-15,48.86
2016-04-22,48.0601
2016-04-29,47.73
2016-05-06,49.84
2016-05-13,49.3
2016-05-20,48.0716
2016-05-27,48.95
2016-06-03,49.1925
2016-06-10,49.3825
2016-06-17,49.83
2016-06-24,49.4133
2016-07-01,52.004
2016-07-08,52.4673
2016-07-15,52.4338
2016-07-22,53.45
2016-07-29,53.5401
2016-08-05,52.475
2016-08-12,52.43
2016-08-19,51.39
2016-08-26,51.165
2016-09-02,51.9
2016-09-09,50.0
2016-09-16,49.65
2016-09-23,51.8606
2016-09-30,50.72
2016-10-07,47.85
2016-10-14,48.67
2016-10-21,48.71
2016-10-28,47.28
2016-11-04,46.28
2016-11-11,46.12
2016-11-18,46.38
2016-11-25,47.1
2016-12-02,47.06
2016-12-09,48.85
2016-12-16,48.52
2016-12-23,47.86
2016-12-30,48.77
2017-01-06,50.05
2017-01-13,48.9899
2017-01-20,49.32
2017-01-27,48.77
2017-02-03,48.991
2017-02-10,49.7379
2017-02-17,49.71
2017-02-24,50.69
2017-03-03,49.915
2017-03-10,47.7493
2017-03-17,48.93
2017-03-24,48.54
2017-03-31,48.92
2017-04-07,49.45
2017-04-14,49.79
2017-04-21,50.31
2017-04-28,49.04
2017-05-05,48.65
2017-05-12,48.0312
2017-05-19,48.65
2017-05-26,48.67
2017-06-02,49.3643
2017-06-09,49.52
2017-06-16,50.25
2017-06-23,50.335
2017-06-30,49.21
2017-07-07,48.57
2017-07-14,49.24
2017-07-21,49.62
2017-07-28,49.7494
2017-08-04,49.67
2017-08-11,48.5
2017-08-18,48.533
2017-08-25,49.565
2017-09-01,49.96
2017-09-08,50.14
2017-09-15,50.44
2017-09-22,49.23
