date,value
2015-01-02,24.2
2015-01-09,24.38
2015-01-16,24.59
2015-01-23,25.21
2015-01-30,25.13
2015-02-06,25.06
2015-02-13,24.91
2015-02-20,24.96
2015-02-27,25.2
2015-03-06,25.8
2015-03-13,26.49
2015-03-20,25.82
2015-03-27,25.66
2015-04-03,25.71
2015-04-10,26.17
2015-04-17,25.63
2015-04-24,25.52
2015-05-01,25.03
2015-05-08,24.91
2015-05-15,24.51
2015-05-22,25.28
2015-05-29,25.46
2015-06-05,25.3
2015-06-12,24.89
2015-06-19,24.68
2015-06-26,25.0
2015-07-03,25.17
2015-07-10,25.1
2015-07-17,25.62
2015-07-24,25.45
2015-07-31,25.43
2015-08-07,25.52
2015-08-14,25.24
2015-08-21,24.8
2015-08-28,25.1
2015-09-04,25.13
2015-09-11,24.83
2015-09-18,24.86
2015-09-25,25.08
2015-10-02,25.03
2015-10-09,24.72
2015-10-16,24.65
2015-10-23,25.3
2015-10-30,25.25
2015-11-06,25.83
2015-11-13,25.76
2015-11-20,25.94
2015-11-27,26.02
2015-12-04,25.58
2015-12-11,25.35
2015-12-18,25.63
2015-12-25,25.48
2016-01-01,25.65
2016-01-08,25.56
2016-01-15,25.69
2016-01-22,25.86
2016-01-29,25.86
2016-02-05,25.17
2016-02-12,24.92
2016-02-19,25.07
2016-02-26,25.44
2016-03-04,25.25
2016-03-11,24.95
2016-03-18,24.64
2016-03-25,24.93
2016-04-01,24.53
2016-04-08,24.42
2016-04-15,24.54
2016-04-22,24.65
2016-04-29,24.1
2016-05-06,24.32
2016-05-13,24.49
2016-05-20,24.69
2016-05-27,24.79
2016-06-03,24.34
2016-06-10,24.5
2016-06-17,24.39
2016-06-24,24.78
2016-07-01,24.76
2016-07-08,24.93
2016-07-15,24.96
2016-07-22,25.21
2016-07-29,24.67
2016-08-05,24.88
2016-08-12,24.75
2016-08-19,24.42
2016-08-26,24.68
2016-09-02,24.79
2016-09-09,24.64
2016-09-16,24.83
2016-09-23,24.68
2016-09-30,24.68
2016-10-07,24.96
2016-10-14,25.36
2016-10-21,25.5
2016-10-28,25.41
2016-11-04,25.06
2016-11-11,25.59
2016-11-18,26.19
2016-11-25,26.24
2016-12-02,26.05
2016-12-09,26.24
2016-12-16,26.57
2016-12-23,26.63
2016-12-30,26.46
2017-01-06,26.41
2017-01-13,26.16
2017-01-20,26.03
2017-01-27,25.99
2017-02-03,25.78
2017-02-10,26.03
2017-02-17,26.08
2017-02-24,26.13
2017-03-03,26.17
2017-03-10,26.15
2017-03-17,25.89
2017-03-24,25.74
2017-03-31,25.95
2017-04-07,26.15
2017-04-14,25.98
2017-04-21,25.81
2017-04-28,25.57
2017-05-05,25.45
2017-05-12,25.61
2017-05-19,25.09
2017-05-26,25.17
2017-06-02,24.99
2017-06-09,25.15
2017-06-16,25.12
2017-06-23,25.15
2017-06-30,24.75
2017-07-07,24.84
2017-07-14,24.62
2017-07-21,24.32
2017-07-28,24.17
2017-08-04,24.23
2017-08-11,24.11
2017-08-18,24.21
2017-08-25,23.99
2017-09-01,24.08
2017-09-08,23.7
