date,value
2015-01-02,87.02
2015-01-09,87.38
2015-01-16,87.59
2015-01-23,87.23
2015-01-30,92.56
2015-02-06,92.53
2015-02-13,92.65
2015-02-20,92.9
2015-02-27,92.97
2015-03-06,93.18
2015-03-13,93.4
2015-03-20,94.51
2015-03-27,93.74
2015-04-03,93.79
2015-04-10,94.39
2015-04-17,93.78
2015-04-24,95.5
2015-05-01,88.59
2015-05-08,87.94
2015-05-15,87.25
2015-05-22,87.57
2015-05-29,86.6
2015-06-05,86.82
2015-06-12,85.78
2015-06-19,88.0
2015-06-26,85.29
2015-07-03,85.91
2015-07-10,86.8
2015-07-17,87.7
2015-07-24,87.14
2015-07-31,86.07
2015-08-07,86.11
2015-08-14,86.91
2015-08-21,83.07
2015-08-28,82.47
2015-09-04,79.2
2015-09-11,79.25
2015-09-18,77.61
2015-09-25,75.27
2015-10-02,75.19
2015-10-09,77.97
2015-10-16,77.08
2015-10-23,77.26
2015-10-30,78.53
2015-11-06,80.88
2015-11-13,78.47
2015-11-20,80.62
2015-11-27,80.8
2015-12-04,80.23
2015-12-11,77.66
2015-12-18,78.9
2015-12-25,81.12
2016-01-01,80.8
2016-01-08,76.55
2016-01-15,76.08
2016-01-22,76.33
2016-01-29,77.13
2016-02-05,74.69
2016-02-12,75.86
2016-02-19,77.78
2016-02-26,78.96
2016-03-04,79.21
2016-03-11,79.26
2016-03-18,78.97
2016-03-25,77.73
2016-04-01,81.15
2016-04-08,80.12
2016-04-15,83.93
2016-04-22,85.17
2016-04-29,81.18
2016-05-06,81.47
2016-05-13,82.11
2016-05-20,83.76
2016-05-27,82.05
2016-06-03,83.36
2016-06-10,85.3
2016-06-17,81.02
2016-06-24,80.11
2016-07-01,82.6
2016-07-08,84.99
2016-07-15,86.41
2016-07-22,87.04
2016-07-29,94.74
2016-08-05,95.25
2016-08-12,94.92
2016-08-19,94.55
2016-08-26,95.37
2016-09-02,96.41
2016-09-09,93.63
2016-09-16,95.87
2016-09-23,98.17
2016-09-30,99.53
2016-10-07,99.02
2016-10-14,95.76
2016-10-21,97.25
2016-10-28,90.09
2016-11-04,89.14
2016-11-11,87.99
2016-11-18,88.25
2016-11-25,92.14
2016-12-02,89.78
2016-12-09,91.24
2016-12-16,91.06
2016-12-23,91.01
2016-12-30,89.78
2017-01-06,89.21
2017-01-13,90.68
2017-01-20,89.92
2017-01-27,88.8
2017-02-03,79.78
2017-02-10,80.4
2017-02-17,83.61
2017-02-24,84.72
2017-03-03,86.92
2017-03-10,87.84
2017-03-17,91.52
2017-03-24,91.18
2017-03-31,91.13
2017-04-07,90.78
2017-04-14,88.86
2017-04-21,89.0
2017-04-28,90.74
2017-05-05,92.13
2017-05-12,96.29
2017-05-19,95.05
2017-05-26,97.87
2017-06-02,101.53
2017-06-09,102.27
2017-06-16,102.96
2017-06-23,105.03
2017-06-30,103.19
2017-07-07,103.64
2017-07-14,106.2
2017-07-21,103.88
2017-07-28,97.5
2017-08-04,96.61
2017-08-11,97.74
2017-08-18,100.5
2017-08-25,101.99
2017-09-01,105.31
2017-09-08,106.42
2017-09-15,106.33
2017-09-22,105.19
2017-09-29,100.06
2017-10-06,102.39
2017-10-13,102.7
2017-10-20,106.69
2017-10-27,106.35
2017-11-03,106.09
2017-11-10,107.55
2017-11-17,109.03
2017-11-24,108.87
2017-12-01,112.41
2017-12-08,111.98
2017-12-15,111.87
2017-12-22,110.91
2017-12-29,111.15
2018-01-05,110.87
2018-01-12,108.49
2018-01-19,110.32
2018-01-26,129.46
2018-02-02,124.86
2018-02-09,114.5
2018-02-16,121.26
2018-02-23,121.17
2018-03-02,120.49
2018-03-09,126.55
2018-03-16,124.84
2018-03-23,119.45
2018-03-30,122.65
2018-04-06,117.64
2018-04-13,120.7
2018-04-20,126.5
2018-04-27,118.18
2018-05-04,117.57
2018-05-11,118.5
2018-05-18,118.4
2018-05-25,118.54
2018-06-01,120.13
2018-06-08,121.67
2018-06-15,122.17
2018-06-22,118.4
2018-06-29,113.72
2018-07-06,116.57
2018-07-13,116.36
2018-07-20,116.41
2018-07-27,114.13
2018-08-03,114.77
2018-08-10,111.18
2018-08-17,111.21
2018-08-24,112.46
2018-08-31,112.02
2018-09-07,106.55
2018-09-14,111.74
2018-09-21,112.48
2018-09-28,111.93
2018-10-05,108.06
2018-10-12,105.29
2018-10-19,104.19
2018-10-26,110.94
2018-11-02,120.31
2018-11-09,119.37
2018-11-16,118.76
2018-11-23,115.58
2018-11-30,123.39
2018-12-07,118.81
2018-12-14,119.1
2018-12-21,107.48
2018-12-28,111.99
2019-01-04,118.65
2019-01-11,125.65
