date,value
2015-01-02,50.34
2015-01-09,48.65
2015-01-16,45.4
2015-01-23,50.16
2015-01-30,52.88
2015-02-06,54.86
2015-02-13,58.6
2015-02-20,60.72
2015-02-27,61.69
2015-03-06,58.74
2015-03-13,58.53
2015-03-20,61.55
2015-03-27,61.87
2015-04-03,59.8
2015-04-10,59.73
2015-04-17,57.56
2015-04-24,60.05
2015-05-01,58.9
2015-05-08,59.09
2015-05-15,59.62
2015-05-22,60.99
2015-05-29,59.24
2015-06-05,57.74
2015-06-12,58.85
2015-06-19,60.33
2015-06-26,60.9
2015-07-03,64.72
2015-07-10,65.85
2015-07-17,67.94
2015-07-24,65.7
2015-07-31,65.6
2015-08-07,65.42
2015-08-14,68.12
2015-08-21,61.14
2015-08-28,59.0
2015-09-04,58.46
2015-09-11,62.91
2015-09-18,59.91
2015-09-25,60.81
2015-10-02,63.1
2015-10-09,64.2
2015-10-16,63.75
2015-10-23,61.75
2015-10-30,65.92
2015-11-06,71.95
2015-11-13,68.96
2015-11-20,71.98
2015-11-27,72.94
2015-12-04,71.39
2015-12-11,67.51
2015-12-18,70.03
2015-12-25,71.93
2016-01-01,70.71
2016-01-08,68.26
2016-01-15,66.41
2016-01-22,67.86
2016-01-29,67.87
2016-02-05,57.12
2016-02-12,57.75
2016-02-19,57.05
2016-02-26,59.66
2016-03-04,63.89
2016-03-11,65.37
2016-03-18,65.16
2016-03-25,65.84
2016-04-01,62.91
2016-04-08,63.06
2016-04-15,59.49
2016-04-22,61.24
2016-04-29,58.87
2016-05-06,55.36
2016-05-13,55.11
2016-05-20,56.14
2016-05-27,54.57
2016-06-03,55.15
2016-06-10,53.43
2016-06-17,51.71
2016-06-24,52.56
2016-07-01,51.43
2016-07-08,47.73
2016-07-15,49.94
2016-07-22,49.88
2016-07-29,52.28
2016-08-05,53.5
2016-08-12,54.33
2016-08-19,54.82
2016-08-26,55.28
2016-09-02,54.83
2016-09-09,54.92
2016-09-16,56.73
2016-09-23,55.67
2016-09-30,53.0
2016-10-07,54.27
2016-10-14,53.79
2016-10-21,55.76
2016-10-28,58.6
2016-11-04,57.87
2016-11-11,62.45
2016-11-18,63.39
2016-11-25,64.86
2016-12-02,61.46
2016-12-09,68.0
2016-12-16,68.0
2016-12-23,68.96
2016-12-30,68.32
2017-01-06,66.66
2017-01-13,66.39
2017-01-20,66.24
2017-01-27,67.31
2017-02-03,65.51
2017-02-10,67.47
2017-02-17,65.49
2017-02-24,66.72
2017-03-03,66.08
2017-03-10,66.57
2017-03-17,68.9
2017-03-24,65.78
2017-03-31,66.29
2017-04-07,65.57
2017-04-14,64.68
2017-04-21,65.23
2017-04-28,64.61
2017-05-05,65.34
2017-05-12,66.42
2017-05-19,63.87
2017-05-26,62.45
2017-06-02,62.1
2017-06-09,65.26
2017-06-16,65.8
2017-06-23,65.98
2017-06-30,67.46
2017-07-07,68.18
2017-07-14,68.04
2017-07-21,67.78
2017-07-28,66.69
2017-08-04,68.53
2017-08-11,66.15
2017-08-18,64.75
2017-08-25,67.67
2017-09-01,69.2
2017-09-08,69.54
2017-09-15,71.13
2017-09-22,74.29
2017-09-29,76.93
2017-10-06,77.23
2017-10-13,78.08
2017-10-20,77.54
2017-10-27,77.75
2017-11-03,80.88
2017-11-10,81.37
2017-11-17,82.88
2017-11-24,82.25
2017-12-01,84.17
2017-12-08,87.6
2017-12-15,88.19
2017-12-22,91.13
2017-12-29,91.91
2018-01-05,94.03
2018-01-12,96.75
2018-01-19,97.26
2018-01-26,98.69
2018-02-02,93.19
2018-02-09,88.22
2018-02-16,93.27
2018-02-23,92.46
2018-03-02,92.2
2018-03-09,94.32
2018-03-16,93.79
