date,value
2015-01-02,65.3901
2015-01-09,65.2305
2015-01-16,64.135
2015-01-23,65.09
2015-01-30,63.29
2015-02-06,66.0443
2015-02-13,67.0099
2015-02-20,67.07
2015-02-27,67.04
2015-03-06,65.76
2015-03-13,65.43
2015-03-20,67.233
2015-03-27,65.2287
2015-04-03,65.628
2015-04-10,66.678
2015-04-17,66.28
2015-04-24,67.09
2015-05-01,67.0101
2015-05-08,67.3416
2015-05-15,67.51
2015-05-22,67.89
2015-05-29,67.15
2015-06-05,66.8812
2015-06-12,66.93
2015-06-19,67.444
2015-06-26,66.5602
2015-07-03,65.89
2015-07-10,65.68
2015-07-17,66.9397
2015-07-24,65.76
2015-07-31,65.91
2015-08-07,65.37
2015-08-14,65.61
2015-08-21,62.15
2015-08-28,62.144
2015-09-04,60.59
2015-09-11,61.62
2015-09-18,61.41
2015-09-25,59.97
2015-10-02,60.505
2015-10-09,63.5566
2015-10-16,63.8367
2015-10-23,64.69
2015-10-30,64.34
2015-11-06,65.02
2015-11-13,62.3114
2015-11-20,63.8501
2015-11-27,64.0305
2015-12-04,64.12
2015-12-11,61.64
2015-12-18,61.5185
2015-12-25,63.01
2016-01-01,62.24
2016-01-08,58.218
2016-01-15,55.83
2016-01-22,55.88
2016-01-29,56.84
2016-02-05,55.53
2016-02-12,54.96
2016-02-19,56.68
2016-02-26,58.03
2016-03-04,60.11
2016-03-11,61.33
2016-03-18,62.1
2016-03-25,60.74
2016-04-01,61.43
2016-04-08,60.34
2016-04-15,61.52
2016-04-22,63.02
2016-04-29,61.81
2016-05-06,60.78
2016-05-13,59.99
2016-05-20,60.99
2016-05-27,62.63
2016-06-03,62.6
2016-06-10,62.53
2016-06-17,61.6
2016-06-24,60.03
2016-07-01,61.76
2016-07-08,62.54
2016-07-15,64.09
2016-07-22,64.61
2016-07-29,64.42
2016-08-05,64.64
2016-08-12,64.77
2016-08-19,65.17
2016-08-26,64.85
2016-09-02,65.4
2016-09-09,64.15
2016-09-16,64.835
2016-09-23,65.53
2016-09-30,65.28
2016-10-07,65.18
2016-10-14,64.34
2016-10-21,64.57
2016-10-28,64.33
2016-11-04,63.37
2016-11-11,67.1
2016-11-18,68.05
2016-11-25,69.16
2016-12-02,69.05
2016-12-09,71.71
2016-12-16,71.31
2016-12-23,71.06
2016-12-30,70.19
2017-01-06,71.21
2017-01-13,71.03
2017-01-20,70.67
2017-01-27,71.51
2017-02-03,72.18
2017-02-10,72.56
2017-02-17,74.17
2017-02-24,74.48
2017-03-03,75.03
2017-03-10,74.06
2017-03-17,73.78
2017-03-24,72.08
2017-03-31,73.12
2017-04-07,72.7
2017-04-14,71.73
2017-04-21,72.34
2017-04-28,73.28
2017-05-05,73.61
2017-05-12,73.31
2017-05-19,72.46
2017-05-26,73.38
2017-06-02,73.97
2017-06-09,74.05
2017-06-16,73.42
2017-06-23,73.68
2017-06-30,73.57
2017-07-07,73.8
2017-07-14,74.75
2017-07-21,74.85
2017-07-28,75.01
2017-08-04,75.29
2017-08-11,74.19
2017-08-18,73.39
2017-08-25,74.2
2017-09-01,75.72
2017-09-08,75.05
2017-09-15,76.83
2017-09-22,76.87
2017-09-29,77.32
2017-10-06,78.6
2017-10-13,78.77
2017-10-20,79.41
2017-10-27,79.48
2017-11-03,79.89
2017-11-10,79.85
2017-11-17,80.31
2017-11-24,81.06
2017-12-01,82.43
2017-12-08,83.06
2017-12-15,83.63
2017-12-22,84.27
2017-12-29,83.62
2018-01-05,85.69
2018-01-12,87.58
2018-01-19,88.19
2018-01-26,89.39
2018-02-02,84.83
2018-02-09,81.24
2018-02-16,84.84
2018-02-23,85.14
2018-03-02,83.67
2018-03-09,86.21
2018-03-16,85.55
2018-03-23,79.98
2018-03-30,82.02
2018-04-06,81.07
2018-04-13,82.94
2018-04-20,82.85
2018-04-27,83.08
2018-05-04,82.49
2018-05-11,84.35
2018-05-18,84.49
2018-05-25,84.59
2018-06-01,84.94
2018-06-08,86.55
2018-06-15,86.19
2018-06-22,84.95
2018-06-29,82.61
2018-07-06,83.67
2018-07-13,84.49
2018-07-20,84.39
2018-07-27,84.91
2018-08-03,86.53
2018-08-10,86.12
2018-08-17,87.23
2018-08-24,87.75
2018-08-31,88.51
2018-09-07,87.31
2018-09-14,88.2
2018-09-21,89.23
2018-09-28,87.85
2018-10-05,87.55
2018-10-12,83.89
2018-10-19,83.57
2018-10-26,80.56
2018-11-02,82.9
2018-11-09,84.11
2018-11-16,82.09
2018-11-23,79.0
2018-11-30,82.17
2018-12-07,77.7
2018-12-14,76.43
2018-12-21,70.42
2018-12-28,72.08
2019-01-04,74.45
2019-01-11,77.06
2019-01-18,78.85
2019-01-25,78.89
2019-02-01,79.98
2019-02-08,79.1
2019-02-15,81.58
2019-02-22,82.01
2019-03-01,81.5
2019-03-08,78.82
2019-03-15,80.86
2019-03-22,79.06
2019-03-29,79.86
2019-04-05,82.31
2019-04-12,82.38
2019-04-19,82.93
2019-04-26,82.13
2019-05-03,82.83
2019-05-10,80.52
2019-05-17,79.18
2019-05-24,77.85
2019-05-31,74.66
2019-06-07,78.31
2019-06-14,78.77
2019-06-21,79.66
2019-06-28,81.19
2019-07-05,82.01
2019-07-12,82.92
2019-07-19,82.37
2019-07-26,83.86
2019-08-02,80.57
2019-08-09,79.05
2019-08-16,77.53
2019-08-23,76.44
2019-08-30,78.76
2019-09-06,81.38
2019-09-13,84.65
2019-09-20,83.29
2019-09-27,81.66
2019-10-04,80.24
2019-10-11,81.39
2019-10-18,82.14
2019-10-25,84.35
2019-11-01,85.75
2019-11-08,87.78
2019-11-15,87.98
2019-11-22,87.12
2019-11-29,87.49
2019-12-06,87.57
2019-12-13,88.34
2019-12-20,89.8
2019-12-27,89.92
2020-01-03,89.34
