date,value
2015-01-02,82.07
2015-01-09,78.9
2015-01-16,80.61
2015-01-23,82.98
2015-01-30,77.1
2015-02-06,78.58
2015-02-13,84.68
2015-02-20,85.16
2015-02-27,85.07
2015-03-06,85.19
2015-03-13,81.15
2015-03-20,82.82
2015-03-27,82.06
2015-04-03,80.36
2015-04-10,83.38
2015-04-17,85.07
2015-04-24,88.23
2015-05-01,87.47
2015-05-08,88.0
2015-05-15,87.5
2015-05-22,87.72
2015-05-29,87.32
2015-06-05,89.45
2015-06-12,88.91
2015-06-19,88.75
2015-06-26,87.59
2015-07-03,85.2
2015-07-10,82.07
2015-07-17,84.54
2015-07-24,86.9
2015-07-31,89.13
2015-08-07,84.86
2015-08-14,88.49
2015-08-21,84.38
2015-08-28,77.55
2015-09-04,79.55
2015-09-11,80.56
2015-09-18,79.1
2015-09-25,79.12
2015-10-02,79.71
2015-10-09,78.65
2015-10-16,69.62
2015-10-23,58.18
2015-10-30,60.15
2015-11-06,59.49
2015-11-13,58.71
2015-11-20,58.66
2015-11-27,60.45
2015-12-04,59.62
2015-12-11,59.05
2015-12-18,56.86
2015-12-25,57.36
2016-01-01,56.57
2016-01-08,54.1
2016-01-15,52.11
2016-01-22,49.5
2016-01-29,45.75
2016-02-05,44.54
2016-02-12,45.01
2016-02-19,49.22
2016-02-26,50.76
2016-03-04,49.45
2016-03-11,49.62
2016-03-18,51.52
2016-03-25,51.08
2016-04-01,52.03
2016-04-08,52.0
2016-04-15,51.73
2016-04-22,58.3
2016-04-29,56.91
2016-05-06,55.35
2016-05-13,57.92
2016-05-20,59.76
2016-05-27,59.63
2016-06-03,62.08
2016-06-10,63.21
2016-06-17,60.27
2016-06-24,58.54
2016-07-01,58.01
2016-07-08,59.18
2016-07-15,62.07
2016-07-22,71.55
2016-07-29,72.98
2016-08-05,70.98
2016-08-12,71.08
2016-08-19,72.84
2016-08-26,74.25
2016-09-02,73.78
2016-09-09,73.08
2016-09-16,72.44
2016-09-23,73.38
2016-09-30,73.35
2016-10-07,73.99
2016-10-14,72.98
2016-10-21,72.91
2016-10-28,77.65
2016-11-04,76.79
2016-11-11,76.44
2016-11-18,80.14
2016-11-25,79.8
2016-12-02,78.76
2016-12-09,80.58
2016-12-16,80.79
2016-12-23,80.12
2016-12-30,78.73
2017-01-06,81.5
2017-01-13,82.01
2017-01-20,82.64
2017-01-27,87.16
2017-02-03,88.95
2017-02-10,89.92
2017-02-17,91.22
2017-02-24,91.01
2017-03-03,89.69
2017-03-10,89.9
2017-03-17,92.6
2017-03-24,91.73
2017-03-31,92.14
2017-04-07,92.33
2017-04-14,90.81
2017-04-21,90.85
2017-04-28,94.12
2017-05-05,93.97
2017-05-12,93.2
2017-05-19,92.52
2017-05-26,96.81
2017-06-02,95.36
2017-06-09,87.63
2017-06-16,88.1
2017-06-23,90.92
2017-06-30,87.43
2017-07-07,88.19
2017-07-14,88.37
2017-07-21,92.27
2017-07-28,92.3
2017-08-04,93.09
2017-08-11,91.95
2017-08-18,96.27
2017-08-25,102.74
2017-09-01,107.48
2017-09-08,106.1
2017-09-15,110.25
2017-09-22,109.15
2017-09-29,109.19
2017-10-06,111.53
2017-10-13,113.62
2017-10-20,118.34
2017-10-27,120.97
2017-11-03,117.94
2017-11-10,122.15
2017-11-17,123.26
2017-11-24,124.22
2017-12-01,124.44
2017-12-08,119.57
2017-12-15,123.8
2017-12-22,127.69
2017-12-29,125.32
2018-01-05,131.26
2018-01-12,132.53
2018-01-19,136.04
2018-01-26,150.0
2018-02-02,122.72
2018-02-09,113.13
2018-02-16,124.55
2018-02-23,126.42
2018-03-02,116.34
2018-03-09,125.84
2018-03-16,124.47
2018-03-23,122.06
2018-03-30,121.27
2018-04-06,118.65
2018-04-13,121.34
2018-04-20,136.05
2018-04-27,133.05
2018-05-04,134.35
2018-05-11,144.04
2018-05-18,138.99
2018-05-25,136.45
2018-06-01,145.93
2018-06-08,149.64
2018-06-15,150.46
2018-06-22,150.01
2018-06-29,146.97
2018-07-06,157.68
2018-07-13,155.05
2018-07-20,152.25
2018-07-27,148.8
2018-08-03,149.45
2018-08-10,153.21
2018-08-17,150.88
2018-08-24,151.37
2018-08-31,153.26
2018-09-07,151.93
2018-09-14,162.65
2018-09-21,152.09
2018-09-28,156.06
2018-10-05,156.54
2018-10-12,147.74
2018-10-19,140.46
2018-10-26,138.76
2018-11-02,141.35
2018-11-09,150.82
