date,value
2015-01-02,123.07
2015-01-09,122.21
2015-01-16,122.86
2015-01-23,125.57
2015-01-30,110.14
2015-02-06,108.66
2015-02-13,113.66
2015-02-20,118.61
2015-02-27,119.43
2015-03-06,126.34
2015-03-13,124.0
2015-03-20,131.0
2015-03-27,120.34
2015-04-03,117.23
2015-04-10,128.47
2015-04-17,125.07
2015-04-24,133.2
2015-05-01,125.6
2015-05-08,127.41
2015-05-15,126.21
2015-05-22,125.08
2015-05-29,128.29
2015-06-05,127.35
2015-06-12,124.36
2015-06-19,128.04
2015-06-26,126.87
2015-07-03,131.26
2015-07-10,122.95
2015-07-17,134.17
2015-07-24,125.5
2015-07-31,135.0
2015-08-07,137.74
2015-08-14,136.88
2015-08-21,125.47
2015-08-28,134.05
2015-09-04,126.99
2015-09-11,134.06
2015-09-18,124.16
2015-09-25,103.28
2015-10-02,115.18
2015-10-09,110.0
2015-10-16,114.32
2015-10-23,114.37
2015-10-30,124.74
2015-11-06,117.96
2015-11-13,123.05
2015-11-20,130.55
2015-11-27,133.06
2015-12-04,125.17
2015-12-11,117.64
2015-12-18,116.51
2015-12-25,124.84
2016-01-01,125.83
2016-01-08,110.71
2016-01-15,97.91
2016-01-22,94.71
2016-01-29,90.75
2016-02-05,86.61
2016-02-12,83.23
2016-02-19,88.08
2016-02-26,87.0
2016-03-04,88.36
2016-03-11,86.26
2016-03-18,82.52
2016-03-25,80.58
2016-04-01,79.15
2016-04-08,85.25
2016-04-15,81.75
2016-04-22,86.8
2016-04-29,84.34
2016-05-06,85.54
2016-05-13,81.38
2016-05-20,84.7
2016-05-27,90.38
2016-06-03,93.96
2016-06-10,91.49
2016-06-17,86.73
2016-06-24,81.9
2016-07-01,87.74
2016-07-08,88.96
2016-07-15,90.21
2016-07-22,93.89
2016-07-29,97.0
2016-08-05,102.43
2016-08-12,101.53
2016-08-19,98.01
2016-08-26,97.09
2016-09-02,95.11
2016-09-09,93.68
2016-09-16,92.71
2016-09-23,90.63
2016-09-30,87.21
2016-10-07,85.7
2016-10-14,79.23
2016-10-21,80.76
2016-10-28,77.58
2016-11-04,78.96
2016-11-11,92.0
2016-11-18,89.44
2016-11-25,87.77
2016-12-02,75.5
2016-12-09,76.67
2016-12-16,76.8
2016-12-23,74.31
2016-12-30,73.67
2017-01-06,79.39
2017-01-13,83.17
2017-01-20,81.37
2017-01-27,87.37
2017-02-03,86.73
2017-02-10,88.15
2017-02-17,88.33
2017-02-24,86.07
2017-03-03,90.19
2017-03-10,93.98
2017-03-17,91.92
2017-03-24,89.98
2017-03-31,109.35
2017-04-07,115.88
2017-04-14,113.8
2017-04-21,116.7
2017-04-28,118.3
2017-05-05,114.84
2017-05-12,114.6
2017-05-19,118.02
2017-05-26,119.92
2017-06-02,129.9
2017-06-09,122.66
2017-06-16,123.14
2017-06-23,133.5
2017-06-30,128.87
2017-07-07,130.35
2017-07-14,130.99
2017-07-21,163.17
2017-07-28,154.15
2017-08-04,154.54
2017-08-11,153.78
2017-08-18,148.13
2017-08-25,153.27
2017-09-01,162.24
2017-09-08,158.83
2017-09-15,153.61
2017-09-22,151.26
2017-09-29,152.04
2017-10-06,155.1
2017-10-13,152.91
2017-10-20,154.63
2017-10-27,150.11
2017-11-03,149.97
2017-11-10,148.74
2017-11-17,147.41
2017-11-24,146.55
2017-12-01,140.79
2017-12-08,143.61
2017-12-15,145.86
2017-12-22,149.97
2017-12-29,149.86
2018-01-05,155.69
2018-01-12,157.93
2018-01-19,157.97
2018-01-26,169.21
2018-02-02,166.24
2018-02-09,152.96
2018-02-16,160.72
2018-02-23,165.9
2018-03-02,170.06
2018-03-09,176.26
2018-03-16,175.66
2018-03-23,160.93
2018-03-30,162.98
2018-04-06,154.25
2018-04-13,161.39
2018-04-20,158.15
2018-04-27,156.05
2018-05-04,149.39
2018-05-11,155.97
2018-05-18,157.24
2018-05-25,157.5
2018-06-01,152.05
2018-06-08,150.55
2018-06-15,155.02
2018-06-22,159.19
2018-06-29,169.96
2018-07-06,173.45
2018-07-13,180.5
2018-07-20,177.4
2018-07-27,172.1
2018-08-03,174.54
2018-08-10,174.82
2018-08-17,176.08
2018-08-24,176.84
2018-08-31,184.4
2018-09-07,179.47
2018-09-14,179.01
2018-09-21,180.08
2018-09-28,192.74
2018-10-05,188.05
2018-10-12,181.32
2018-10-19,175.69
2018-10-26,169.48
2018-11-02,173.29
2018-11-09,180.55
2018-11-16,165.11
2018-11-23,160.39
2018-11-30,180.79
2018-12-07,172.21
2018-12-14,170.06
2018-12-21,156.5
2018-12-28,161.42
2019-01-04,172.7
2019-01-11,188.16
2019-01-18,194.7
2019-01-25,189.5
2019-02-01,191.52
2019-02-08,181.34
2019-02-15,188.07
2019-02-22,185.76
2019-03-01,192.16
2019-03-08,177.26
2019-03-15,188.09
2019-03-22,181.53
2019-03-29,183.95
2019-04-05,188.89
2019-04-12,182.78
2019-04-19,168.16
2019-04-26,172.85
2019-05-03,173.87
2019-05-10,168.85
2019-05-17,168.73
2019-05-24,171.77
2019-05-31,166.18
2019-06-07,173.51
2019-06-14,170.22
2019-06-21,183.97
2019-06-28,183.38
2019-07-05,178.34
2019-07-12,175.79
2019-07-19,174.13
2019-07-26,166.83
2019-08-02,178.39
2019-08-09,182.98
2019-08-16,184.94
2019-08-23,180.18
2019-08-30,180.02
2019-09-06,181.33
2019-09-13,174.94
2019-09-20,178.12
2019-09-27,166.74
2019-10-04,172.42
2019-10-11,172.41
2019-10-18,176.23
2019-10-25,194.49
2019-11-01,200.94
2019-11-08,201.31
2019-11-15,209.8
2019-11-22,218.0
2019-11-29,221.75
2019-12-06,223.25
2019-12-13,218.98
2019-12-20,220.69
2019-12-27,220.97
2020-01-03,217.98
