date,value
2015-01-02,53.19
2015-01-09,53.62
2015-01-16,55.86
2015-01-23,56.95
2015-01-30,55.77
2015-02-06,53.43
2015-02-13,50.96
2015-02-20,51.93
2015-02-27,50.98
2015-03-06,48.4
2015-03-13,48.21
2015-03-20,50.19
2015-03-27,49.45
2015-04-03,49.79
2015-04-10,49.65
2015-04-17,49.54
2015-04-24,51.11
2015-05-01,49.6
2015-05-08,48.09
2015-05-15,48.0
2015-05-22,48.34
2015-05-29,48.28
2015-06-05,45.51
2015-06-12,45.57
2015-06-19,46.58
2015-06-26,46.21
2015-07-03,46.65
2015-07-10,47.26
2015-07-17,47.86
2015-07-24,47.12
2015-07-31,49.0
2015-08-07,50.04
2015-08-14,51.34
2015-08-21,51.3
2015-08-28,48.2
2015-09-04,46.57
2015-09-11,47.88
2015-09-18,49.33
2015-09-25,51.01
2015-10-02,52.62
2015-10-09,52.36
2015-10-16,53.3
2015-10-23,52.81
2015-10-30,51.56
2015-11-06,49.51
2015-11-13,49.02
2015-11-20,50.51
2015-11-27,49.54
2015-12-04,49.45
2015-12-11,48.56
2015-12-18,50.24
2015-12-25,51.57
2016-01-01,51.31
2016-01-08,51.47
2016-01-15,52.75
2016-01-22,53.62
2016-01-29,55.23
2016-02-05,57.05
2016-02-12,55.67
2016-02-19,56.53
2016-02-26,56.44
2016-03-04,57.04
2016-03-11,58.15
2016-03-18,58.5
2016-03-25,58.89
2016-04-01,59.97
2016-04-08,58.93
2016-04-15,58.79
2016-04-22,56.65
2016-04-29,58.21
2016-05-06,59.25
2016-05-13,59.91
2016-05-20,58.51
2016-05-27,59.73
2016-06-03,61.52
2016-06-10,62.53
2016-06-17,63.3
2016-06-24,63.32
2016-07-01,65.05
2016-07-08,65.03
2016-07-15,63.96
2016-07-22,65.39
2016-07-29,64.91
2016-08-05,62.58
2016-08-12,62.46
2016-08-19,61.31
2016-08-26,59.68
2016-09-02,60.56
2016-09-09,59.09
2016-09-16,60.79
2016-09-23,62.97
2016-09-30,59.88
2016-10-07,57.09
2016-10-14,57.74
2016-10-21,57.69
2016-10-28,58.52
2016-11-04,57.72
2016-11-11,54.95
2016-11-18,55.53
2016-11-25,56.56
2016-12-02,55.64
2016-12-09,57.16
2016-12-16,58.01
2016-12-23,58.73
2016-12-30,58.65
2017-01-06,58.78
2017-01-13,58.74
2017-01-20,58.5
2017-01-27,58.23
2017-02-03,57.64
2017-02-10,57.54
2017-02-17,57.54
2017-02-24,59.49
2017-03-03,59.29
2017-03-10,58.72
2017-03-17,60.01
2017-03-24,61.08
2017-03-31,60.63
2017-04-07,60.36
2017-04-14,60.68
2017-04-21,60.3
2017-04-28,60.52
2017-05-05,61.6
2017-05-12,60.79
2017-05-19,61.01
2017-05-26,62.45
2017-06-02,63.57
2017-06-09,63.13
2017-06-16,64.23
2017-06-23,63.46
2017-06-30,61.38
2017-07-07,60.92
2017-07-14,61.23
2017-07-21,63.37
2017-07-28,62.36
2017-08-04,64.09
2017-08-11,63.84
2017-08-18,64.59
2017-08-25,65.1
2017-09-01,65.13
2017-09-08,66.64
2017-09-15,66.07
2017-09-22,63.61
2017-09-29,62.78
2017-10-06,64.3
2017-10-13,65.1
2017-10-20,66.81
2017-10-27,67.84
2017-11-03,68.17
2017-11-10,67.92
2017-11-17,68.19
2017-11-24,68.53
2017-12-01,69.14
2017-12-08,68.96
2017-12-15,68.17
2017-12-22,65.72
2017-12-29,66.43
2018-01-05,64.87
2018-01-12,63.63
2018-01-19,63.11
2018-01-26,64.01
2018-02-02,62.01
2018-02-09,61.1
2018-02-16,61.92
2018-02-23,61.85
2018-03-02,59.47
2018-03-09,60.55
2018-03-16,62.45
2018-03-23,60.5
2018-03-30,62.7
2018-04-06,63.04
2018-04-13,61.58
2018-04-20,62.15
2018-04-27,64.47
2018-05-04,64.41
2018-05-11,61.89
2018-05-18,60.47
2018-05-25,62.52
2018-06-01,62.32
2018-06-08,59.46
2018-06-15,60.6
2018-06-22,62.29
2018-06-29,64.65
2018-07-06,66.41
2018-07-13,65.19
2018-07-20,64.84
2018-07-27,65.69
2018-08-03,66.33
2018-08-10,67.15
2018-08-17,68.26
2018-08-24,67.8
2018-08-31,67.58
2018-09-07,68.56
2018-09-14,68.8
2018-09-21,67.24
2018-09-28,66.76
2018-10-05,68.28
2018-10-12,67.49
2018-10-19,70.57
2018-10-26,68.89
2018-11-02,67.0
2018-11-09,70.0
2018-11-16,70.91
2018-11-23,70.47
2018-11-30,72.48
2018-12-07,73.77
2018-12-14,74.36
2018-12-21,71.44
2018-12-28,69.01
2019-01-04,68.26
2019-01-11,69.44
2019-01-18,70.86
2019-01-25,71.04
2019-02-01,72.81
2019-02-08,74.72
2019-02-15,74.47
2019-02-22,76.64
2019-03-01,76.03
2019-03-08,77.0
2019-03-15,78.88
2019-03-22,79.33
2019-03-29,79.08
2019-04-05,78.22
2019-04-12,77.82
2019-04-19,76.29
2019-04-26,77.64
2019-05-03,78.31
2019-05-10,79.21
2019-05-17,80.9
2019-05-24,82.41
2019-05-31,80.55
2019-06-07,82.96
2019-06-14,84.31
2019-06-21,85.42
2019-06-28,83.37
2019-07-05,85.02
2019-07-12,85.47
2019-07-19,86.31
2019-07-26,86.66
2019-08-02,86.56
