date,value
2015-01-02,63.22
2015-01-09,60.68
2015-01-16,57.63
2015-01-23,58.41
2015-01-30,57.97
2015-02-06,59.63
2015-02-13,61.68
2015-02-20,62.44
2015-02-27,62.54
2015-03-06,60.95
2015-03-13,60.8
2015-03-20,60.99
2015-03-27,61.59
2015-04-03,59.41
2015-04-10,63.2
2015-04-17,63.12
2015-04-24,64.95
2015-05-01,64.26
2015-05-08,65.2
2015-05-15,62.95
2015-05-22,63.43
2015-05-29,64.05
2015-06-05,60.01
2015-06-12,59.41
2015-06-19,59.88
2015-06-26,60.13
2015-07-03,60.12
2015-07-10,60.0
2015-07-17,57.59
2015-07-24,56.2
2015-07-31,58.66
2015-08-07,54.98
2015-08-14,53.19
2015-08-21,53.17
2015-08-28,53.64
2015-09-04,51.54
2015-09-11,49.36
2015-09-18,47.5
2015-09-25,43.64
2015-10-02,42.79
2015-10-09,45.79
2015-10-16,45.83
2015-10-23,42.55
2015-10-30,43.13
2015-11-06,43.1
2015-11-13,38.72
2015-11-20,38.26
2015-11-27,42.25
2015-12-04,37.68
2015-12-11,33.5
2015-12-18,30.16
2015-12-25,34.65
2016-01-01,36.29
2016-01-08,35.2
2016-01-15,28.06
2016-01-22,28.33
2016-01-29,27.04
2016-02-05,26.33
2016-02-12,20.61
2016-02-19,20.77
2016-02-26,27.31
2016-03-04,32.1
2016-03-11,31.28
2016-03-18,33.5
2016-03-25,32.12
2016-04-01,33.2
2016-04-08,34.22
2016-04-15,35.53
2016-04-22,40.3
2016-04-29,40.38
2016-05-06,40.34
2016-05-13,40.2
2016-05-20,44.54
2016-05-27,43.36
2016-06-03,43.04
2016-06-10,42.7
2016-06-17,36.87
2016-06-24,37.2
2016-07-01,38.27
2016-07-08,38.15
2016-07-15,37.75
2016-07-22,38.15
2016-07-29,37.36
2016-08-05,36.62
2016-08-12,36.45
2016-08-19,36.5
2016-08-26,36.54
2016-09-02,37.12
2016-09-09,37.02
2016-09-16,37.55
2016-09-23,39.7
2016-09-30,42.49
2016-10-07,42.12
2016-10-14,42.45
2016-10-21,45.87
2016-10-28,43.5
2016-11-04,41.9
2016-11-11,42.09
2016-11-18,43.28
2016-11-25,42.89
2016-12-02,42.8
2016-12-09,41.3
2016-12-16,43.38
2016-12-23,44.38
2016-12-30,42.35
2017-01-06,43.54
2017-01-13,43.86
2017-01-20,44.52
2017-01-27,46.5
2017-02-03,44.78
2017-02-10,46.66
2017-02-17,47.01
2017-02-24,45.9
2017-03-03,45.97
2017-03-10,45.62
2017-03-17,45.72
2017-03-24,44.77
2017-03-31,46.1
2017-04-07,46.38
2017-04-14,45.41
2017-04-21,45.38
2017-04-28,45.79
2017-05-05,44.4
2017-05-12,44.97
2017-05-19,44.64
2017-05-26,43.5
2017-06-02,43.42
2017-06-09,42.85
2017-06-16,42.49
2017-06-23,41.21
2017-06-30,43.02
2017-07-07,42.85
2017-07-14,43.1
2017-07-21,41.54
2017-07-28,41.52
2017-08-04,40.69
2017-08-11,39.95
2017-08-18,39.57
2017-08-25,40.52
2017-09-01,40.5
2017-09-08,39.75
2017-09-15,40.45
2017-09-22,39.26
2017-09-29,41.18
2017-10-06,40.53
2017-10-13,39.9
2017-10-20,39.6
2017-10-27,39.08
2017-11-03,38.06
2017-11-10,37.19
2017-11-17,36.53
2017-11-24,36.15
2017-12-01,36.5
2017-12-08,36.68
2017-12-15,36.61
2017-12-22,36.92
2017-12-29,37.16
2018-01-05,40.77
2018-01-12,42.12
2018-01-19,40.42
2018-01-26,41.42
2018-02-02,39.55
2018-02-09,37.3
2018-02-16,39.13
2018-02-23,37.3
2018-03-02,35.26
2018-03-09,35.35
2018-03-16,35.5
2018-03-23,33.34
2018-03-30,33.12
2018-04-06,32.56
2018-04-13,32.51
2018-04-20,34.22
2018-04-27,34.11
2018-05-04,34.35
2018-05-11,35.45
2018-05-18,35.21
2018-05-25,35.52
2018-06-01,38.02
2018-06-08,37.02
2018-06-15,35.51
2018-06-22,35.87
2018-06-29,35.75
2018-07-06,36.02
2018-07-13,35.98
2018-07-20,36.04
2018-07-27,35.8
2018-08-03,36.47
2018-08-10,36.26
2018-08-17,35.97
2018-08-24,35.71
2018-08-31,33.86
2018-09-07,34.79
2018-09-14,33.52
2018-09-21,32.22
2018-09-28,29.94
2018-10-05,32.46
2018-10-12,32.61
2018-10-19,31.7
2018-10-26,29.84
2018-11-02,29.28
2018-11-09,30.3
2018-11-16,28.82
2018-11-23,28.29
2018-11-30,28.98
2018-12-07,29.85
2018-12-14,30.14
2018-12-21,27.86
2018-12-28,27.66
2019-01-04,29.54
