date,value
2015-01-02,54.7
2015-01-09,52.68
2015-01-16,51.64
2015-01-23,53.26
2015-01-30,51.92
2015-02-06,54.45
2015-02-13,55.33
2015-02-20,54.83
2015-02-27,54.79
2015-03-06,54.59
2015-03-13,55.34
2015-03-20,56.01
2015-03-27,54.12
2015-04-03,54.37
2015-04-10,54.32
2015-04-17,54.05
2015-04-24,54.7
2015-05-01,55.19
2015-05-08,56.05
2015-05-15,55.52
2015-05-22,56.0
2015-05-29,55.96
2015-06-05,56.61
2015-06-12,57.09
2015-06-19,57.05
2015-06-26,57.44
2015-07-03,56.74
2015-07-10,56.08
2015-07-17,57.94
2015-07-24,57.78
2015-07-31,57.87
2015-08-07,57.47
2015-08-14,57.33
2015-08-21,53.97
2015-08-28,53.54
2015-09-04,51.29
2015-09-11,52.62
2015-09-18,51.04
2015-09-25,51.48
2015-10-02,51.26
2015-10-09,52.14
2015-10-16,52.88
2015-10-23,54.75
2015-10-30,54.14
2015-11-06,55.85
2015-11-13,54.57
2015-11-20,55.82
2015-11-27,55.39
2015-12-04,55.67
2015-12-11,53.31
2015-12-18,53.79
2015-12-25,54.82
2016-01-01,54.36
2016-01-08,49.56
2016-01-15,48.82
2016-01-22,49.02
2016-01-29,50.23
2016-02-05,47.86
2016-02-12,47.31
2016-02-19,48.09
2016-02-26,48.07
2016-03-04,50.11
2016-03-11,50.07
2016-03-18,50.54
2016-03-25,48.9
2016-04-01,48.45
2016-04-08,47.07
2016-04-15,48.25
2016-04-22,50.62
2016-04-29,49.98
2016-05-06,49.02
2016-05-13,48.24
2016-05-20,48.75
2016-05-27,50.85
2016-06-03,50.19
2016-06-10,48.34
2016-06-17,46.6
2016-06-24,45.71
2016-07-01,47.03
2016-07-08,47.79
2016-07-15,47.71
2016-07-22,48.32
2016-07-29,47.97
2016-08-05,48.68
2016-08-12,47.9
2016-08-19,48.65
2016-08-26,48.51
2016-09-02,50.55
2016-09-09,48.72
2016-09-16,45.43
2016-09-23,45.74
2016-09-30,44.28
2016-10-07,45.33
2016-10-14,44.71
2016-10-21,45.09
2016-10-28,46.23
2016-11-04,44.6
2016-11-11,51.73
2016-11-18,52.82
2016-11-25,52.62
2016-12-02,53.58
2016-12-09,57.14
2016-12-16,55.34
2016-12-23,55.96
2016-12-30,55.11
2017-01-06,55.04
2017-01-13,55.31
2017-01-20,55.07
2017-01-27,56.59
2017-02-03,57.27
2017-02-10,56.86
2017-02-17,58.09
2017-02-24,57.81
2017-03-03,58.89
2017-03-10,58.85
2017-03-17,58.67
2017-03-24,55.83
2017-03-31,55.66
2017-04-07,54.84
2017-04-14,51.35
2017-04-21,53.0
2017-04-28,53.84
2017-05-05,55.11
2017-05-12,53.02
2017-05-19,53.06
2017-05-26,52.41
2017-06-02,51.81
2017-06-09,53.8
2017-06-16,53.89
2017-06-23,52.45
2017-06-30,55.41
2017-07-07,55.74
