date,value
2015-01-02,193.01
2015-01-09,197.23
2015-01-16,200.17
2015-01-23,200.92
2015-01-30,199.08
2015-02-06,211.14
2015-02-13,213.23
2015-02-20,213.27
2015-02-27,211.95
2015-03-06,203.42
2015-03-13,197.62
2015-03-20,197.95
2015-03-27,198.5
2015-04-03,200.38
2015-04-10,195.67
2015-04-17,189.6
2015-04-24,196.49
2015-05-01,179.31
2015-05-08,185.65
2015-05-15,187.83
2015-05-22,192.01
2015-05-29,184.25
2015-06-05,187.77
2015-06-12,185.99
2015-06-19,187.57
2015-06-26,177.81
2015-07-03,169.73
2015-07-10,174.42
2015-07-17,168.72
2015-07-24,176.1
2015-07-31,177.73
2015-08-07,170.41
2015-08-14,177.22
2015-08-21,177.6
2015-08-28,168.49
2015-09-04,163.87
2015-09-11,163.04
2015-09-18,164.1
2015-09-25,154.95
2015-10-02,148.6
2015-10-09,158.65
2015-10-16,156.77
2015-10-23,145.9
2015-10-30,160.14
2015-11-06,156.45
2015-11-13,151.07
2015-11-20,162.27
2015-11-27,166.29
2015-12-04,160.19
2015-12-11,146.1
2015-12-18,142.27
2015-12-25,149.57
2016-01-01,146.87
2016-01-08,135.56
2016-01-15,128.64
2016-01-22,133.58
2016-01-29,134.39
2016-02-05,137.82
2016-02-12,132.19
2016-02-19,142.91
2016-02-26,154.55
2016-03-04,161.16
2016-03-11,164.7
2016-03-18,177.93
2016-03-25,175.09
2016-04-01,183.31
2016-04-08,182.59
2016-04-15,186.4
2016-04-22,187.31
2016-04-29,174.14
2016-05-06,176.7
2016-05-13,168.72
2016-05-20,168.1
2016-05-27,174.61
2016-06-03,173.81
2016-06-10,177.52
2016-06-17,175.64
2016-06-24,162.57
2016-07-01,167.27
2016-07-08,171.38
2016-07-15,175.51
2016-07-22,187.61
2016-07-29,192.36
2016-08-05,189.56
2016-08-12,185.97
2016-08-19,182.87
2016-08-26,181.02
2016-09-02,177.98
2016-09-09,166.72
2016-09-16,162.75
2016-09-23,162.17
2016-09-30,162.16
2016-10-07,163.49
2016-10-14,160.75
2016-10-21,167.18
2016-10-28,150.82
2016-11-04,152.79
2016-11-11,162.95
2016-11-18,161.05
2016-11-25,165.61
2016-12-02,166.84
2016-12-09,173.73
2016-12-16,174.08
2016-12-23,181.95
2016-12-30,181.77
2017-01-06,186.1
2017-01-13,184.77
2017-01-20,185.62
2017-01-27,170.85
2017-02-03,173.61
2017-02-10,174.48
2017-02-17,177.19
2017-02-24,180.16
2017-03-03,177.89
2017-03-10,177.75
2017-03-17,172.71
2017-03-24,170.0
2017-03-31,171.33
2017-04-07,167.03
2017-04-14,169.44
2017-04-21,171.51
2017-04-28,185.68
2017-05-05,185.14
2017-05-12,183.19
2017-05-19,179.08
2017-05-26,179.13
2017-06-02,189.89
2017-06-09,190.98
2017-06-16,195.87
2017-06-23,188.68
2017-06-30,191.62
2017-07-07,192.11
2017-07-14,192.29
2017-07-21,191.22
2017-07-28,177.76
2017-08-04,177.82
2017-08-11,171.24
2017-08-18,170.08
2017-08-25,168.45
2017-09-01,173.29
2017-09-08,172.29
2017-09-15,171.86
2017-09-22,175.23
2017-09-29,184.44
2017-10-06,181.33
2017-10-13,178.78
2017-10-20,182.46
2017-10-27,161.41
2017-11-03,163.86
2017-11-10,162.05
2017-11-17,165.4
2017-11-24,167.82
2017-12-01,167.46
2017-12-08,169.7
2017-12-15,164.49
2017-12-22,171.68
2017-12-29,168.64
2018-01-05,168.48
2018-01-12,172.75
2018-01-19,167.53
2018-01-26,185.97
2018-02-02,178.06
2018-02-09,167.01
2018-02-16,172.7
2018-02-23,171.44
2018-03-02,158.65
2018-03-09,164.06
2018-03-16,159.82
2018-03-23,152.63
2018-03-30,153.11
2018-04-06,148.52
2018-04-13,148.59
2018-04-20,149.37
2018-04-27,157.75
2018-05-04,153.3
2018-05-11,155.97
2018-05-18,162.68
2018-05-25,151.07
2018-06-01,145.31
2018-06-08,148.86
2018-06-15,152.04
2018-06-22,144.65
2018-06-29,146.23
2018-07-06,150.87
2018-07-13,155.77
2018-07-20,151.8
2018-07-27,127.89
2018-08-03,134.78
2018-08-10,127.32
2018-08-17,127.24
2018-08-24,127.12
2018-08-31,124.98
2018-09-07,125.67
2018-09-14,123.21
2018-09-21,123.75
2018-09-28,118.75
2018-10-05,111.52
2018-10-12,103.85
2018-10-19,106.89
2018-10-26,104.53
2018-11-02,115.53
2018-11-09,116.36
2018-11-16,117.1
2018-11-23,121.04
2018-11-30,126.13
2018-12-07,120.37
2018-12-14,113.2
2018-12-21,104.93
2018-12-28,107.27
2019-01-04,112.82
2019-01-11,123.09
2019-01-18,127.06
2019-01-25,125.07
2019-02-01,132.99
2019-02-08,133.29
2019-02-15,139.36
2019-02-22,145.58
2019-03-01,141.31
2019-03-08,137.55
2019-03-15,133.18
2019-03-22,129.04
2019-03-29,132.89
2019-04-05,136.11
2019-04-12,139.88
2019-04-19,139.06
2019-04-26,137.06
2019-05-03,142.46
2019-05-10,134.32
2019-05-17,128.63
2019-05-24,124.89
2019-05-31,114.88
2019-06-07,128.74
2019-06-14,135.68
2019-06-21,141.67
2019-06-28,142.36
2019-07-05,144.66
2019-07-12,146.42
2019-07-19,148.19
2019-07-26,148.94
2019-08-02,135.58
2019-08-09,136.6
2019-08-16,131.77
2019-08-23,134.55
2019-08-30,139.09
2019-09-06,143.88
2019-09-13,149.86
2019-09-20,148.59
2019-09-27,155.5
2019-10-04,155.33
2019-10-11,158.22
2019-10-18,161.06
2019-10-25,159.36
2019-11-01,150.07
2019-11-08,154.77
2019-11-15,144.36
2019-11-22,144.07
2019-11-29,143.1
2019-12-06,147.57
2019-12-13,148.42
2019-12-20,147.41
2019-12-27,145.92
2020-01-03,145.92
