date,value
2015-01-02,11.33
2015-01-09,11.22
2015-01-16,12.12
2015-01-23,12.69
2015-01-30,12.86
2015-02-06,13.38
2015-02-13,14.18
2015-02-20,13.78
2015-02-27,13.78
2015-03-06,13.6
2015-03-13,13.18
2015-03-20,13.77
2015-03-27,13.47
2015-04-03,13.14
2015-04-10,13.18
2015-04-17,12.84
2015-04-24,11.48
2015-05-01,11.59
2015-05-08,11.71
2015-05-15,11.5
2015-05-22,11.65
2015-05-29,12.07
2015-06-05,12.03
2015-06-12,11.69
2015-06-19,12.0
2015-06-26,12.26
2015-07-03,12.16
2015-07-10,12.02
2015-07-17,12.23
2015-07-24,12.26
2015-07-31,12.36
2015-08-07,12.49
2015-08-14,12.54
2015-08-21,11.93
2015-08-28,11.83
2015-09-04,11.53
2015-09-11,11.71
2015-09-18,11.99
2015-09-25,11.8
2015-10-02,12.19
2015-10-09,12.8
2015-10-16,12.54
2015-10-23,12.24
2015-10-30,12.38
2015-11-06,12.18
2015-11-13,11.69
2015-11-20,11.94
2015-11-27,11.94
2015-12-04,12.18
2015-12-11,11.79
2015-12-18,11.64
2015-12-25,11.87
2016-01-01,11.54
2016-01-08,11.16
2016-01-15,11.05
2016-01-22,11.45
2016-01-29,11.72
2016-02-05,11.7
2016-02-12,11.07
2016-02-19,11.62
2016-02-26,11.3
2016-03-04,11.95
2016-03-11,11.82
2016-03-18,12.33
2016-03-25,12.4
2016-04-01,12.75
2016-04-08,12.12
2016-04-15,12.93
2016-04-22,12.21
2016-04-29,12.15
2016-05-06,11.85
2016-05-13,11.85
2016-05-20,12.0
2016-05-27,12.17
2016-06-03,12.13
2016-06-10,12.1
2016-06-17,11.99
2016-06-24,11.87
2016-07-01,12.33
2016-07-08,12.25
2016-07-15,11.95
2016-07-22,11.25
2016-07-29,11.34
2016-08-05,11.39
2016-08-12,11.29
2016-08-19,10.81
2016-08-26,10.35
2016-09-02,10.39
2016-09-09,9.82
2016-09-16,9.69
2016-09-23,9.77
2016-09-30,9.71
2016-10-07,9.74
2016-10-14,9.76
2016-10-21,9.78
2016-10-28,9.63
2016-11-04,9.47
2016-11-11,9.28
2016-11-18,9.24
2016-11-25,9.7
2016-12-02,9.33
2016-12-09,9.34
2016-12-16,9.61
2016-12-23,9.55
2016-12-30,9.68
2017-01-06,9.78
2017-01-13,9.76
2017-01-20,9.73
2017-01-27,9.52
2017-02-03,9.13
2017-02-10,9.34
2017-02-17,9.52
2017-02-24,9.79
2017-03-03,9.86
2017-03-10,9.95
2017-03-17,10.03
2017-03-24,10.16
2017-03-31,10.23
2017-04-07,10.07
2017-04-14,9.63
2017-04-21,9.7
2017-04-28,9.85
2017-05-05,9.95
2017-05-12,10.15
2017-05-19,10.45
2017-05-26,10.86
2017-06-02,10.81
2017-06-09,10.45
2017-06-16,9.82
2017-06-23,5.09
2017-06-30,5.2
2017-07-07,5.16
2017-07-14,5.43
2017-07-21,6.05
2017-07-28,6.1
2017-08-04,6.22
2017-08-11,6.16
2017-08-18,5.96
2017-08-25,5.96
2017-09-01,5.92
2017-09-08,5.98
2017-09-15,5.8
2017-09-22,5.68
2017-09-29,5.68
2017-10-06,5.49
2017-10-13,5.55
2017-10-20,5.43
2017-10-27,5.18
2017-11-03,5.13
2017-11-10,5.03
2017-11-17,5.28
2017-11-24,5.26
2017-12-01,5.15
2017-12-08,5.24
2017-12-15,5.33
2017-12-22,5.5
2017-12-29,5.47
2018-01-05,5.56
2018-01-12,5.68
2018-01-19,5.61
2018-01-26,5.64
2018-02-02,5.46
2018-02-09,5.22
2018-02-16,5.58
2018-02-23,5.53
2018-03-02,5.43
2018-03-09,5.46
2018-03-16,5.57
2018-03-23,5.16
2018-03-30,5.16
2018-04-06,5.18
2018-04-13,5.18
2018-04-20,5.27
2018-04-27,4.75
2018-05-04,4.64
2018-05-11,4.68
2018-05-18,4.59
2018-05-25,4.6
2018-06-01,4.6
2018-06-08,4.72
2018-06-15,4.85
2018-06-22,4.8
2018-06-29,4.79
2018-07-06,4.91
2018-07-13,5.06
2018-07-20,5.23
2018-07-27,5.09
2018-08-03,5.09
2018-08-10,5.07
2018-08-17,5.01
2018-08-24,5.19
2018-08-31,5.15
2018-09-07,5.3
2018-09-14,5.33
2018-09-21,5.33
2018-09-28,5.21
2018-10-05,5.13
2018-10-12,5.05
2018-10-19,5.1
2018-10-26,5.11
2018-11-02,5.06
2018-11-09,5.06
2018-11-16,5.26
2018-11-23,5.08
2018-11-30,5.22
2018-12-07,5.15
2018-12-14,5.19
2018-12-21,4.93
2018-12-28,5.14
2019-01-04,5.06
2019-01-11,5.12
2019-01-18,5.34
2019-01-25,5.46
2019-02-01,5.63
2019-02-08,5.66
2019-02-15,5.67
2019-02-22,5.7
2019-03-01,5.64
2019-03-08,5.28
2019-03-15,4.03
2019-03-22,4.01
2019-03-29,3.98
2019-04-05,4.07
2019-04-12,4.33
2019-04-19,4.39
2019-04-26,4.49
2019-05-03,4.41
2019-05-10,4.51
2019-05-17,4.47
2019-05-24,4.44
2019-05-31,4.42
2019-06-07,4.51
2019-06-14,4.56
2019-06-21,4.32
2019-06-28,4.33
2019-07-05,4.29
2019-07-12,4.2
2019-07-19,4.17
2019-07-26,4.16
2019-08-02,4.03
2019-08-09,3.97
2019-08-16,3.8
2019-08-23,3.71
2019-08-30,3.82
2019-09-06,3.74
2019-09-13,3.74
2019-09-20,3.72
2019-09-27,3.61
2019-10-04,3.65
2019-10-11,3.66
2019-10-18,3.8
2019-10-25,3.94
2019-11-01,3.96
2019-11-08,3.93
2019-11-15,3.87
2019-11-22,3.64
2019-11-29,3.63
2019-12-06,3.65
2019-12-13,3.71
2019-12-20,3.86
2019-12-27,3.76
2020-01-03,3.79
