date,value
2015-01-02,51.75
2015-01-09,51.53
2015-01-16,52.24
2015-01-23,53.0
2015-01-30,51.43
2015-02-06,52.44
2015-02-13,51.29
2015-02-20,54.51
2015-02-27,54.48
2015-03-06,53.65
2015-03-13,53.32
2015-03-20,54.55
2015-03-27,53.4
2015-04-03,53.9
2015-04-10,55.14
2015-04-17,52.88
2015-04-24,52.66
2015-05-01,50.09
2015-05-08,49.33
2015-05-15,49.83
2015-05-22,50.06
2015-05-29,49.65
2015-06-05,48.41
2015-06-12,48.44
2015-06-19,47.76
2015-06-26,47.03
2015-07-03,46.37
2015-07-10,47.75
2015-07-17,48.68
2015-07-24,48.83
2015-07-31,51.13
2015-08-07,50.76
2015-08-14,52.25
2015-08-21,51.64
2015-08-28,50.21
2015-09-04,49.93
2015-09-11,50.0
2015-09-18,49.89
2015-09-25,50.37
2015-10-02,50.53
2015-10-09,53.16
2015-10-16,52.45
2015-10-23,53.19
2015-10-30,53.76
2015-11-06,54.43
2015-11-13,52.16
2015-11-20,54.12
2015-11-27,53.92
2015-12-04,52.66
2015-12-11,51.34
2015-12-18,52.73
2015-12-25,53.43
2016-01-01,53.37
2016-01-08,52.35
2016-01-15,51.52
2016-01-22,52.98
2016-01-29,52.95
2016-02-05,52.57
2016-02-12,53.98
2016-02-19,55.5
2016-02-26,56.04
2016-03-04,57.15
2016-03-11,58.4
2016-03-18,58.6
2016-03-25,59.11
2016-04-01,59.17
2016-04-08,57.67
2016-04-15,56.9
2016-04-22,56.39
2016-04-29,58.79
2016-05-06,60.69
2016-05-13,61.46
2016-05-20,60.73
2016-05-27,61.33
2016-06-03,61.47
2016-06-10,62.62
2016-06-17,62.65
2016-06-24,63.7
2016-07-01,66.47
2016-07-08,67.61
2016-07-15,67.45
2016-07-22,67.2
2016-07-29,66.12
2016-08-05,65.97
2016-08-12,66.67
2016-08-19,64.97
2016-08-26,63.97
2016-09-02,64.35
2016-09-09,62.75
2016-09-16,62.81
2016-09-23,63.36
2016-09-30,63.76
2016-10-07,62.28
2016-10-14,61.88
2016-10-21,62.21
2016-10-28,63.98
2016-11-04,63.37
2016-11-11,67.61
2016-11-18,68.9
2016-11-25,70.03
2016-12-02,69.87
2016-12-09,70.02
2016-12-16,70.08
2016-12-23,70.92
2016-12-30,70.91
2017-01-06,70.19
2017-01-13,69.79
2017-01-20,69.66
2017-01-27,69.64
2017-02-03,69.65
2017-02-10,70.54
2017-02-17,72.45
2017-02-24,73.15
2017-03-03,72.83
2017-03-10,73.0
2017-03-17,73.54
2017-03-24,72.32
2017-03-31,72.92
2017-04-07,73.21
2017-04-14,72.02
2017-04-21,73.38
2017-04-28,72.78
2017-05-05,73.39
2017-05-12,71.96
2017-05-19,70.5
2017-05-26,71.84
2017-06-02,74.25
