date,value
2015-06-26,61.9
2015-07-03,64.99
2015-07-10,61.4
2015-07-17,61.75
2015-07-24,58.91
2015-07-31,63.06
2015-08-07,62.56
2015-08-14,63.23
2015-08-21,59.01
2015-08-28,60.26
2015-09-04,57.35
2015-09-11,58.75
2015-09-18,55.7
2015-09-25,51.95
2015-10-02,53.01
2015-10-09,57.57
2015-10-16,55.79
2015-10-23,53.37
2015-10-30,53.76
2015-11-06,53.66
2015-11-13,48.55
2015-11-20,50.11
2015-11-27,50.41
2015-12-04,50.42
2015-12-11,45.76
2015-12-18,44.09
2015-12-25,45.51
2016-01-01,45.62
2016-01-08,41.93
2016-01-15,37.05
2016-01-22,37.74
2016-01-29,35.28
2016-02-05,33.4
2016-02-12,31.03
2016-02-19,31.56
2016-02-26,33.56
2016-03-04,36.76
2016-03-11,36.96
2016-03-18,39.43
2016-03-25,38.53
2016-04-01,39.2
2016-04-08,37.19
2016-04-15,38.62
2016-04-22,40.74
2016-04-29,41.85
2016-05-06,40.9
2016-05-13,42.56
2016-05-20,37.9
2016-05-27,39.78
2016-06-03,39.74
2016-06-10,39.0
2016-06-17,39.73
2016-06-24,38.59
2016-07-01,39.05
2016-07-08,38.55
2016-07-15,42.51
2016-07-22,43.13
2016-07-29,42.91
2016-08-05,44.08
2016-08-12,44.47
2016-08-19,45.41
2016-08-26,48.05
2016-09-02,48.55
2016-09-09,46.49
2016-09-16,47.72
2016-09-23,48.4
2016-09-30,48.48
2016-10-07,46.5
2016-10-14,46.71
2016-10-21,46.44
2016-10-28,46.16
2016-11-04,46.35
2016-11-11,47.95
2016-11-18,50.27
2016-11-25,51.11
2016-12-02,51.01
2016-12-09,52.45
2016-12-16,52.72
2016-12-23,51.89
2016-12-30,50.77
2017-01-06,52.49
2017-01-13,52.35
2017-01-20,52.21
2017-01-27,53.91
2017-02-03,54.33
2017-02-10,52.48
2017-02-17,52.66
2017-02-24,53.43
2017-03-03,54.04
2017-03-10,51.24
2017-03-17,52.38
2017-03-24,52.4
2017-03-31,52.03
2017-04-07,51.08
2017-04-14,49.34
2017-04-21,53.02
2017-04-28,53.56
2017-05-05,55.02
2017-05-12,53.68
2017-05-19,51.99
2017-05-26,55.15
2017-06-02,55.1
2017-06-09,57.3
2017-06-16,57.49
2017-06-23,57.31
2017-06-30,56.66
2017-07-07,57.31
2017-07-14,59.65
2017-07-21,58.7
2017-07-28,57.32
2017-08-04,57.33
2017-08-11,55.61
2017-08-18,56.29
2017-08-25,55.23
2017-09-01,57.93
2017-09-08,56.47
2017-09-15,57.56
2017-09-22,55.67
2017-09-29,56.73
2017-10-06,58.17
2017-10-13,58.86
2017-10-20,60.53
2017-10-27,60.83
2017-11-03,59.95
2017-11-10,58.66
2017-11-17,59.5
2017-11-24,58.86
2017-12-01,62.4
2017-12-08,64.42
2017-12-15,63.11
2017-12-22,63.73
2017-12-29,63.21
2018-01-05,67.31
2018-01-12,69.2
2018-01-19,69.16
2018-01-26,70.27
2018-02-02,67.24
2018-02-09,62.33
2018-02-16,66.32
2018-02-23,66.11
2018-03-02,65.4
2018-03-09,67.07
2018-03-16,66.37
2018-03-23,61.04
2018-03-30,64.17
2018-04-06,62.65
2018-04-13,65.0
2018-04-20,66.27
2018-04-27,60.79
2018-05-04,59.41
2018-05-11,61.03
2018-05-18,62.09
2018-05-25,59.96
2018-06-01,60.12
2018-06-08,60.96
2018-06-15,59.81
2018-06-22,57.97
2018-06-29,57.02
2018-07-06,56.92
2018-07-13,57.44
2018-07-20,57.5
2018-07-27,56.12
2018-08-03,55.82
2018-08-10,55.0
2018-08-17,55.32
2018-08-24,55.4
2018-08-31,55.08
2018-09-07,54.98
2018-09-14,55.82
2018-09-21,56.33
2018-09-28,53.44
2018-10-05,50.56
2018-10-12,42.61
2018-10-19,42.48
2018-10-26,41.55
2018-11-02,44.67
2018-11-09,45.81
2018-11-16,46.15
2018-11-23,45.32
2018-11-30,47.11
2018-12-07,45.29
2018-12-14,44.37
2018-12-21,36.94
2018-12-28,37.27
2019-01-04,39.88
2019-01-11,40.95
2019-01-18,41.42
2019-01-25,42.29
2019-02-01,38.7
2019-02-08,37.81
2019-02-15,39.05
2019-02-22,39.27
2019-03-01,37.55
2019-03-08,37.7
2019-03-15,37.55
2019-03-22,36.75
2019-03-29,38.35
2019-04-05,39.89
2019-04-12,39.54
2019-04-19,35.49
2019-04-26,37.11
2019-05-03,39.29
2019-05-10,37.23
2019-05-17,36.66
2019-05-24,34.84
2019-05-31,32.6
2019-06-07,36.42
2019-06-14,36.05
2019-06-21,36.72
2019-06-28,36.47
2019-07-05,38.07
2019-07-12,36.95
2019-07-19,36.23
2019-07-26,36.64
2019-08-02,36.85
2019-08-09,34.32
2019-08-16,33.35
2019-08-23,32.34
2019-08-30,34.18
2019-09-06,35.12
2019-09-13,39.09
2019-09-20,35.91
2019-09-27,36.48
2019-10-04,34.07
2019-10-11,36.57
2019-10-18,36.7
2019-10-25,38.01
2019-11-01,38.8
2019-11-08,39.75
2019-11-15,39.96
2019-11-22,38.81
2019-11-29,40.33
2019-12-06,41.23
2019-12-13,40.89
2019-12-20,42.48
2019-12-27,42.64
2020-01-03,42.68
