date,value
2015-01-02,52.16
2015-01-09,51.79
2015-01-16,51.86
2015-01-23,50.7
2015-01-30,49.31
2015-02-06,50.97
2015-02-13,51.35
2015-02-20,53.75
2015-02-27,54.72
2015-03-06,53.92
2015-03-13,54.21
2015-03-20,57.91
2015-03-27,58.36
2015-04-03,56.68
2015-04-10,56.4
2015-04-17,55.58
2015-04-24,57.38
2015-05-01,53.61
2015-05-08,54.03
2015-05-15,54.2
2015-05-22,55.13
2015-05-29,54.14
2015-06-05,55.43
2015-06-12,56.31
2015-06-19,58.52
2015-06-26,58.63
2015-07-03,57.55
2015-07-10,59.92
2015-07-17,61.04
2015-07-24,59.8
2015-07-31,59.87
2015-08-07,59.69
2015-08-14,59.39
2015-08-21,56.08
2015-08-28,56.86
2015-09-04,55.04
2015-09-11,57.48
2015-09-18,56.9
2015-09-25,55.66
2015-10-02,54.41
2015-10-09,54.89
2015-10-16,56.35
2015-10-23,57.02
2015-10-30,60.01
2015-11-06,63.64
2015-11-13,61.98
2015-11-20,62.24
2015-11-27,64.13
2015-12-04,62.8
2015-12-11,61.58
2015-12-18,60.62
2015-12-25,61.62
2016-01-01,60.22
2016-01-08,55.44
2016-01-15,56.23
2016-01-22,57.94
2016-01-29,57.22
2016-02-05,54.66
2016-02-12,55.18
2016-02-19,59.21
2016-02-26,62.91
2016-03-04,64.5
2016-03-11,65.12
2016-03-18,65.48
2016-03-25,65.35
2016-04-01,70.57
2016-04-08,69.3
2016-04-15,71.3
2016-04-22,72.37
2016-04-29,71.2
2016-05-06,70.39
2016-05-13,71.66
2016-05-20,72.73
2016-05-27,74.58
2016-06-03,75.25
2016-06-10,76.63
2016-06-17,73.89
2016-06-24,72.85
2016-07-01,76.64
2016-07-08,77.28
2016-07-15,77.79
2016-07-22,78.02
2016-07-29,80.28
2016-08-05,81.73
2016-08-12,81.0
2016-08-19,81.76
2016-08-26,81.56
2016-09-02,84.03
2016-09-09,80.19
2016-09-16,81.39
2016-09-23,72.55
2016-09-30,74.5
2016-10-07,75.44
2016-10-14,72.84
2016-10-21,71.68
2016-10-28,73.3
2016-11-04,75.39
2016-11-11,77.55
2016-11-18,80.14
2016-11-25,82.04
2016-12-02,80.57
2016-12-09,84.21
2016-12-16,84.63
2016-12-23,84.05
2016-12-30,84.83
2017-01-06,86.63
2017-01-13,85.87
2017-01-20,83.54
2017-01-27,83.7
2017-02-03,86.43
2017-02-10,85.91
2017-02-17,83.13
2017-02-24,84.13
2017-03-03,81.71
2017-03-10,81.38
2017-03-17,82.71
2017-03-24,81.03
2017-03-31,81.61
2017-04-07,79.55
2017-04-14,78.61
2017-04-21,81.9
2017-04-28,92.03
2017-05-05,96.55
2017-05-12,94.42
2017-05-19,95.31
2017-05-26,97.04
2017-06-02,98.93
2017-06-09,97.94
2017-06-16,95.97
2017-06-23,96.42
2017-06-30,94.52
2017-07-07,95.73
2017-07-14,93.62
2017-07-21,93.0
2017-07-28,89.55
2017-08-04,86.4
2017-08-11,84.93
2017-08-18,85.15
2017-08-25,85.43
2017-09-01,87.49
2017-09-08,91.43
2017-09-15,95.91
2017-09-22,95.21
2017-09-29,96.26
2017-10-06,95.45
2017-10-13,95.17
2017-10-20,93.84
2017-10-27,101.16
2017-11-03,100.95
2017-11-10,101.65
2017-11-17,98.96
2017-11-24,97.46
2017-12-01,99.11
2017-12-08,99.63
2017-12-15,98.73
2017-12-22,99.54
2017-12-29,98.67
2018-01-05,100.84
2018-01-12,97.74
2018-01-19,100.61
2018-01-26,101.52
2018-02-02,98.81
2018-02-09,91.25
2018-02-16,87.45
2018-02-23,86.58
2018-03-02,85.74
2018-03-09,92.04
2018-03-16,90.98
2018-03-23,86.13
2018-03-30,88.29
2018-04-06,83.32
2018-04-13,88.86
2018-04-20,91.02
2018-04-27,88.94
2018-05-04,88.0
2018-05-11,90.08
2018-05-18,89.22
2018-05-25,91.53
2018-06-01,93.0
2018-06-08,96.75
2018-06-15,101.03
2018-06-22,100.99
2018-06-29,99.29
2018-07-06,100.56
2018-07-13,100.03
2018-07-20,99.61
2018-07-27,109.64
2018-08-03,114.75
2018-08-10,114.82
2018-08-17,116.02
2018-08-24,116.82
2018-08-31,117.05
2018-09-07,116.27
2018-09-14,120.58
2018-09-21,121.59
2018-09-28,123.47
2018-10-05,120.39
2018-10-12,115.94
2018-10-19,113.77
2018-10-26,101.13
2018-11-02,106.16
2018-11-09,110.98
2018-11-16,110.14
2018-11-23,105.71
2018-11-30,109.56
2018-12-07,106.02
2018-12-14,104.63
2018-12-21,95.11
2018-12-28,96.23
2019-01-04,98.24
2019-01-11,103.83
2019-01-18,105.25
2019-01-25,106.73
2019-02-01,103.22
2019-02-08,102.69
2019-02-15,101.91
2019-02-22,104.28
2019-03-01,106.14
2019-03-08,101.57
2019-03-15,105.71
2019-03-22,103.67
2019-03-29,110.2
2019-04-05,112.87
2019-04-12,115.77
2019-04-19,111.52
2019-04-26,123.68
2019-05-03,122.85
2019-05-10,120.41
2019-05-17,116.41
2019-05-24,116.29
2019-05-31,114.6
2019-06-07,119.31
2019-06-14,120.68
2019-06-21,122.04
2019-06-28,125.15
2019-07-05,124.0
2019-07-12,124.43
