date,value
2015-01-02,17.93
2015-01-09,17.93
2015-01-16,17.22
2015-01-23,17.61
2015-01-30,17.0
2015-02-06,17.73
2015-02-13,19.02
2015-02-20,19.45
2015-02-27,19.52
2015-03-06,19.45
2015-03-13,19.51
2015-03-20,19.2
2015-03-27,19.7
2015-04-03,20.91
2015-04-10,20.62
2015-04-17,20.63
2015-04-24,20.59
2015-05-01,21.25
2015-05-08,21.93
2015-05-15,21.71
2015-05-22,22.56
2015-05-29,21.95
2015-06-05,21.76
2015-06-12,21.47
2015-06-19,21.3
2015-06-26,20.61
2015-07-03,18.99
2015-07-10,19.03
2015-07-17,19.2
2015-07-24,18.65
2015-07-31,20.24
2015-08-07,20.4
2015-08-14,20.35
2015-08-21,18.74
2015-08-28,18.56
2015-09-04,18.25
2015-09-11,18.31
2015-09-18,18.58
2015-09-25,18.21
2015-10-02,18.55
2015-10-09,19.13
2015-10-16,19.08
2015-10-23,19.76
2015-10-30,19.25
2015-11-06,19.86
2015-11-13,18.55
2015-11-20,19.06
2015-11-27,18.78
2015-12-04,18.92
2015-12-11,18.28
2015-12-18,17.8
2015-12-25,18.5
2016-01-01,17.91
2016-01-08,16.91
2016-01-15,16.64
2016-01-22,17.41
2016-01-29,17.84
2016-02-05,17.56
2016-02-12,17.56
2016-02-19,18.19
2016-02-26,18.46
2016-03-04,19.25
2016-03-11,19.11
2016-03-18,19.13
2016-03-25,18.78
2016-04-01,19.49
2016-04-08,19.6
2016-04-15,19.99
2016-04-22,20.07
2016-04-29,20.0
2016-05-06,19.0
2016-05-13,19.18
2016-05-20,19.25
2016-05-27,19.47
2016-06-03,19.43
2016-06-10,19.36
2016-06-17,19.02
2016-06-24,18.61
2016-07-01,19.36
2016-07-08,19.57
2016-07-15,20.13
2016-07-22,20.26
2016-07-29,20.0
2016-08-05,21.0
2016-08-12,20.97
2016-08-19,21.2
2016-08-26,21.61
2016-09-02,21.61
2016-09-09,20.75
2016-09-16,20.33
2016-09-23,20.3
2016-09-30,20.82
2016-10-07,20.42
2016-10-14,20.12
2016-10-21,20.0
2016-10-28,19.93
2016-11-04,19.63
2016-11-11,20.42
2016-11-18,20.48
2016-11-25,21.48
2016-12-02,20.47
2016-12-09,22.01
2016-12-16,21.25
2016-12-23,21.85
2016-12-30,21.72
2017-01-06,22.57
2017-01-13,22.17
2017-01-20,20.98
2017-01-27,19.59
2017-02-03,19.97
2017-02-10,19.74
2017-02-17,19.82
2017-02-24,20.17
2017-03-03,19.96
2017-03-10,19.67
2017-03-17,20.4
2017-03-24,20.25
2017-03-31,20.35
2017-04-07,19.36
2017-04-14,19.35
2017-04-21,19.76
2017-04-28,19.86
2017-05-05,19.39
2017-05-12,19.28
2017-05-19,19.01
2017-05-26,19.07
2017-06-02,19.28
2017-06-09,19.01
2017-06-16,19.08
2017-06-23,19.17
2017-06-30,19.05
2017-07-07,18.65
2017-07-14,19.02
2017-07-21,19.09
2017-07-28,19.65
2017-08-04,19.72
2017-08-11,18.9
2017-08-18,18.88
2017-08-25,19.0
2017-09-01,18.79
2017-09-08,18.69
2017-09-15,18.91
2017-09-22,18.99
2017-09-29,19.2
2017-10-06,19.52
2017-10-13,19.79
2017-10-20,20.31
2017-10-27,20.26
2017-11-03,19.5
2017-11-10,20.14
2017-11-17,19.68
2017-11-24,19.65
2017-12-01,19.71
2017-12-08,19.39
2017-12-15,19.48
2017-12-22,19.08
2017-12-29,19.01
2018-01-05,20.6
2018-01-12,21.12
2018-01-19,20.24
2018-01-26,21.16
2018-02-02,20.28
2018-02-09,19.36
2018-02-16,20.26
2018-02-23,20.24
2018-03-02,19.87
2018-03-09,20.17
2018-03-16,20.04
2018-03-23,19.0
2018-03-30,19.23
2018-04-06,18.65
2018-04-13,18.88
2018-04-20,19.08
2018-04-27,19.34
2018-05-04,19.61
2018-05-11,19.88
2018-05-18,20.09
2018-05-25,20.0
2018-06-01,20.06
2018-06-08,20.81
2018-06-15,20.69
2018-06-22,21.14
2018-06-29,20.33
2018-07-06,20.25
2018-07-13,20.36
2018-07-20,20.28
2018-07-27,20.26
2018-08-03,19.4
2018-08-10,18.84
2018-08-17,18.91
2018-08-24,18.82
2018-08-31,18.92
2018-09-07,18.89
2018-09-14,18.73
2018-09-21,19.03
2018-09-28,19.06
2018-10-05,18.17
2018-10-12,17.91
2018-10-19,18.18
2018-10-26,17.62
2018-11-02,17.91
2018-11-09,18.82
2018-11-16,18.89
2018-11-23,18.46
2018-11-30,18.73
2018-12-07,18.15
2018-12-14,18.18
2018-12-21,16.83
2018-12-28,17.04
2019-01-04,17.09
2019-01-11,17.52
2019-01-18,18.26
2019-01-25,18.23
2019-02-01,18.48
2019-02-08,18.01
2019-02-15,17.8
2019-02-22,17.83
2019-03-01,18.21
2019-03-08,17.93
2019-03-15,18.35
2019-03-22,18.25
2019-03-29,18.47
2019-04-05,19.39
2019-04-12,19.11
2019-04-19,19.3
2019-04-26,19.69
2019-05-03,19.3
2019-05-10,19.4
2019-05-17,19.32
2019-05-24,19.36
2019-05-31,19.4
2019-06-07,20.15
2019-06-14,20.09
2019-06-21,20.09
2019-06-28,19.89
2019-07-05,20.35
2019-07-12,20.5
2019-07-19,20.4
2019-07-26,21.07
2019-08-02,21.82
2019-08-09,21.59
2019-08-16,21.09
2019-08-23,21.38
2019-08-30,22.12
2019-09-06,22.85
2019-09-13,23.36
2019-09-20,22.51
2019-09-27,23.05
2019-10-04,23.31
2019-10-11,23.73
2019-10-18,24.03
2019-10-25,24.82
2019-11-01,26.48
2019-11-08,27.87
2019-11-15,26.8
2019-11-22,27.0
2019-11-29,26.88
2019-12-06,26.86
2019-12-13,27.23
2019-12-20,27.43
2019-12-27,27.37
2020-01-03,26.1
