date,value
2015-01-02,36.12
2015-01-09,36.18
2015-01-16,37.02
2015-01-23,37.76
2015-01-30,37.53
2015-02-06,35.71
2015-02-13,35.0
2015-02-20,35.92
2015-02-27,35.28
2015-03-06,33.65
2015-03-13,33.74
2015-03-20,34.78
2015-03-27,34.39
2015-04-03,34.76
2015-04-10,34.67
2015-04-17,34.37
2015-04-24,34.87
2015-05-01,33.96
2015-05-08,33.62
2015-05-15,33.75
2015-05-22,34.46
2015-05-29,34.05
2015-06-05,32.35
2015-06-12,32.7
2015-06-19,32.77
2015-06-26,32.24
2015-07-03,32.82
2015-07-10,33.55
2015-07-17,33.7
2015-07-24,32.86
2015-07-31,34.67
2015-08-07,35.25
2015-08-14,35.8
2015-08-21,35.56
2015-08-28,33.95
2015-09-04,32.63
2015-09-11,33.16
2015-09-18,33.63
2015-09-25,34.91
2015-10-02,35.33
2015-10-09,35.26
2015-10-16,36.43
2015-10-23,36.44
2015-10-30,35.63
2015-11-06,34.86
2015-11-13,35.01
2015-11-20,35.86
2015-11-27,35.64
2015-12-04,34.97
2015-12-11,34.94
2015-12-18,35.6
2015-12-25,35.74
2016-01-01,35.91
2016-01-08,36.18
2016-01-15,36.5
2016-01-22,36.63
2016-01-29,38.22
2016-02-05,39.53
2016-02-12,38.82
2016-02-19,39.33
2016-02-26,39.27
2016-03-04,39.94
2016-03-11,40.38
2016-03-18,41.06
2016-03-25,41.23
2016-04-01,41.94
2016-04-08,41.01
2016-04-15,40.83
2016-04-22,39.05
2016-04-29,40.03
2016-05-06,40.46
2016-05-13,41.71
2016-05-20,40.47
2016-05-27,40.92
2016-06-03,42.19
2016-06-10,42.75
2016-06-17,42.85
2016-06-24,43.3
2016-07-01,44.78
2016-07-08,44.59
2016-07-15,43.75
2016-07-22,44.32
2016-07-29,43.98
2016-08-05,42.67
2016-08-12,42.8
2016-08-19,42.42
2016-08-26,41.39
2016-09-02,41.71
2016-09-09,40.78
2016-09-16,41.2
2016-09-23,43.07
2016-09-30,41.14
2016-10-07,39.61
2016-10-14,40.05
2016-10-21,39.95
2016-10-28,40.68
2016-11-04,40.36
2016-11-11,38.84
2016-11-18,38.87
2016-11-25,39.52
2016-12-02,38.74
2016-12-09,39.85
2016-12-16,40.69
2016-12-23,40.67
2016-12-30,40.7
2017-01-06,40.92
2017-01-13,40.65
2017-01-20,41.07
2017-01-27,40.72
2017-02-03,41.45
2017-02-10,41.94
2017-02-17,42.0
2017-02-24,43.34
2017-03-03,43.72
2017-03-10,43.5
2017-03-17,43.85
2017-03-24,44.77
2017-03-31,44.45
2017-04-07,44.4
2017-04-14,44.82
2017-04-21,44.83
2017-04-28,45.05
2017-05-05,45.05
2017-05-12,45.58
2017-05-19,45.85
2017-05-26,47.3
2017-06-02,48.32
2017-06-09,47.35
2017-06-16,47.79
2017-06-23,47.13
2017-06-30,45.88
2017-07-07,45.69
2017-07-14,45.92
2017-07-21,47.42
2017-07-28,47.16
2017-08-04,47.97
2017-08-11,48.19
2017-08-18,49.0
2017-08-25,49.37
2017-09-01,49.36
2017-09-08,50.23
2017-09-15,49.08
2017-09-22,47.41
2017-09-29,47.32
2017-10-06,47.39
2017-10-13,48.61
2017-10-20,49.26
2017-10-27,49.21
2017-11-03,49.59
2017-11-10,50.2
2017-11-17,50.89
2017-11-24,50.71
2017-12-01,51.36
2017-12-08,51.2
2017-12-15,50.78
2017-12-22,48.25
2017-12-29,48.11
2018-01-05,46.79
2018-01-12,45.15
2018-01-19,45.13
2018-01-26,45.7
2018-02-02,44.48
2018-02-09,43.35
2018-02-16,44.68
2018-02-23,44.77
2018-03-02,43.03
2018-03-09,43.28
2018-03-16,44.13
2018-03-23,43.74
2018-03-30,45.48
2018-04-06,45.47
2018-04-13,44.48
2018-04-20,45.1
2018-04-27,47.1
2018-05-04,46.39
2018-05-11,45.26
2018-05-18,43.7
2018-05-25,45.19
2018-06-01,44.74
2018-06-08,42.69
2018-06-15,43.33
2018-06-22,43.85
2018-06-29,45.68
2018-07-06,46.96
2018-07-13,46.27
2018-07-20,45.63
2018-07-27,46.59
2018-08-03,47.18
2018-08-10,47.53
2018-08-17,48.29
2018-08-24,47.95
2018-08-31,48.05
2018-09-07,48.67
2018-09-14,48.4
2018-09-21,47.49
2018-09-28,47.21
2018-10-05,48.37
2018-10-12,47.65
2018-10-19,49.13
2018-10-26,48.51
2018-11-02,47.72
2018-11-09,50.34
2018-11-16,51.06
2018-11-23,50.86
2018-11-30,52.45
2018-12-07,53.19
2018-12-14,53.14
2018-12-21,50.9
2018-12-28,49.25
2019-01-04,48.5
2019-01-11,49.29
2019-01-18,50.7
2019-01-25,50.54
2019-02-01,52.14
2019-02-08,53.48
2019-02-15,53.46
2019-02-22,55.27
2019-03-01,54.92
2019-03-08,55.67
2019-03-15,56.5
2019-03-22,57.07
2019-03-29,56.21
2019-04-05,55.71
2019-04-12,55.87
2019-04-19,54.68
2019-04-26,55.92
2019-05-03,56.58
2019-05-10,57.21
2019-05-17,58.21
2019-05-24,58.99
2019-05-31,57.34
2019-06-07,59.43
2019-06-14,60.03
2019-06-21,61.54
2019-06-28,59.49
2019-07-05,60.69
2019-07-12,60.8
2019-07-19,60.77
2019-07-26,60.51
2019-08-02,59.82
2019-08-09,61.77
2019-08-16,61.8
2019-08-23,62.45
2019-08-30,64.22
2019-09-06,64.8
2019-09-13,62.61
2019-09-20,64.62
2019-09-27,65.36
2019-10-04,64.63
2019-10-11,63.33
2019-10-18,64.01
2019-10-25,63.64
2019-11-01,63.1
2019-11-08,60.08
2019-11-15,60.87
2019-11-22,61.26
2019-11-29,61.49
2019-12-06,62.0
2019-12-13,62.26
2019-12-20,64.15
2019-12-27,63.115
2020-01-03,62.68
