date,value
2015-01-02,43.6
2015-01-09,43.1
2015-01-16,41.215
2015-01-23,39.28
2015-01-30,38.575
2015-02-06,39.4
2015-02-13,41.51
2015-02-20,41.675
2015-02-27,42.37
2015-03-06,40.58
2015-03-13,39.76
2015-03-20,42.27
2015-03-27,42.32
2015-04-03,42.055
2015-04-10,43.83
2015-04-17,43.585
2015-04-24,42.885
2015-05-01,43.975
2015-05-08,44.2
2015-05-15,45.7
2015-05-22,46.94
2015-05-29,47.42
2015-06-05,47.29
2015-06-12,46.65
2015-06-19,46.3
2015-06-26,44.8
2015-07-03,43.84
2015-07-10,41.94
2015-07-17,42.66
2015-07-24,40.24
2015-07-31,41.75
2015-08-07,43.2
2015-08-14,43.45
2015-08-21,40.4
2015-08-28,42.27
2015-09-04,40.07
2015-09-11,41.93
2015-09-18,42.63
2015-09-25,41.93
2015-10-02,42.36
2015-10-09,44.9
2015-10-16,46.51
2015-10-23,47.16
2015-10-30,47.62
2015-11-06,47.63
2015-11-13,46.54
2015-11-20,48.94
2015-11-27,49.23
2015-12-04,48.97
2015-12-11,47.35
2015-12-18,46.52
2015-12-25,47.85
2016-01-01,46.97
2016-01-08,42.93
2016-01-15,42.81
2016-01-22,47.72
2016-01-29,50.27
2016-02-05,48.07
2016-02-12,47.65
2016-02-19,48.43
2016-02-26,48.39
2016-03-04,47.0
2016-03-11,46.72
2016-03-18,47.47
2016-03-25,47.02
2016-04-01,47.62
2016-04-08,46.3
2016-04-15,46.01
2016-04-22,45.87
2016-04-29,43.08
2016-05-06,43.2
2016-05-13,43.24
2016-05-20,44.75
2016-05-27,47.36
2016-06-03,47.41
2016-06-10,46.73
2016-06-17,46.4
2016-06-24,45.31
2016-07-01,46.19
2016-07-08,46.97
2016-07-15,47.9
2016-07-22,48.35
2016-07-29,51.08
2016-08-05,51.77
2016-08-12,51.84
2016-08-19,53.14
2016-08-26,54.18
2016-09-02,54.46
2016-09-09,52.08
2016-09-16,53.36
2016-09-23,53.12
2016-09-30,54.34
2016-10-07,52.89
2016-10-14,49.99
2016-10-21,49.78
2016-10-28,50.26
2016-11-04,49.83
2016-11-11,51.64
2016-11-18,52.98
2016-11-25,53.39
2016-12-02,54.22
2016-12-09,55.91
2016-12-16,58.46
2016-12-23,60.56
2016-12-30,60.37
2017-01-06,59.05
2017-01-13,58.51
2017-01-20,58.03
2017-01-27,58.49
2017-02-03,58.22
2017-02-10,58.01
2017-02-17,60.06
2017-02-24,58.99
2017-03-03,58.74
2017-03-10,59.55
2017-03-17,60.08
2017-03-24,58.63
2017-03-31,57.89
2017-04-07,56.48
2017-04-14,55.68
2017-04-21,57.69
2017-04-28,63.11
2017-05-05,63.39
2017-05-12,64.3
2017-05-19,66.67
2017-05-26,65.85
2017-06-02,66.88
2017-06-09,65.4
2017-06-16,64.74
2017-06-23,67.53
2017-06-30,64.32
2017-07-07,65.35
2017-07-14,66.25
2017-07-21,64.88
2017-07-28,63.67
2017-08-04,63.28
2017-08-11,62.42
2017-08-18,61.02
2017-08-25,64.75
2017-09-01,65.99
