date,value
2015-01-02,39.6225
2015-01-09,39.59
2015-01-16,38.49
2015-01-23,39.23
2015-01-30,38.75
2015-02-06,39.63
2015-02-13,40.5599
2015-02-20,41.06
2015-02-27,40.6828
2015-03-06,39.9701
2015-03-13,40.06
2015-03-20,41.2
2015-03-27,40.1452
2015-04-03,40.71
2015-04-10,40.96
2015-04-17,40.6499
2015-04-24,41.12
2015-05-01,40.399
2015-05-08,40.93
2015-05-15,40.889999
2015-05-22,41.338
2015-05-29,40.75
2015-06-05,40.4653
2015-06-12,40.58
2015-06-19,40.8252
2015-06-26,40.2401
2015-07-03,39.7834
2015-07-10,39.43
2015-07-17,39.4712
2015-07-24,38.59
2015-07-31,39.48
2015-08-07,38.8
2015-08-14,39.38
2015-08-21,37.8356
2015-08-28,37.425
2015-09-04,36.502
2015-09-11,37.09
2015-09-18,37.7482
2015-09-25,35.98
2015-10-02,35.91
2015-10-09,37.93
2015-10-16,37.91
2015-10-23,37.74
2015-10-30,37.845
2015-11-06,37.91
2015-11-13,36.77
2015-11-20,37.5775
2015-11-27,37.8026
2015-12-04,37.455
2015-12-11,36.16
2015-12-18,35.5625
2015-12-25,36.798
2016-01-01,36.5525
2016-01-08,34.24
2016-01-15,32.6587
2016-01-22,32.9276
2016-01-29,33.5781
2016-02-05,33.39
2016-02-12,32.2248
2016-02-19,33.42
2016-02-26,34.465
2016-03-04,36.21
2016-03-11,36.1099
2016-03-18,37.39
2016-03-25,36.828
2016-04-01,37.732
2016-04-08,37.58
2016-04-15,38.3
2016-04-22,39.0
2016-04-29,38.978
2016-05-06,38.1
2016-05-13,37.812
2016-05-20,38.08
2016-05-27,39.03
2016-06-03,39.3795
2016-06-10,39.6325
2016-06-17,38.747
2016-06-24,38.36
2016-07-01,39.43
2016-07-08,39.8301
2016-07-15,40.4201
2016-07-22,40.716
2016-07-29,40.621
2016-08-05,40.8699
2016-08-12,40.86
2016-08-19,41.0983
2016-08-26,40.745
2016-09-02,41.0083
2016-09-09,41.276
2016-09-16,39.729
2016-09-23,40.5011
2016-09-30,40.4298
2016-10-07,40.22
2016-10-14,39.607
2016-10-21,39.93
2016-10-28,39.25
2016-11-04,38.58
2016-11-11,39.9693
2016-11-18,40.8713
2016-11-25,41.65
2016-12-02,41.42
2016-12-09,42.992
2016-12-16,41.91
2016-12-23,41.99
2016-12-30,41.74
2017-01-06,42.585
2017-01-13,42.4892
2017-01-20,42.4765
2017-01-27,42.7599
2017-02-03,43.109
2017-02-10,43.57
2017-02-17,43.7342
2017-02-24,43.68
2017-03-03,43.88
2017-03-10,43.1447
2017-03-17,43.7238
2017-03-24,43.07
2017-03-31,43.47
2017-04-07,43.318
2017-04-14,42.92
2017-04-21,43.28
2017-04-28,43.685
2017-05-05,43.6447
2017-05-12,43.57
2017-05-19,43.123
2017-05-26,43.76
2017-06-02,44.2276
2017-06-09,43.8048
2017-06-16,43.82
2017-06-23,43.73
2017-06-30,43.95
2017-07-07,43.418
2017-07-14,44.0
2017-07-21,44.38
2017-07-28,44.83
2017-08-04,44.15
2017-08-11,43.3514
2017-08-18,43.16
2017-08-25,43.4601
2017-09-01,44.34
2017-09-08,43.94
2017-09-15,44.67
2017-09-22,44.727
2017-09-29,45.3524
2017-10-06,45.65
2017-10-13,45.6901
2017-10-20,45.9928
2017-10-27,45.55
2017-11-03,45.832
2017-11-10,45.845
2017-11-17,46.1517
2017-11-24,46.47
2017-12-01,47.262
2017-12-08,47.375
2017-12-15,47.2662
2017-12-22,47.64
2017-12-29,47.73
2018-01-05,48.6
2018-01-12,49.38
2018-01-19,49.3
2018-01-26,50.09
2018-02-02,48.05
2018-02-09,45.045
2018-02-16,47.6551
2018-02-23,47.77
2018-03-02,47.01
2018-03-09,48.444
2018-03-16,48.2841
2018-03-23,46.35
2018-03-30,47.1784
2018-04-06,47.4406
2018-04-13,47.3574
2018-04-20,47.3574
2018-04-27,47.59
2018-05-04,47.47
2018-05-11,48.5742
2018-05-18,48.82
2018-05-25,48.53
2018-06-01,48.9
2018-06-08,49.57
2018-06-15,49.66
2018-06-22,49.73
2018-06-29,49.12
2018-07-06,49.5812
2018-07-13,49.93
2018-07-20,49.8827
2018-07-27,49.6445
2018-08-03,50.03
2018-08-10,50.1408
2018-08-17,50.34
2018-08-24,51.4
2018-08-31,51.64
2018-09-07,50.95
2018-09-14,51.1715
2018-09-21,51.6649
2018-09-28,51.0419
2018-10-05,50.71
2018-10-12,47.78
2018-10-19,48.1
2018-10-26,45.06
2018-11-02,47.31
2018-11-09,47.7973
2018-11-16,47.436
2018-11-23,45.9
2018-11-30,47.24
2018-12-07,46.1021
2018-12-14,44.6488
2018-12-21,41.4058
2018-12-28,41.98
2019-01-04,43.25
2019-01-11,45.495
2019-01-18,46.7569
