date,value
2015-01-02,27.39
2015-01-09,27.1478
2015-01-16,26.67
2015-01-23,27.08
2015-01-30,26.59
2015-02-06,27.54
2015-02-13,28.0043
2015-02-20,28.2
2015-02-27,27.9768
2015-03-06,27.5208
2015-03-13,27.39
2015-03-20,28.29
2015-03-27,27.8
2015-04-03,28.12
2015-04-10,28.228
2015-04-17,27.81
2015-04-24,28.1404
2015-05-01,27.8399
2015-05-08,27.81
2015-05-15,28.0585
2015-05-22,28.225
2015-05-29,27.961
2015-06-05,27.7
2015-06-12,27.78
2015-06-19,27.8164
2015-06-26,27.4822
2015-07-03,27.09
2015-07-10,26.9119
2015-07-17,26.89
2015-07-24,26.24
2015-07-31,26.8099
2015-08-07,26.55
2015-08-14,26.9399
2015-08-21,25.8901
2015-08-28,25.53
2015-09-04,24.613
2015-09-11,24.865
2015-09-18,24.9099
2015-09-25,24.738
2015-10-02,24.7701
2015-10-09,26.0699
2015-10-16,26.1299
2015-10-23,26.221
2015-10-30,26.092
2015-11-06,26.1386
2015-11-13,25.4743
2015-11-20,26.057
2015-11-27,26.1077
2015-12-04,25.85
2015-12-11,24.76
2015-12-18,24.44
2015-12-25,25.15
2016-01-01,24.78
2016-01-08,23.6501
2016-01-15,22.75
2016-01-22,22.77
2016-01-29,23.5244
2016-02-05,23.5859
2016-02-12,22.85
2016-02-19,23.5099
2016-02-26,24.11
2016-03-04,25.6
2016-03-11,25.84
2016-03-18,26.33
2016-03-25,26.0494
2016-04-01,26.5095
2016-04-08,26.11
2016-04-15,26.8148
2016-04-22,27.0994
2016-04-29,27.18
2016-05-06,27.02
2016-05-13,26.85
2016-05-20,26.79
2016-05-27,27.4
2016-06-03,27.713
2016-06-10,27.72
2016-06-17,27.4999
2016-06-24,27.34
2016-07-01,28.0709
2016-07-08,28.01
2016-07-15,28.7288
2016-07-22,28.6749
2016-07-29,28.77
2016-08-05,28.76
2016-08-12,28.74
2016-08-19,28.9899
2016-08-26,28.5811
2016-09-02,28.808
2016-09-09,28.29
2016-09-16,27.7836
2016-09-23,28.4109
2016-09-30,28.84
2016-10-07,28.606
2016-10-14,28.32
2016-10-21,28.6723
2016-10-28,28.08
2016-11-04,27.715
2016-11-11,29.01
2016-11-18,29.805
2016-11-25,30.4
2016-12-02,30.95
2016-12-09,32.2
2016-12-16,31.2841
2016-12-23,31.44
2016-12-30,31.14
2017-01-06,31.9525
2017-01-13,31.6
2017-01-20,31.59
2017-01-27,31.67
2017-02-03,31.79
2017-02-10,31.96
2017-02-17,32.126
2017-02-24,32.03
2017-03-03,32.02
2017-03-10,31.02
2017-03-17,31.28
2017-03-24,30.62
2017-03-31,31.37
2017-04-07,31.35
2017-04-14,30.82
2017-04-21,30.98
2017-04-28,30.96
2017-05-05,30.89
2017-05-12,30.44
2017-05-19,30.4801
2017-05-26,30.5653
2017-06-02,30.648
2017-06-09,30.7101
2017-06-16,30.43
2017-06-23,30.1531
2017-06-30,30.25
2017-07-07,29.929
2017-07-14,30.24
2017-07-21,30.5096
2017-07-28,30.6
2017-08-04,30.61
2017-08-11,29.9024
2017-08-18,29.84
2017-08-25,30.17
2017-09-01,30.4525
2017-09-08,30.1
2017-09-15,30.5684
2017-09-22,30.3258
2017-09-29,30.58
2017-10-06,30.72
2017-10-13,30.84
2017-10-20,30.76
2017-10-27,30.5
2017-11-03,30.606
2017-11-10,30.57
2017-11-17,30.92
2017-11-24,30.96
2017-12-01,31.546
2017-12-08,31.42
2017-12-15,31.6035
2017-12-22,31.23
2017-12-29,31.3
2018-01-05,31.56
2018-01-12,31.8
2018-01-19,31.6
2018-01-26,32.0467
2018-02-02,31.0299
2018-02-09,29.4
2018-02-16,30.6709
2018-02-23,30.65
2018-03-02,29.99
2018-03-09,30.89
2018-03-16,30.96
2018-03-23,29.57
2018-03-30,30.24
2018-04-06,30.0084
2018-04-13,30.36
2018-04-20,30.5793
2018-04-27,30.9095
2018-05-04,30.6497
2018-05-11,30.98
2018-05-18,30.97
2018-05-25,31.01
2018-06-01,31.04
2018-06-08,31.23
2018-06-15,31.18
2018-06-22,31.12
2018-06-29,31.05
2018-07-06,31.64
2018-07-13,31.51
2018-07-20,31.38
2018-07-27,31.3167
2018-08-03,31.75
2018-08-10,31.59
2018-08-17,32.08
2018-08-24,31.93
2018-08-31,31.8469
2018-09-07,31.71
2018-09-14,31.8715
2018-09-21,32.1791
2018-09-28,31.29
2018-10-05,30.87
2018-10-12,29.68
2018-10-19,30.5
2018-10-26,29.2819
2018-11-02,30.2097
2018-11-09,30.58
2018-11-16,30.52
2018-11-23,30.0455
2018-11-30,30.589
2018-12-07,30.06
2018-12-14,29.5457
2018-12-21,27.46
2018-12-28,27.43
2019-01-04,28.06
2019-01-11,29.08
2019-01-18,29.67
2019-01-25,29.77
2019-02-01,30.47
2019-02-08,30.5972
2019-02-15,31.08
2019-02-22,31.53
2019-03-01,31.4385
2019-03-08,30.845
2019-03-15,31.4458
2019-03-22,31.1678
2019-03-29,31.5237
2019-04-05,32.15
2019-04-12,32.3705
2019-04-19,32.015
2019-04-26,32.25
2019-05-03,32.4406
2019-05-10,31.8983
2019-05-17,31.6806
2019-05-24,31.5451
2019-05-31,30.7501
2019-06-07,31.9749
2019-06-14,32.1561
2019-06-21,32.5397
2019-06-28,32.8691
2019-07-05,32.8605
2019-07-12,32.655
2019-07-19,32.29
2019-07-26,33.015
2019-08-02,31.4357
2019-08-09,30.6261
2019-08-16,29.9535
2019-08-23,29.4868
2019-08-30,30.2651
2019-09-06,31.19
2019-09-13,32.929
2019-09-20,32.1143
2019-09-27,31.9956
2019-10-04,31.4861
2019-10-11,32.1404
2019-10-18,32.7529
2019-10-25,33.7051
2019-11-01,34.0251
2019-11-08,34.395
2019-11-15,34.3044
2019-11-22,33.85
2019-11-29,34.31
2019-12-06,34.8
2019-12-13,35.0251
2019-12-20,35.689
2019-12-27,35.2251
2020-01-03,35.03
