date,value
2015-01-02,92.83
2015-01-09,92.1
2015-01-16,91.12
2015-01-23,90.89
2015-01-30,87.42
2015-02-06,91.5
2015-02-13,93.37
2015-02-20,89.92
2015-02-27,88.54
2015-03-06,85.63
2015-03-13,83.87
2015-03-20,84.54
2015-03-27,83.58
2015-04-03,84.3
2015-04-10,85.56
2015-04-17,86.93
2015-04-24,86.97
2015-05-01,88.85
2015-05-08,88.99
2015-05-15,87.35
2015-05-22,86.52
2015-05-29,85.2
2015-06-05,84.28
2015-06-12,84.02
2015-06-19,85.21
2015-06-26,83.86
2015-07-03,83.14
2015-07-10,82.22
2015-07-17,82.61
2015-07-24,79.94
2015-07-31,79.21
2015-08-07,76.83
2015-08-14,78.36
2015-08-21,72.13
2015-08-28,75.07
2015-09-04,72.46
2015-09-11,72.69
2015-09-18,72.68
2015-09-25,73.23
2015-10-02,75.88
2015-10-09,79.26
2015-10-16,82.48
2015-10-23,82.98
2015-10-30,82.74
2015-11-06,84.47
2015-11-13,78.1
2015-11-20,79.79
2015-11-27,81.23
2015-12-04,78.86
2015-12-11,74.34
2015-12-18,77.28
2015-12-25,79.33
2016-01-01,77.95
2016-01-08,74.69
2016-01-15,77.58
2016-01-22,76.57
2016-01-29,77.85
2016-02-05,80.08
2016-02-12,81.03
2016-02-19,82.5
2016-02-26,81.75
2016-03-04,82.29
2016-03-11,82.19
2016-03-18,84.2
2016-03-25,83.98
2016-04-01,82.96
2016-04-08,83.21
2016-04-15,84.97
2016-04-22,87.53
2016-04-29,88.4
2016-05-06,88.51
2016-05-13,88.66
2016-05-20,89.74
2016-05-27,90.01
2016-06-03,88.37
2016-06-10,89.98
2016-06-17,90.72
2016-06-24,89.39
2016-07-01,93.84
2016-07-08,93.54
2016-07-15,95.12
2016-07-22,94.01
2016-07-29,88.95
2016-08-05,87.56
2016-08-12,87.85
2016-08-19,87.8
2016-08-26,87.27
2016-09-02,87.42
2016-09-09,86.84
2016-09-16,84.03
2016-09-23,83.45
2016-09-30,87.28
2016-10-07,86.74
2016-10-14,86.54
2016-10-21,86.62
2016-10-28,84.78
2016-11-04,83.57
2016-11-11,85.67
2016-11-18,85.28
2016-11-25,87.12
2016-12-02,87.04
2016-12-09,89.0
2016-12-16,91.18
2016-12-23,90.71
2016-12-30,90.26
2017-01-06,88.5
2017-01-13,86.35
2017-01-20,85.89
2017-01-27,85.51
2017-02-03,83.54
2017-02-10,82.52
2017-02-17,81.76
2017-02-24,81.08
2017-03-03,82.46
2017-03-10,81.61
2017-03-17,82.0
2017-03-24,81.23
2017-03-31,82.01
2017-04-07,82.76
2017-04-14,81.69
2017-04-21,80.69
2017-04-28,81.65
2017-05-05,82.02
2017-05-12,82.55
2017-05-19,81.93
2017-05-26,81.55
2017-06-02,79.5
2017-06-09,82.13
2017-06-16,83.49
2017-06-23,81.61
2017-06-30,80.73
2017-07-07,80.22
2017-07-14,81.28
2017-07-21,80.12
2017-07-28,79.6
2017-08-04,80.21
2017-08-11,78.21
2017-08-18,76.64
2017-08-25,76.72
2017-09-01,76.57
2017-09-08,78.82
2017-09-15,80.07
2017-09-22,79.92
2017-09-29,81.98
2017-10-06,81.71
2017-10-13,82.41
2017-10-20,83.11
2017-10-27,83.71
2017-11-03,83.18
2017-11-10,82.94
2017-11-17,80.24
2017-11-24,81.42
2017-12-01,83.46
2017-12-08,82.66
2017-12-15,83.03
2017-12-22,83.97
2017-12-29,83.64
2018-01-05,86.75
2018-01-12,87.52
2018-01-19,87.15
2018-01-26,89.0
2018-02-02,84.53
2018-02-09,75.78
2018-02-16,76.54
2018-02-23,77.53
2018-03-02,75.55
2018-03-09,74.56
2018-03-16,75.12
2018-03-23,72.89
2018-03-30,74.61
2018-04-06,74.87
2018-04-13,77.84
2018-04-20,79.0
2018-04-27,77.79
2018-05-04,76.9
2018-05-11,81.28
2018-05-18,81.3
2018-05-25,78.71
2018-06-01,81.83
2018-06-08,83.6
2018-06-15,80.66
2018-06-22,81.38
2018-06-29,82.73
2018-07-06,82.33
2018-07-13,83.31
2018-07-20,81.4
2018-07-27,81.92
2018-08-03,80.2
2018-08-10,79.42
2018-08-17,78.26
2018-08-24,79.62
