date,value
2015-04-10,25.23
2015-04-17,24.87
2015-04-24,25.06
2015-05-01,24.9136
2015-05-08,25.12
2015-05-15,25.27
2015-05-22,25.4
2015-05-29,25.1501
2015-06-05,24.9395
2015-06-12,25.13
2015-06-19,25.37
2015-06-26,25.22
2015-07-03,25.08
2015-07-10,25.25
2015-07-17,25.54
2015-07-24,25.21
2015-07-31,25.62
2015-08-07,25.55
2015-08-14,25.74
2015-08-21,24.54
2015-08-28,24.34
2015-09-04,23.718
2015-09-11,24.12
2015-09-18,23.99
2015-09-25,23.87
2015-10-02,23.86
2015-10-09,24.791
2015-10-16,24.81
2015-10-23,25.41
2015-10-30,25.4005
2015-11-06,25.63
2015-11-13,24.97
2015-11-20,25.9
2015-11-27,25.99
2015-12-04,26.0175
2015-12-11,25.1272
2015-12-18,25.01
2015-12-25,25.739
2016-01-01,25.54
2016-01-08,24.16
2016-01-15,23.68
2016-01-22,23.9
2016-01-29,24.5375
2016-02-05,24.1481
2016-02-12,24.1
2016-02-19,24.65
2016-02-26,25.01
2016-03-04,25.53
2016-03-11,25.7836
2016-03-18,26.1842
2016-03-25,26.0104
2016-04-01,26.61
2016-04-08,26.24
2016-04-15,26.63
2016-04-22,26.619
2016-04-29,26.4371
2016-05-06,26.6201
2016-05-13,26.67
2016-05-20,26.5605
2016-05-27,26.94
2016-06-03,27.0493
2016-06-10,27.2299
2016-06-17,26.86
2016-06-24,26.64
2016-07-01,27.53
2016-07-08,27.9568
2016-07-15,28.1
2016-07-22,28.09
2016-07-29,28.07
2016-08-05,28.1
2016-08-12,28.16
2016-08-19,28.03
2016-08-26,27.86
2016-09-02,28.1245
2016-09-09,27.3591
2016-09-16,27.3
2016-09-23,27.71
2016-09-30,27.7
2016-10-07,27.44
2016-10-14,27.23
2016-10-21,27.0
2016-10-28,26.6768
2016-11-04,26.4
2016-11-11,27.475
2016-11-18,27.5477
2016-11-25,27.882
2016-12-02,27.59
2016-12-09,28.25
2016-12-16,28.1236
2016-12-23,28.22
2016-12-30,27.92
2017-01-06,28.28
2017-01-13,28.14
2017-01-20,28.1179
2017-01-27,28.3939
2017-02-03,28.45
2017-02-10,28.74
2017-02-17,29.2431
2017-02-24,29.54
2017-03-03,29.6766
2017-03-10,29.65
2017-03-17,29.8681
2017-03-24,29.44
2017-03-31,29.52
2017-04-07,29.4252
2017-04-14,29.1525
2017-04-21,29.5879
2017-04-28,29.93
2017-05-05,30.16
2017-05-12,29.82
2017-05-19,29.743
2017-05-26,30.32
2017-06-02,30.7747
2017-06-09,30.6055
2017-06-16,30.84
2017-06-23,30.6232
2017-06-30,30.5936
2017-07-07,30.6
2017-07-14,30.8
2017-07-21,30.99
2017-07-28,31.0297
2017-08-04,31.22
2017-08-11,30.86
2017-08-18,30.812
2017-08-25,30.93
2017-09-01,31.14
2017-09-08,31.0436
2017-09-15,31.3547
2017-09-22,31.508
2017-09-29,31.6668
2017-10-06,32.08
2017-10-13,32.2201
2017-10-20,32.52
2017-10-27,32.59
2017-11-03,32.65
2017-11-10,32.715
2017-11-17,32.7598
2017-11-24,32.997
2017-12-01,33.75
2017-12-08,33.74
2017-12-15,33.84
2017-12-22,33.76
2017-12-29,33.96
2018-01-05,34.517
2018-01-12,35.05
2018-01-19,35.43
2018-01-26,36.121
2018-02-02,34.95
2018-02-09,33.07
2018-02-16,34.55
2018-02-23,34.49
2018-03-02,33.8
2018-03-09,35.28
2018-03-16,34.97
2018-03-23,33.1
2018-03-30,33.8
2018-04-06,33.39
2018-04-13,33.98
2018-04-20,34.28
2018-04-27,33.94
2018-05-04,33.67
2018-05-11,34.37
2018-05-18,34.3
2018-05-25,34.21
2018-06-01,34.25
2018-06-08,34.99
2018-06-15,34.83
2018-06-22,34.26
2018-06-29,33.83
2018-07-06,34.23
2018-07-13,34.82
2018-07-20,34.95
2018-07-27,35.24
2018-08-03,35.45
2018-08-10,35.312
2018-08-17,35.73
2018-08-24,35.8
2018-08-31,36.038
2018-09-07,36.14
2018-09-14,36.55
2018-09-21,36.81
2018-09-28,36.26
2018-10-05,35.936
2018-10-12,34.17
2018-10-19,34.47
2018-10-26,33.36
2018-11-02,34.37
2018-11-09,35.46
2018-11-16,35.19
2018-11-23,34.3
2018-11-30,35.38
2018-12-07,33.93
2018-12-14,33.43
2018-12-21,31.42
2018-12-28,31.97
2019-01-04,32.37
2019-01-11,33.1
2019-01-18,34.02
2019-01-25,33.974
2019-02-01,34.735
2019-02-08,34.894
2019-02-15,35.68
2019-02-22,35.956
2019-03-01,36.2
2019-03-08,35.445
2019-03-15,36.1974
2019-03-22,35.78
2019-03-29,36.42
2019-04-05,36.925
2019-04-12,37.08
2019-04-19,36.847
2019-04-26,37.32
2019-05-03,37.4
2019-05-10,37.16
2019-05-17,37.11
2019-05-24,37.0
2019-05-31,36.482
2019-06-07,38.3
2019-06-14,38.373
2019-06-21,38.7
2019-06-28,38.598
2019-07-05,39.316
2019-07-12,39.48
2019-07-19,39.04
2019-07-26,39.42
2019-08-02,38.53
2019-08-09,38.66
2019-08-16,38.38
2019-08-23,37.533
2019-08-30,38.776
2019-09-06,39.472
2019-09-13,39.516
2019-09-20,39.47
2019-09-27,39.223
2019-10-04,39.053
2019-10-11,39.09
2019-10-18,39.309
2019-10-25,39.16
2019-11-01,39.636
2019-11-08,39.872
2019-11-15,40.18
2019-11-22,40.088
2019-11-29,40.51
2019-12-06,40.57
2019-12-13,40.8
2019-12-20,41.22
2019-12-27,41.24
2020-01-03,41.195
