date,value
2015-01-02,33.49
2015-01-09,33.24
2015-01-16,33.5366
2015-01-23,33.85
2015-01-30,33.118
2015-02-06,33.65
2015-02-13,33.63
2015-02-20,33.66
2015-02-27,33.72
2015-03-06,32.83
2015-03-13,33.4738
2015-03-20,34.49
2015-03-27,33.8566
2015-04-03,34.2608
2015-04-10,33.84
2015-04-17,33.33
2015-04-24,33.76
2015-05-01,32.95
2015-05-08,33.0052
2015-05-15,33.23
2015-05-22,33.31
2015-05-29,33.0408
2015-06-05,33.14
2015-06-12,33.53
2015-06-19,33.92
2015-06-26,33.93
2015-07-03,33.57
2015-07-10,33.96
2015-07-17,34.21
2015-07-24,33.45
2015-07-31,33.8594
2015-08-07,33.56
2015-08-14,33.85
2015-08-21,33.1
2015-08-28,32.35
2015-09-04,31.5899
2015-09-11,32.12
2015-09-18,32.2
2015-09-25,32.55
2015-10-02,32.256
2015-10-09,33.64
2015-10-16,33.74
2015-10-23,34.26
2015-10-30,34.3
2015-11-06,34.74
2015-11-13,33.7
2015-11-20,34.89
2015-11-27,35.2999
2015-12-04,35.0
2015-12-11,33.44
2015-12-18,33.22
2015-12-25,34.1399
2016-01-01,33.75
2016-01-08,32.1699
2016-01-15,31.56
2016-01-22,31.8699
2016-01-29,32.81
2016-02-05,32.02
2016-02-12,31.93
2016-02-19,32.74
2016-02-26,33.1299
2016-03-04,33.96
2016-03-11,34.14
2016-03-18,34.6
2016-03-25,34.18
2016-04-01,35.2
2016-04-08,34.3
2016-04-15,35.16
2016-04-22,35.24
2016-04-29,35.2399
2016-05-06,35.5
2016-05-13,35.39
2016-05-20,35.33
2016-05-27,36.31
2016-06-03,36.53
2016-06-10,36.93
2016-06-17,36.1
2016-06-24,35.89
2016-07-01,36.88
2016-07-08,37.34
2016-07-15,38.17
2016-07-22,38.2
2016-07-29,38.26
2016-08-05,38.5431
2016-08-12,38.43
2016-08-19,38.5527
2016-08-26,38.77
2016-09-02,39.46
2016-09-09,38.43
2016-09-16,38.07
2016-09-23,39.09
2016-09-30,38.69
2016-10-07,37.98
2016-10-14,37.93
