date,value
2015-01-02,24.325
2015-01-09,24.1837
2015-01-16,23.93
2015-01-23,24.5212
2015-01-30,24.1028
2015-02-06,24.5812
2015-02-13,25.0599
2015-02-20,25.33
2015-02-27,25.4
2015-03-06,25.11
2015-03-13,25.13
2015-03-20,25.861
2015-03-27,25.4699
2015-04-03,25.6426
2015-04-10,25.8688
2015-04-17,25.56
2015-04-24,25.9092
2015-05-01,25.307
2015-05-08,25.368
2015-05-15,25.5
2015-05-22,25.719
2015-05-29,25.66
2015-06-05,26.1
2015-06-12,26.2914
2015-06-19,26.7644
2015-06-26,26.5363
2015-07-03,25.82
2015-07-10,25.91
2015-07-17,26.81
2015-07-24,26.22
2015-07-31,26.32
2015-08-07,25.901
2015-08-14,25.988
2015-08-21,25.0008
2015-08-28,24.93
2015-09-04,24.3099
2015-09-11,25.05
2015-09-18,25.6891
2015-09-25,23.9
2015-10-02,23.62
2015-10-09,24.474
2015-10-16,24.4412
2015-10-23,24.612
2015-10-30,24.39
2015-11-06,25.48
2015-11-13,24.475
2015-11-20,25.08
2015-11-27,25.72
2015-12-04,25.2642
2015-12-11,24.0
2015-12-18,24.246
2015-12-25,24.74
2016-01-01,24.5068
2016-01-08,22.1959
2016-01-15,21.09
2016-01-22,21.5599
2016-01-29,21.48
2016-02-05,20.02
2016-02-12,19.48
2016-02-19,20.568
2016-02-26,21.3301
2016-03-04,22.14
2016-03-11,22.055
2016-03-18,22.24
2016-03-25,21.7652
2016-04-01,22.8622
2016-04-08,22.66
2016-04-15,23.3001
2016-04-22,23.79
2016-04-29,23.19
2016-05-06,22.68
2016-05-13,22.69
2016-05-20,22.74
2016-05-27,23.75
2016-06-03,24.1
2016-06-10,24.4
2016-06-17,23.41
2016-06-24,23.22
2016-07-01,23.92
2016-07-08,24.6457
2016-07-15,24.91
2016-07-22,25.19
2016-07-29,25.45
2016-08-05,25.6589
2016-08-12,25.53
2016-08-19,25.56
2016-08-26,25.45
2016-09-02,25.77
2016-09-09,25.34
2016-09-16,25.65
2016-09-23,26.31
2016-09-30,26.01
2016-10-07,25.89
2016-10-14,25.2249
2016-10-21,24.9101
2016-10-28,24.2
2016-11-04,23.5453
2016-11-11,25.35
2016-11-18,26.0545
2016-11-25,26.614
2016-12-02,25.377
2016-12-09,26.62
2016-12-16,26.42
2016-12-23,26.3162
2016-12-30,26.0
2017-01-06,26.4264
2017-01-13,26.4599
2017-01-20,25.8471
2017-01-27,26.1214
2017-02-03,26.18
2017-02-10,26.72
2017-02-17,27.0
2017-02-24,26.9053
2017-03-03,27.11
2017-03-10,27.06
2017-03-17,27.39
