date,value
2015-03-27,25.31
2015-04-03,25.37
2015-04-10,25.91
2015-04-17,25.7145
2015-04-24,26.15
2015-05-01,25.86
2015-05-08,26.06
2015-05-15,26.35
2015-05-22,26.45
2015-05-29,26.31
2015-06-05,26.12
2015-06-12,26.2
2015-06-19,26.5
2015-06-26,26.05
2015-07-03,25.6
2015-07-10,25.55
2015-07-17,26.15
2015-07-24,25.5
2015-07-31,25.84
2015-08-07,25.5
2015-08-14,25.55
2015-08-21,24.05
2015-08-28,24.6
2015-09-04,23.82
2015-09-11,24.46
2015-09-18,24.31
2015-09-25,23.36
2015-10-02,23.4645
2015-10-09,24.28
2015-10-16,24.41
2015-10-23,24.825
2015-10-30,25.0
2015-11-06,25.21
2015-11-13,24.49
2015-11-20,25.3
2015-11-27,25.36
2015-12-04,25.3563
2015-12-11,24.35
2015-12-18,24.6
2015-12-25,25.03
2016-01-01,24.83
2016-01-08,23.18
2016-01-15,22.28
2016-01-22,22.745
2016-01-29,22.8699
2016-02-05,22.06
2016-02-12,21.59
2016-02-19,22.61
2016-02-26,22.94
2016-03-04,23.57
2016-03-11,23.83
2016-03-18,23.87
2016-03-25,23.72
2016-04-01,24.25
2016-04-08,24.05
2016-04-15,24.4
2016-04-22,24.7
2016-04-29,24.31
2016-05-06,23.8
2016-05-13,23.76
2016-05-20,24.14
2016-05-27,24.91
2016-06-03,25.16
2016-06-10,24.75
2016-06-17,24.37
2016-06-24,23.62
2016-07-01,24.48
2016-07-08,24.64
2016-07-15,25.13
2016-07-22,25.4249
2016-07-29,25.99
2016-08-05,26.13
2016-08-12,26.14
2016-08-19,26.2865
2016-08-26,26.08
2016-09-02,26.2545
2016-09-09,25.7
2016-09-16,25.8984
2016-09-23,26.37
2016-09-30,26.41
2016-10-07,26.192
2016-10-14,25.51
2016-10-21,25.636
2016-10-28,25.35
2016-11-04,24.7901
2016-11-11,25.94
2016-11-18,26.1585
2016-11-25,26.4601
2016-12-02,26.05
2016-12-09,26.88
2016-12-16,27.02
2016-12-23,26.9104
2016-12-30,26.78
2017-01-06,27.42
2017-01-13,27.704
2017-01-20,27.57
2017-01-27,27.99
2017-02-03,28.29
2017-02-10,28.54
2017-02-17,28.99
2017-02-24,29.08
2017-03-03,29.29
2017-03-10,29.32
2017-03-17,29.62
2017-03-24,29.45
2017-03-31,29.7
2017-04-07,29.48
2017-04-14,29.25
2017-04-21,29.585
2017-04-28,30.49
2017-05-05,31.03
2017-05-12,31.17
2017-05-19,31.33
2017-05-26,31.73
2017-06-02,32.26
2017-06-09,31.9535
2017-06-16,31.93
2017-06-23,32.401
2017-06-30,31.77
2017-07-07,31.8332
2017-07-14,32.61
2017-07-21,32.99
2017-07-28,32.9
2017-08-04,32.9
2017-08-11,32.36
2017-08-18,32.47
2017-08-25,32.86
2017-09-01,33.67
2017-09-08,33.59
2017-09-15,34.16
2017-09-22,34.27
2017-09-29,34.33
2017-10-06,34.73
2017-10-13,35.0
2017-10-20,34.93
2017-10-27,34.9
2017-11-03,35.05
2017-11-10,34.78
2017-11-17,35.02
2017-11-24,35.5999
2017-12-01,35.21
2017-12-08,35.1
2017-12-15,35.31
2017-12-22,35.47
2017-12-29,35.44
2018-01-05,36.64
2018-01-12,37.16
2018-01-19,37.51
2018-01-26,38.52
2018-02-02,37.12
2018-02-09,35.23
2018-02-16,36.96
2018-02-23,37.23
2018-03-02,36.69
2018-03-09,38.14
2018-03-16,37.87
2018-03-23,35.87
2018-03-30,36.38
2018-04-06,35.62
2018-04-13,36.54
2018-04-20,36.55
2018-04-27,36.35
2018-05-04,36.18
2018-05-11,37.06
2018-05-18,36.84
2018-05-25,36.93
2018-06-01,37.15
2018-06-08,37.59
2018-06-15,37.835
2018-06-22,36.9
2018-06-29,36.2272
2018-07-06,37.01
2018-07-13,37.56
2018-07-20,37.72
2018-07-27,37.8899
2018-08-03,37.95
2018-08-10,37.72
2018-08-17,37.56
2018-08-24,38.4
2018-08-31,38.77
2018-09-07,37.9364
2018-09-14,38.52
2018-09-21,38.85
2018-09-28,38.72
2018-10-05,37.8
2018-10-12,36.29
2018-10-19,36.21
2018-10-26,34.36
2018-11-02,35.87
2018-11-09,36.1
2018-11-16,35.75
2018-11-23,34.87
2018-11-30,36.4
2018-12-07,34.84
2018-12-14,34.49
2018-12-21,32.0
2018-12-28,32.99
2019-01-04,33.52
2019-01-11,34.76
2019-01-18,35.51
2019-01-25,35.81
2019-02-01,36.36
2019-02-08,36.0
2019-02-15,37.07
2019-02-22,37.35
2019-03-01,37.66
2019-03-08,36.627
2019-03-15,38.0566
2019-03-22,37.7
2019-03-29,37.99
2019-04-05,39.19
2019-04-12,39.09
2019-04-19,38.68
2019-04-26,38.9
2019-05-03,39.22
2019-05-10,38.05
2019-05-17,37.2
2019-05-24,36.78
2019-05-31,36.05
2019-06-07,37.47
2019-06-14,37.51
2019-06-21,38.36
2019-06-28,38.57
2019-07-05,39.01
2019-07-12,38.89
2019-07-19,38.88
2019-07-26,39.35
2019-08-02,38.28
2019-08-09,38.06
2019-08-16,37.53
2019-08-23,37.02
2019-08-30,37.84
2019-09-06,38.7
2019-09-13,39.16
2019-09-20,39.06
2019-09-27,38.46
2019-10-04,38.45
2019-10-11,38.78
2019-10-18,39.09
2019-10-25,39.77
2019-11-01,40.5
2019-11-08,40.8
2019-11-15,41.19
2019-11-22,41.12
2019-11-29,41.8
2019-12-06,41.8899
2019-12-13,42.4
2019-12-20,42.75
2019-12-27,42.9
2020-01-03,42.75
