date,value
2015-01-02,462.1
2015-01-09,454.07
2015-01-16,453.34
2015-01-23,454.33
2015-01-30,442.09
2015-02-06,467.56
2015-02-13,475.43
2015-02-20,480.86
2015-02-27,472.54
2015-03-06,468.39
2015-03-13,476.67
2015-03-20,493.12
2015-03-27,483.53
2015-04-03,487.94
2015-04-10,485.88
2015-04-17,476.91
2015-04-24,477.0
2015-05-01,475.85
2015-05-08,480.5
2015-05-15,481.0
2015-05-22,486.73
2015-05-29,475.35
2015-06-05,478.5
2015-06-12,480.53
2015-06-19,481.19
2015-06-26,474.67
2015-07-03,484.15
2015-07-10,495.21
2015-07-17,497.54
2015-07-24,488.74
2015-07-31,486.13
2015-08-07,494.11
2015-08-14,496.19
2015-08-21,475.35
2015-08-28,471.66
2015-09-04,459.7
2015-09-11,469.94
2015-09-18,468.92
2015-09-25,468.16
2015-10-02,474.75
2015-10-09,479.92
2015-10-16,487.89
2015-10-23,498.05
2015-10-30,496.27
2015-11-06,504.77
2015-11-13,497.78
2015-11-20,505.96
2015-11-27,509.53
2015-12-04,511.59
2015-12-11,483.2
2015-12-18,474.68
2015-12-25,482.92
2016-01-01,477.93
2016-01-08,464.45
2016-01-15,471.28
2016-01-22,461.83
2016-01-29,477.92
2016-02-05,459.54
2016-02-12,462.2
2016-02-19,466.04
2016-02-26,466.04
2016-03-04,485.75
2016-03-11,492.18
2016-03-18,497.15
2016-03-25,489.15
2016-04-01,498.26
2016-04-08,488.56
2016-04-15,507.36
2016-04-22,512.6
2016-04-29,521.28
2016-05-06,519.01
2016-05-13,525.7
2016-05-20,529.41
2016-05-27,540.94
2016-06-03,540.0
2016-06-10,524.69
2016-06-17,518.82
2016-06-24,528.06
2016-07-01,538.07
2016-07-08,547.56
2016-07-15,542.9
2016-07-22,551.89
2016-07-29,543.5
2016-08-05,538.78
2016-08-12,533.87
2016-08-19,530.65
2016-08-26,530.35
2016-09-02,537.63
2016-09-09,517.14
2016-09-16,515.02
2016-09-23,524.54
2016-09-30,525.02
2016-10-07,525.38
2016-10-14,528.85
2016-10-21,513.94
2016-10-28,515.8
2016-11-04,523.06
2016-11-11,550.85
2016-11-18,566.39
2016-11-25,576.73
2016-12-02,576.57
2016-12-09,601.03
2016-12-16,602.52
2016-12-23,613.74
2016-12-30,608.12
2017-01-06,611.38
2017-01-13,609.92
2017-01-20,603.36
2017-01-27,610.9
2017-02-03,615.92
2017-02-10,619.12
2017-02-17,636.79
2017-02-24,649.49
2017-03-03,645.11
2017-03-10,642.47
2017-03-17,630.67
2017-03-24,614.33
2017-03-31,614.66
2017-04-07,611.73
2017-04-14,598.75
2017-04-21,603.14
2017-04-28,610.7
2017-05-05,591.29
2017-05-12,571.13
2017-05-19,571.35
2017-05-26,588.44
2017-06-02,597.47
2017-06-09,591.43
2017-06-16,607.66
2017-06-23,584.39
2017-06-30,594.8
2017-07-07,595.55
2017-07-14,599.73
2017-07-21,614.54
2017-07-28,614.0
2017-08-04,607.15
2017-08-11,593.61
2017-08-18,578.98
2017-08-25,570.23
2017-09-01,563.18
2017-09-08,540.73
2017-09-15,567.11
2017-09-22,564.48
2017-09-29,554.01
2017-10-06,548.25
2017-10-13,547.72
2017-10-20,564.65
2017-10-27,567.27
2017-11-03,583.68
2017-11-10,579.61
2017-11-17,566.6
2017-11-24,556.02
2017-12-01,581.02
2017-12-08,585.72
2017-12-15,577.24
2017-12-22,589.86
2017-12-29,596.09
2018-01-05,588.86
2018-01-12,584.92
2018-01-19,591.76
2018-01-26,623.88
2018-02-02,617.96
2018-02-09,571.75
2018-02-16,595.88
2018-02-23,605.66
2018-03-02,593.99
2018-03-09,632.56
2018-03-16,628.2
2018-03-23,576.26
2018-03-30,614.44
2018-04-06,592.02
2018-04-13,589.13
2018-04-20,587.44
2018-04-27,582.75
2018-05-04,577.49
2018-05-11,585.79
2018-05-18,578.03
2018-05-25,575.4
2018-06-01,571.92
2018-06-08,591.69
2018-06-15,584.72
2018-06-22,585.0
2018-06-29,574.97
2018-07-06,590.71
2018-07-13,594.67
2018-07-20,607.83
2018-07-27,624.99
2018-08-03,642.98
2018-08-10,626.69
2018-08-17,637.41
2018-08-24,638.0
2018-08-31,631.78
2018-09-07,636.78
2018-09-14,644.06
2018-09-21,649.85
2018-09-28,652.53
2018-10-05,638.98
2018-10-12,603.78
2018-10-19,614.82
2018-10-26,580.75
2018-11-02,598.07
2018-11-09,628.99
2018-11-16,627.62
2018-11-23,619.06
2018-11-30,631.03
2018-12-07,624.48
2018-12-14,608.03
2018-12-21,594.37
2018-12-28,615.5
2019-01-04,624.05
2019-01-11,615.0
2019-01-18,619.59
2019-01-25,618.33
2019-02-01,639.06
2019-02-08,640.42
2019-02-15,648.84
2019-02-22,630.41
2019-03-01,643.23
2019-03-08,616.05
2019-03-15,620.12
2019-03-22,613.68
2019-03-29,612.4
2019-04-05,617.2
2019-04-12,627.1
2019-04-19,646.92
2019-04-26,653.07
2019-05-03,662.82
2019-05-10,672.39
2019-05-17,679.94
2019-05-24,685.85
2019-05-31,663.3
2019-06-07,690.74
2019-06-14,690.85
2019-06-21,686.71
2019-06-28,681.11
2019-07-05,705.92
2019-07-12,704.7
2019-07-19,693.12
2019-07-26,703.97
2019-08-02,692.05
2019-08-09,750.42
2019-08-16,750.67
2019-08-23,738.64
2019-08-30,749.31
2019-09-06,780.02
2019-09-13,771.57
2019-09-20,772.47
2019-09-27,794.26
2019-10-04,793.65
2019-10-11,771.49
2019-10-18,780.86
2019-10-25,757.69
2019-11-01,768.87
2019-11-08,775.3
2019-11-15,770.04
2019-11-22,789.42
2019-11-29,780.04
2019-12-06,793.64
2019-12-13,794.68
2019-12-20,798.61
2019-12-27,794.71
2020-01-03,805.53
