date,value
2017-09-22,27.73
2017-09-29,27.0
2017-10-06,28.45
2017-10-13,32.19
2017-10-20,28.24
2017-10-27,26.87
2017-11-03,28.0
2017-11-10,27.78
2017-11-17,25.0
2017-11-24,26.8
2017-12-01,25.92
2017-12-08,25.49
2017-12-15,24.95
2017-12-22,21.44
2017-12-29,21.23
2018-01-05,22.81
2018-01-12,23.37
2018-01-19,22.64
2018-01-26,24.58
2018-02-02,25.98
2018-02-09,20.25
2018-02-16,23.49
2018-02-23,23.0
2018-03-02,21.84
2018-03-09,22.1
2018-03-16,21.02
2018-03-23,20.76
2018-03-30,21.35
2018-04-06,21.44
2018-04-13,21.68
2018-04-20,20.94
2018-04-27,19.77
2018-05-04,18.04
2018-05-11,18.94
2018-05-18,20.04
2018-05-25,24.69
2018-06-01,23.39
2018-06-08,23.74
2018-06-15,23.95
2018-06-22,23.36
2018-06-29,23.25
2018-07-06,23.0
2018-07-13,23.54
2018-07-20,24.12
2018-07-27,22.24
2018-08-03,20.13
2018-08-10,22.0
2018-08-17,22.19
2018-08-24,22.99
2018-08-31,22.73
2018-09-07,17.81
2018-09-14,18.4
2018-09-21,19.18
2018-09-28,19.48
2018-10-05,18.25
2018-10-12,15.7
2018-10-19,16.37
2018-10-26,16.6
2018-11-02,17.24
2018-11-09,16.91
2018-11-16,17.99
2018-11-23,17.19
2018-11-30,19.72
2018-12-07,20.59
2018-12-14,23.39
2018-12-21,20.41
2018-12-28,22.62
2019-01-04,22.0
2019-01-11,24.6
2019-01-18,26.0
2019-01-25,25.68
2019-02-01,27.21
2019-02-08,30.56
2019-02-15,28.05
2019-02-22,28.48
2019-03-01,29.72
2019-03-08,27.75
2019-03-15,28.99
2019-03-22,29.11
2019-03-29,29.51
2019-04-05,31.48
2019-04-12,31.34
2019-04-19,29.38
2019-04-26,28.18
2019-05-03,26.37
2019-05-10,28.13
2019-05-17,27.2
2019-05-24,26.31
2019-05-31,26.21
2019-06-07,27.85
2019-06-14,31.47
2019-06-21,33.78
2019-06-28,34.87
2019-07-05,36.29
2019-07-12,36.35
2019-07-19,35.59
2019-07-26,35.01
2019-08-02,31.49
2019-08-09,31.65
2019-08-16,33.73
2019-08-23,36.88
2019-08-30,32.61
2019-09-06,34.36
2019-09-13,33.95
2019-09-20,34.81
2019-09-27,31.85
2019-10-04,32.56
2019-10-11,32.5
2019-10-18,34.04
2019-10-25,32.26
2019-11-01,35.59
2019-11-08,37.6
2019-11-15,38.93
2019-11-22,38.15
2019-11-29,39.8
2019-12-06,41.28
2019-12-13,43.06
2019-12-20,39.0
2019-12-27,40.25
2020-01-03,39.64
