date,value
2015-01-02,11.0
2015-01-09,10.4722
2015-01-16,10.6736
2015-01-23,10.0
2015-01-30,9.6736
2015-02-06,9.3819
2015-02-13,9.6875
2015-02-20,9.6875
2015-02-27,9.7153
2015-03-06,9.3333
2015-03-13,10.4097
2015-03-20,10.6389
2015-03-27,10.4722
2015-04-03,11.0069
2015-04-10,13.75
2015-04-17,14.1083
2015-04-24,13.45
2015-05-01,13.9167
2015-05-08,13.2083
2015-05-15,12.875
2015-05-22,13.5583
2015-05-29,12.7667
2015-06-05,13.5833
2015-06-12,13.7583
2015-06-19,12.1917
2015-06-26,11.475
2015-07-03,10.8917
2015-07-10,12.3833
2015-07-17,11.5167
